"Gift Card Accounts","Rekening kartu hadiah"
"Add Gift Card Account","Tambah akun kartu hadiah"
"Save","Simpan"
"Delete","Hapus"
"Save & Send Email","Simpan & kirim email"
"Edit Gift Card Account: %1","Edit akun kartu hadiah: %1"
"New Gift Card Account","Akun kartu hadiah baru"
"ID","Nomor"
"Date","Tanggal"
"Action","Tindakan"
"Balance Change","Perubahan Saldo"
"Balance","Saldo"
"More Information","Informasi lebih lanjut"
"Information","Informasi"
"Gift Card Code","Kode kartu hadiah"
"Status","Keadaan"
"Active","Aktif"
"Yes","Ya"
"No","Tidak"
"Redeemable","Menebus"
"Website","Situs web"
"Expiration Date","Tanggal kadaluarsa"
"Send Gift Card","Kirim kartu hadiah"
"Recipient Email","Email penerima"
"Recipient Name","Nama penerima"
"Send Email from the Following Store View","Kirim email dari tampilan toko berikut"
"-- First Please Select a Website --","-- pertama silahkan pilih situs web --"
"Gift Card Account","Akun kartu hadiah"
"History","Riwayat"
"This gift card account has been deleted.","Akun kartu hadiah ini sudah dihapus."
"We couldn't find a gift card account to delete.","Kami tidak dapat menemukan akun kartu hadiah untuk dihapus."
"Edit Gift Card Account","Edit akun kartu hadiah"
"New Account","Akun baru"
"New code pool was generated.","Menghasilkan kode kolam baru."
"We were unable to generate a new code pool.","Kami tidak bisa menghasilkan kode kolam baru."
"Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""%4"">here</a>.","Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""%4"">here</a>."
"Please select a gift card account(s)","Mohon pilih rekening kartu hadiah(s)"
"You deleted a total of %1 records.","Total rekaman yang anda hapus %1."
"You saved the gift card account.","Anda menyimpan akun kartu hadiah."
"An email was not sent because the gift card account is not active.","Email tidak bisa di kirim karena akun kartu hadiah tidak aktif."
"You saved the gift card account, but an email was not sent.","Anda menyimpan akun kartu hadiah, namun email tidak terkirim."
"We will refund the gift card amount to your customer’s store credit","Kami akan mengembalikan jumlah kartu hadiah ke pelanggan kredit toko anda"
"Please enable Store Credit to refund the gift card amount to your customer","Mohon aktifkan kredit toko untuk mengembalikan jumlah kartu hadiah ke pelanggan anda"
"Please correct the gift card code.","Please correct the gift card code."
"Gift Card ""%1"" was added.","""%1"" kartu hadiah telah ditambahkan."
"We cannot apply this gift card.","Kami tidak dapat menerapkan kartu hadiah ini."
"Gift Card ""%1"" was removed.","""%1"" kartu hadiah telah dihapus."
"You can't remove this gift card.","You can't remove this gift card."
"You can't redeem a gift card now.","You can't redeem a gift card now."
"Gift Card ""%1"" was redeemed.","""%1"" kartu hadiah telah ditebus."
"We cannot redeem this gift card.","Kami tidak bisa menebus kartu hadiah ini."
"Gift Card","Kartu hadiah"
"By admin: %1.","Oleh admin: %1."
"Could not save the gift card account.","Could not save the gift card account."
"Could not delete the gift card account.","Could not delete the gift card account."
"The expiration date must be set in the future.","Tanggal kadaluarsa harus di atur di masa depan."
"The balance cannot be less than zero.","Saldo tidak boleh kurang dari nol."
"This gift card account is already in the quote.","Akun kartu hadiah ini sudah ada dalam kutipan."
"Please correct the gift card account code: ""%1"".","Mohon periksan kode akun kartu hadiah: ""%1""."
"This gift card account wasn't found in the quote.","This gift card account wasn't found in the quote."
"Please correct the gift card account ID. Requested code: ""%1""","Mohon periksa ID akun kartu hadiah. kode yang diminta: ""%1"""
"Please correct the gift card account website: %1.","Mohon periksa situs web akun kartu hadiah: %1."
"Gift card account %1 is not enabled.","Akun kartu hadiah %1 tidak diaktifkan."
"Gift card account %1 is expired.","Akun kartu hadiah %1 sudah kadaluarsa."
"Gift card account %1 has a zero balance.","Akun kartu hadiah %1 memiliki saldo nol."
"Gift card account %1 balance is lower than the charged amount.","Saldo akun kartu hadiah %1 lebih rendah dari jumlah yang dibebankan."
"Available","Tersedia"
"Used","Dipakai"
"Redeemed","Tebusan"
"Expired","Kadaluarsa"
"Please enter a valid customer ID.","Harap masukkan ID pelanggan yang valid."
"Gift Card Redeemed: %1. For customer #%2.","Tebusan kartu hadiah: %1. Untuk pelanggan #%2."
"Created","Buat"
"Updated","Diperbarui"
"Sent","Kirim"
"Order #%1.","Pesanan #%1."
"Recipient: %1.","Penerima: %1."
"Customer #%1.","Pelanggan #%1."
"Please assign a gift card account.","Mohon tetapkan akun kartu hadiah."
"Unknown history action.","Riwayat tindakan tidak diketahui."
"We were unable to create full code pool size. Please check settings and try again.","Kami tidak dapat membuat kode kolam ukuran penuh. mohon periksa pengaturan dan coba lagi."
"No codes left in the pool.","Tidak ada kode yang tertinggal di kolam."
"Cart %1 doesn't contain products","Cart %1 doesn't contain products"
"Could not delete gift card from quote","Could not delete gift card from quote"
"Could not add gift card code","Could not add gift card code"
"Please correct the wrong or expired Gift Card Code.","Please correct the wrong or expired Gift Card Code."
"Alphanumeric","Alfanumerik"
"Alphabetical","Menurut abjad"
"Numeric","Numerik"
"The maximum generated code length is 255. Please correct your settings.","Panjang maksimal kode yang dihasilkan adalah 255. harap perbaiki pengaturan anda."
"Gift Cards","Kartu hadiah"
"test message","pesan tes"
"Generate","Pembuatan"
"Code Pool used: ","Gunakan kode kolam: "
" (free "," (gratis "
" of "," dari "
" total)."," total)."
"Are you sure you want to continue without saving your changes?","Anda yakin untuk melanjutkan tanpa menyimpan perubahan?"
"Refund Gift Cards to Store Credit","Kembalikan kartu hadiah ke kredit toko"
"Add Gift Card","Tambah kartu hadiah"
"Remove","Menghapus"
"Gift Card (%1)","Kartu hadiah (%1)"
"This won't take long . . .","Ini tidak akan lama . . ."
"Enter gift card code","Masukkan kode kartu hadiah"
"Redeem Gift Card","Tebus kartu hadiah"
"Check status and balance","Periksa status dan saldo"
"Have a gift card? ","Punya kartu hadiah? "
"Click here","Klik disini"
" to redeem it."," untuk menebusnya."
"Enter the gift card code","Masukkan kode kartu hadiah"
"Check Gift Card status and balance","Periksa status dan saldo kartu hadiah"
"Gift Card: ","Kartu hadiah: "
"Current Balance: ","Saldo saat ini: "
"Expires: ","Kadaluarsa: "
"Please enter a valid gift card code.","Mohon masukkan kode kartu hadiah yang valid."
