"Gift Card Accounts","Hediye kartı hesapları"
"Add Gift Card Account","Hediye kartı hesabı ekleyin"
"Save","Kaydet"
"Delete","Sil"
"Save & Send Email","Kaydet ve E-posta Gönder"
"Edit Gift Card Account: %1","Hediye Kartı Hesabını Düzenle: %1"
"New Gift Card Account","Yeni Hediye Kartı Hesabı"
"ID","No"
"Date","Tarih"
"Action","Eylem"
"Balance Change","Bakiye Değişimi"
"Balance","Bakiye"
"More Information","Daha Fazla Bilgi"
"Information","Bilgi"
"Gift Card Code","Hediye kartı kodu"
"Status","Durum"
"Active","Aktif"
"Yes","Evet"
"No","Hayır"
"Redeemable","Paraya çevrilebilir"
"Website","Web sitesi"
"Expiration Date","Son Kullanma Tarihi"
"Send Gift Card","Hediye Kartı gönder"
"Recipient Email","Makbuz E-postası"
"Recipient Name","Alıcı ismi"
"Send Email from the Following Store View","Aşağıdaki Mağaza Görünümünden E-posta Gönder"
"-- First Please Select a Website --","-- Önce Bir Web Sitesi Seçiniz --"
"Gift Card Account","Hediye Kartı Hesabı"
"History","Geçmiş"
"This gift card account has been deleted.","Bu hediye kartı hesabı silindi."
"We couldn't find a gift card account to delete.","Silmek için bir hediye kartı hesabı bulamadık."
"Edit Gift Card Account","Hediye Kartı Hesabını Düzenle"
"New Account","Yeni Hesap"
"New code pool was generated.","Yeni kod havuzu oluşturuldu."
"We were unable to generate a new code pool.","Yeni bir kod havuzu oluşturamadık."
"Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""%4"">here</a>.","Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""%4"">here</a>."
"Please select a gift card account(s)","Lütfen bir hediye kartı hesabı(ları) seçin"
"You deleted a total of %1 records.","Toplam %1 kayıt sildiniz."
"You saved the gift card account.","Hediye kartı hesabını kaydettiniz."
"An email was not sent because the gift card account is not active.","Hediye kartı hesabı etkin olmadığından bir e-posta gönderilmedi."
