"Gift Card Accounts","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆಗಳು"
"Add Gift Card Account","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆಯನ್ನು ಸೇರಿಸಿ"
"Save","ಉಳಿಸಿ"
"Delete","ಅಳಿಸಿ"
"Save & Send Email","ಉಳಿಸಿ & ಮಿಂಚೆ ಕಳುಹಿಸಿ"
"Edit Gift Card Account: %1","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆಯನ್ನು ಸಂಪಾದಿಸಿ: %1"
"New Gift Card Account","ಹೊಸ ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆ"
"ID","ID"
"Date","ದಿನಾಂಕ"
"Action","ಕ್ರಿಯೆ"
"Balance Change","Balance Change"
"Balance","ಬಾಕಿ"
"More Information","ಹೆಚ್ಚಿನ ಮಾಹಿತಿ"
"Information","ಮಾಹಿತಿ"
"Gift Card Code","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಸಂಕೇತ"
"Status","ಸ್ಥಿತಿ"
"Active","ಸಕ್ರಿಯ"
"Yes","ಹೌದು"
"No","ಇಲ್ಲ"
"Redeemable","Redeemable"
"Website","ಜಾಲ ತಾಣ"
"Expiration Date","Expiration Date"
"Send Gift Card","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಕಳುಹಿಸಿ"
"Recipient Email","ಸ್ವೀಕೃತಿದಾರರ ಮಿಂಚೆ"
"Recipient Name","ಸ್ವೀಕೃತಿದಾರರ ಹೆಸರು"
"Send Email from the Following Store View","Send Email from the Following Store View"
"-- First Please Select a Website --","--ದಯವಿಟ್ಟು ಮೊದಲು ಜಾಲತಾಣವೊಂದನ್ನು ಆರಿಸಿ--"
"Gift Card Account","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆ"
"History","ಇತಿಹಾಸ"
"This gift card account has been deleted.","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆಯನ್ನು ಅಳಿಸಲಾಗಿದೆ."
"We couldn't find a gift card account to delete.","ಅಳಿಸಲು ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆಯನ್ನು ನಮಗೆ ಹುಡುಕಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ."
"Edit Gift Card Account","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆಯನ್ನು ಸಂಪಾದಿಸಿ"
"New Account","ಹೊಸ ಖಾತೆ"
"New code pool was generated.","New code pool was generated."
"We were unable to generate a new code pool.","We were unable to generate a new code pool."
"Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""%4"">here</a>.","Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""%4"">here</a>."
"Please select a gift card account(s)","ದಯವಿಟ್ಟು ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆಯ(ಗಳ) ನ್ನು ಆರಿಸಿ"
"You deleted a total of %1 records.","You deleted a total of %1 records."
"You saved the gift card account.","ನೀವು ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆಯನ್ನು ಉಳಿಸಿದ್ದೀರಿ."
"An email was not sent because the gift card account is not active.","An email was not sent because the gift card account is not active."
"You saved the gift card account, but an email was not sent.","ನೀವು ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆಯನ್ನು ಉಳಿಸಿದ್ದೀರಿ, ಆದರೆ ಮಿಂಚೆಯನ್ನು ಕಳುಹಿಸಲಾಗಲಿಲ್ಲ."
"We will refund the gift card amount to your customer’s store credit","We will refund the gift card amount to your customer’s store credit"
"Please enable Store Credit to refund the gift card amount to your customer","Please enable Store Credit to refund the gift card amount to your customer"
"Please correct the gift card code.","Please correct the gift card code."
"Gift Card ""%1"" was added.","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ %1 ಅನ್ನು ಸೇರಿಸಲಾಗಿದೆ."
"We cannot apply this gift card.","ನಾವು ಈ ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಅನ್ನು ಅನ್ವಯಿಸಲಾಗುವುದಿಲ್ಲ."
"Gift Card ""%1"" was removed.","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ %1 ಅನ್ನು ತೆಗೆದುಹಾಕಲಾಗಿದೆ."
"You can't remove this gift card.","ಈ ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಅನ್ನು ನೀವು ತೆಗೆದುಹಾಕಲು ಸಾಧ್ಯವಿಲ್ಲ."
"You can't redeem a gift card now.","You can't redeem a gift card now."
"Gift Card ""%1"" was redeemed.","Gift Card ""%1"" was redeemed."
"We cannot redeem this gift card.","We cannot redeem this gift card."
"Gift Card","ಗಿಫ್ಟ್ ಕಾರ್ಡ್"
"By admin: %1.","By admin: %1."
"Could not save the gift card account.","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆಯನ್ನು ಉಳಿಸಲಾಗಲಿಲ್ಲ."
"Could not delete the gift card account.","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆಯನ್ನು ಅಳಿಸಲಾಗಲಿಲ್ಲ."
"The expiration date must be set in the future.","The expiration date must be set in the future."
"The balance cannot be less than zero.","The balance cannot be less than zero."
"This gift card account is already in the quote.","This gift card account is already in the quote."
"Please correct the gift card account code: ""%1"".","Please correct the gift card account code: ""%1""."
"This gift card account wasn't found in the quote.","This gift card account wasn't found in the quote."
"Please correct the gift card account ID. Requested code: ""%1""","Please correct the gift card account ID. Requested code: ""%1"""
"Please correct the gift card account website: %1.","Please correct the gift card account website: %1."
"Gift card account %1 is not enabled.","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆ %1 ಯನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಲಾಗಿದೆ."
"Gift card account %1 is expired.","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆ %1 ಯ ಕಾಲಾವಧಿ ಅಂತ್ಯವಾಗಿದೆ."
"Gift card account %1 has a zero balance.","ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಖಾತೆ %1 ಶೂನ್ಯ ಬಾಕಿಯನ್ನು ಹೊಂದಿದೆ."
"Gift card account %1 balance is lower than the charged amount.","Gift card account %1 balance is lower than the charged amount."
"Available","ಲಭ್ಯವಿದೆ"
