"First-Class Mail Large Envelope","Birinci-Sınıf Posta Büyük Zarf"
"First-Class Mail Letter","Birinci-Sınıf Posta Mektup"
"First-Class Package Service - Retail","Birinci Sınıf Paket Hizmeti - Perakende"
"First-Class Mail Postcards","Birinci-Sınıf Posta Kartpostallar"
"Priority Mail","Öncelikli E-posta"
"Priority Mail Express Hold For Pickup","Öncelikli Posta Express Alınmayı Bekleyen"
"Priority Mail Express","Öncelikli Posta Express"
"Retail Ground","Perakende alanı"
"Media Mail","Medya E-posta"
"Library Mail","Kütüphane Posta"
"Priority Mail Express Flat Rate Envelope","Öncelikli Posta Express Sabit Fiyat Zarf"
"First-Class Mail Large Postcards","Birinci-Sınıf Posta Büyük Kartpostallar"
"Priority Mail Flat Rate Envelope","Öncelikli Posta Sabit Fiyat Zarf"
"Priority Mail Medium Flat Rate Box","Öncelikli Posta Orta Sabit Fiyat Kutu"
"Priority Mail Large Flat Rate Box","Öncelikli Posta Büyük Sabit Fiyat Kutu"
"Priority Mail Express Sunday/Holiday Delivery","Öncelikli Posta Express Hafta Sonu/Tatil Gönderimi"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope","Öncelikli Posta Express Hafta Sonu/Tatil Gönderimi Sabit Fiyat Zarf"
"Priority Mail Express Flat Rate Envelope Hold For Pickup","Öncelikli Posta Express Sabit Fiyat Zarf Alınmayı Bekleyen"
"Priority Mail Small Flat Rate Box","Öncelikli Posta Küçük Sabit Fiyat Kutu"
"Priority Mail Padded Flat Rate Envelope","Öncelikli Posta Yalıtılmış Sabit Fiyat Zarf"
"Priority Mail Express Legal Flat Rate Envelope","Öncelikli Posta Express Resmi Sabit Fiyat Zarf"
"Priority Mail Express Legal Flat Rate Envelope Hold For Pickup","Öncelikli Posta Express Resmi Sabit Fiyat Zarf Alınmayı Bekleyen"
"Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope","Öncelikli Posta Express Hafta Sonu/Tatil Gönderimi Resmi Sabit Fiyat Zarf"
"Priority Mail Hold For Pickup","Öncelikli Posta Alınmayı Bekleyen"
"Priority Mail Large Flat Rate Box Hold For Pickup","Öncelikli Posta Büyük Sabit Fiyat Kutu Alınmayı Bekleyen"
"Priority Mail Medium Flat Rate Box Hold For Pickup","Öncelikli Posta Orta Sabit Fiyat Kutu Alınmayı Bekleyen"
"Priority Mail Small Flat Rate Box Hold For Pickup","Öncelikli Posta Küçük Sabit Fiyat Kutu Alınmayı Bekleyen"
