"First-Class Mail Large Envelope","Първокласна поща голям плик"
"Priority Mail Regional Rate Box C Hold For Pickup","Priority Mail Regional Rate Box C Hold For Pickup"
"First-Class Package Service","First-Class Package Service"
"Priority Mail Express Padded Flat Rate Envelope","Priority Mail Express Padded Flat Rate Envelope"
"Priority Mail Express Padded Flat Rate Envelope Hold For Pickup","Priority Mail Express Padded Flat Rate Envelope Hold For Pickup"
"Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope"
"Priority Mail Express International","Priority Mail Express International"
"Priority Mail International","Priority Mail International"
"Global Express Guaranteed (GXG)","Global Express Guaranteed (GXG)"
"Global Express Guaranteed Document","Global Express Guaranteed Document"
"Global Express Guaranteed Non-Document Rectangular","Global Express Guaranteed Non-Document Rectangular"
"Global Express Guaranteed Non-Document Non-Rectangular","Global Express Guaranteed Non-Document Non-Rectangular"
"Priority Mail International Flat Rate Envelope","Priority Mail International Flat Rate Envelope"
"Priority Mail International Medium Flat Rate Box","Priority Mail International Medium Flat Rate Box"
"Priority Mail Express International Flat Rate Envelope","Priority Mail Express International Flat Rate Envelope"
"Priority Mail International Large Flat Rate Box","Priority Mail International Large Flat Rate Box"
"USPS GXG Envelopes","USPS GXG Envelopes"
"First-Class Mail International Letter","First-Class Mail International Letter"
"First-Class Mail International Large Envelope","First-Class Mail International Large Envelope"
"First-Class Package International Service","First-Class Package International Service"
"Priority Mail International Small Flat Rate Box","Priority Mail International Small Flat Rate Box"
"Priority Mail Express International Legal Flat Rate Envelope","Priority Mail Express International Legal Flat Rate Envelope"
"Priority Mail International Gift Card Flat Rate Envelope","Priority Mail International Gift Card Flat Rate Envelope"
"Priority Mail International Window Flat Rate Envelope","Priority Mail International Window Flat Rate Envelope"
"Priority Mail International Small Flat Rate Envelope","Priority Mail International Small Flat Rate Envelope"
"First-Class Mail International Postcard","First-Class Mail International Postcard"
"Priority Mail International Legal Flat Rate Envelope","Priority Mail International Legal Flat Rate Envelope"
"Priority Mail International Padded Flat Rate Envelope","Priority Mail International Padded Flat Rate Envelope"
"Priority Mail International DVD Flat Rate priced box","Priority Mail International DVD Flat Rate priced box"
"Priority Mail International Large Video Flat Rate priced box","Priority Mail International Large Video Flat Rate priced box"
"Priority Mail Express International Padded Flat Rate Envelope","Priority Mail Express International Padded Flat Rate Envelope"
"Letter","Letter"
"Flat","Flat"
"Parcel","Parcel"
"Variable","Променлива"
"Small Flat-Rate Box","Малка фиксирана кутия"
"Medium Flat-Rate Box","Средна фиксирана кутия"
"Large Flat-Rate Box","Голяма фиксирана кутия"
"Flat-Rate Envelope","Flat-Rate Envelope"
"Small Flat-Rate Envelope","Малък фиксиран размер плик"
"Window Flat-Rate Envelope","Прозорец с фиксиран размер плик"
"Gift Card Flat-Rate Envelope","Подарък карта фиксиран плик"
"Legal Flat-Rate Envelope","Юридически фиксиран плик"
"Padded Flat-Rate Envelope","Подплатени с фиксиран размер плик"
"Rectangular","Rectangular"
"Non-rectangular","Non-rectangular"
"Regular","Обикновен"
"Large","Large"
"Yes","Да"
"No","Не"
"Not Required","Не се изисква"
"Required","Изискван"
"For some reason we can't retrieve tracking info right now.","По някаква причина не може да извлече информация за проследяване точно сега."
"Sorry, something went wrong. Please try again or contact us and we'll try to help.","За съжаление нещо се обърка. Моля опитайте отново или контакт с нас и ние ще се опитаме да помогнем."
"track_summary","track_summary"
"Empty response","Празен отговор"
"Service type does not match","Service type does not match"
"Merchandise","Merchandise"
"Sample","Проба"
"Gift","Gift"
"Documents","Документи"
"Return","Връщане"
"Other","Друг"
"None","Никакъв"
"Field ","Поле "
" is required."," е задължително."
"USPS","USPS"
"Enabled for Checkout","Разрешен за поръчка"
"Gateway URL","URL терминал"
"Secure Gateway URL","Защитен вход URL"
"Title","Заглавиe"
"User ID","ИД на потребител"
"Password","Парола"
"Mode","Режим"
"Packages Request Type","Тип на пакети"
"Container","Контейнер"
"Size","Размер"
"Width","Ширина"
"Length","Дължина"
"Height","Височина"
"Girth","Обиколка"
"Machinable","Машинна обработка"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Максималното тегло на пакет (моля консултирайте се с вашия превозвач за максимално допустимото тегло)"
"Calculate Handling Fee","Изчисляване на такса за обработване"
"Handling Applied","Приложена обработка"
"Handling Fee","Такса за обработване"
"Allowed Methods","Разрешени методи"
"Free Method","Свободен метод"
"Enable Free Shipping Threshold","Разреши праг на свободна доставка"
"Free Shipping Amount Threshold","Праг на сумата за безплатна доставка"
"Displayed Error Message","Показаното е съобщение за грешка"
"Ship to Applicable Countries","Доставка до приложимите страни"
"Ship to Specific Countries","Доставка до конкретни страни"
"Debug","Дебъг"
"Show Method if Not Applicable","Покажи метод, ако не са приложими"
"Sort Order","Ред на сортиране"
"First-Class Mail Parcel","First-Class Mail Parcel"
"Flat-Rate Box","Flat-Rate Box"
"Standard Post","Standard Post"
"Priority Mail Express Flat Rate Boxes","Priority Mail Express Flat Rate Boxes"
"Priority Mail Express Flat Rate Boxes Hold For Pickup","Priority Mail Express Flat Rate Boxes Hold For Pickup"
"Priority Mail Express International Flat Rate Boxes","Priority Mail Express International Flat Rate Boxes"
