"Integrations","Integraatiot"
"Add New Integration","Lisää uusi integraatio"
"API","Rajapinta"
"Save","Tallenna"
"Save & Activate","Tallenna & aktivoi"
"New Integration","Uusi integraatio"
"Edit Integration '%1'","Edit Integration '%1'"
"Integration Info","Integration Info"
"General","Yleiset"
"Name","Nimi"
"Email","Sähköposti"
"Callback URL","Callback URL"
"Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.","Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://."
"Identity link URL","Identity link URL"
"URL to redirect user to link their 3rd party account with this Magento integration credentials.","URL to redirect user to link their 3rd party account with this Magento integration credentials."
"Current User Identity Verification","Nykyisen käyttäjän henkilöllisyyden todentaminen"
"Your Password","Salasanasi"
"Integration Details","Integration Details"
"Basic Settings","Perusasetukset"
"Integration Tokens for Extensions","Integration Tokens for Extensions"
"Consumer Key","Kuluttaja-avain"
"Consumer Secret","Consumer Secret"
"Access Token","Access Token"
"Access Token Secret","Access Token Secret"
"Uninstall the extension to remove this integration","Uninstall the extension to remove this integration"
"Remove","Poista"
"View","Katso"
"Edit","Muokkaa"
"Activate","Aktivoi"
"Reauthorize","Valtuuta uudelleen"
"Integration not secure","Integration not secure"
"Uninstall the extension to remove integration '%1'.","Uninstall the extension to remove integration '%1'."
"This integration no longer exists.","This integration no longer exists."
"The integration '%1' has been deleted.","The integration '%1' has been deleted."
"Integration ID is not specified or is invalid.","Integration ID is not specified or is invalid."
"Internal error. Check exception log for details.","Internal error. Check exception log for details."
"View ""%1"" Integration","View ""%1"" Integration"
"Edit ""%1"" Integration","Edit ""%1"" Integration"
"Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information","Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information"
"Cannot edit integrations created via config file.","Määritystiedoston kautta luotuja integraatioita ei voi muokata."
"The integration '%1' has been saved.","The integration '%1' has been saved."
"The integration was not saved.","The integration was not saved."
"The integration '%1' has been re-authorized.","The integration '%1' has been re-authorized."
"The integration '%1' has been activated.","The integration '%1' has been activated."
"Integration '%1' has been sent for re-authorization.","Integration '%1' has been sent for re-authorization."
"Integration '%1' has been sent for activation.","Integration '%1' has been sent for activation."
"A consumer with ID %1 does not exist","A consumer with ID %1 does not exist"
"title","otsikko"
"You did not sign in correctly or your account is temporarily disabled.","Et ole kirjautunut sisään oikein tai tilisi on poistettu väliaikaisesti käytöstä."
"This user has no tokens.","This user has no tokens."
"The tokens could not be revoked.","The tokens could not be revoked."
"Sorry, something went wrong granting permissions. You can find out more in the exceptions log.","Sorry, something went wrong granting permissions. You can find out more in the exceptions log."
"Something went wrong while deleting roles and permissions. You can find out more in the exceptions log.","Something went wrong while deleting roles and permissions. You can find out more in the exceptions log."
"%fieldName is a required field.","%fieldName on pakollinen kenttä."
"This customer has no tokens.","This customer has no tokens."
"Inactive","Ei käytössä"
"Active","Aktiivinen"
