"Integrations","Integrasi"
"Add New Integration","Tambahkan Integrasi Baru"
"API","API"
"Save","Simpan"
"Save & Activate","Simpan & Aktivkan"
"New Integration","Integrasi baru"
"Edit Integration '%1'","Edit Integrasi '%1'"
"Integration Info","Integrasi Info"
"General","Umum"
"Name","Nama"
"Email","Email"
"Callback URL","Panggil kembali URL"
"Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.","Masukkan URL dimana Oauth mandat bisa dikirim menggunakan Oauth untuk pertukaran token. Kami sangat merekomendasikan menggunakan https://."
"Identity link URL","Identitas tautan URL"
"URL to redirect user to link their 3rd party account with this Magento integration credentials.","URL untuk menghubungkan kembali pengguna ketautan akun pihak ketiga mereka dengan mandat Magento integrasi ini."
"Current User Identity Verification","Verifikasi Identitas Pengguna"
"Your Password","Kata Sandi Anda"
"Integration Details","Detail integrasi"
"Basic Settings","Setelan Dasar"
"Integration Tokens for Extensions","Token Integrasi untuk Ekstensi"
"Consumer Key","Kunci Konsumen"
"Consumer Secret","Rahasia konsumen"
"Access Token","Akses Token"
"Access Token Secret","Rahasia Akses Token"
"Uninstall the extension to remove this integration","Instal ulang ekstensi untuk menghapus integrasi ini"
"Remove","Menghapus"
"View","Lihat"
"Edit","Ubah"
"Activate","Aktif"
"Reauthorize","Memberi autorisasi kembali"
"Integration not secure","Integrasi tidak aman"
"Uninstall the extension to remove integration '%1'.","Instal ulang ekstensi untuk menghapus integrasi '%1'."
"This integration no longer exists.","Integrasi ini sudah tidak ada lagi."
"The integration '%1' has been deleted.","Integrasi '%1' telah terhapus."
"Integration ID is not specified or is invalid.","ID Integrasi belum ditentukan atau tidak benar."
"Internal error. Check exception log for details.","Kesalahan internal. Periksa catatan pengecualian untuk lebih detail."
"View ""%1"" Integration","Tampilan ''%1'' Integrasi"
"Edit ""%1"" Integration","Edit ''%1'' Integrasi"
"Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information","Peringatan! Integrasi tidak menggunakan HTTPS tidak aman dan berpotensi membuka kerahasiaan atau informasi yang dapat diidentifikasi sendiri"
"Cannot edit integrations created via config file.","Cannot edit integrations created via config file."
"The integration '%1' has been saved.","The integration '%1' has been saved."
"The integration was not saved.","Integrasi tidak tersimpan."
"The integration '%1' has been re-authorized.","Integrasi '%1' telah di autorisasi kembali."
"The integration '%1' has been activated.","Integrasi '%1' telah diaktifkan."
"Integration '%1' has been sent for re-authorization.","Integrasi '%1' telah dikirim untuk peng-autorisasian kembali."
"Integration '%1' has been sent for activation.","Integrasi '%1' telah terkirim untuk peng-aktifan."
