"Integrations","Integrace"
"Add New Integration","Přidat novou integraci"
"API","API"
"Save","Uložit"
"Save & Activate","Uložit & Aktivovat"
"New Integration","Nová integrace"
"Edit Integration '%1'","Úprava integrace '%1'"
"Integration Info","Nastavení integrace"
"General","Obecné"
"Name","Jméno"
"Email","E-mail"
"Callback URL","URL zpětného volání"
"Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.","Zadejte URL, kam mohou být odeslána OAuth pověření pro výměnu tokenů. Je důrazně doporučeno použití https://."
"Identity link URL","URL odkaz identity"
"URL to redirect user to link their 3rd party account with this Magento integration credentials.","URL adresa pro přesměrování uživatele k propojení svého účtu třetí strany s integračními pověřeními Magenta."
"Current User Identity Verification","Současné ověření identity uživatele"
"Your Password","Vaše heslo"
"Integration Details","Podrobnosti integrace"
"Basic Settings","Základní nastavení"
"Integration Tokens for Extensions","Integrační tokeny pro rozšíření"
"Consumer Key","Klíč uživatele"
"Consumer Secret","Tajný klíč uživatele"
"Access Token","Přístupový token"
"Access Token Secret","Tajný přístupový token"
"Uninstall the extension to remove this integration","Odinstalovat rozšíření k odstranění této integrace"
"Remove","Odstranit"
"View","Zobrazit"
"Edit","Upravit"
"Activate","Aktivovat"
"Reauthorize","Znovu autorizovat"
"Integration not secure","Integration not secure"
"Uninstall the extension to remove integration '%1'.","Odinstalovat rozšíření k odstranění integrace '%1'."
"This integration no longer exists.","Tato integrace již neexistuje."
"The integration '%1' has been deleted.","Integrace '%1' byla odstraněna."
"Integration ID is not specified or is invalid.","ID integrace není zadáno nebo je neplatné."
"Internal error. Check exception log for details.","Vnitřní chyba. Podrobnosti naleznete v protokolu výjimek."
"View ""%1"" Integration","Zobrazit ""%1"" integraci"
"Edit ""%1"" Integration","Úprava ""%1"" integrace"
"Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information","Varování! Integrace, které nepoužívají protokol HTTPS, jsou nebezpečné a potenciálně vystavují soukromé nebo osobní identifikační údaje"
"The integrations created in the config file can't be edited.","The integrations created in the config file can't be edited."
"The integration '%1' has been saved.","Integrace '%1' byla uložena."
"The integration was not saved.","Integrace nebyla uložena."
"The integration '%1' has been re-authorized.","Integrace '%1' byla znovu autorizována."
"The integration '%1' has been activated.","Integrace '%1' byla aktivována."
"Integration '%1' has been sent for re-authorization.","Integrace '%1' byla odeslána k opětovné autorizaci."
"Integration '%1' has been sent for activation.","Integrace '%1' byla odeslána k aktivaci."
"A consumer with ""%1"" ID doesn't exist. Verify the ID and try again.","A consumer with ""%1"" ID doesn't exist. Verify the ID and try again."
"title","název"
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"The tokens couldn't be revoked.","The tokens couldn't be revoked."
"An error occurred during the attempt to grant permissions. For details, see the exceptions log.","An error occurred during the attempt to grant permissions. For details, see the exceptions log."
"Something went wrong while deleting roles and permissions. You can find out more in the exceptions log.","Při odstranění rolí a oprávnění nastala chyba. Více informací naleznete v protokolu výjimek."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"Failed to revoke customer's access tokens","Failed to revoke customer's access tokens"
"Inactive","Neaktivní"
"Active","Aktivní"
