"Integrations","Интеграция"
"Add New Integration","Добавить новую интеграцию"
"API","API"
"Save","Сохранить"
"Save & Activate","Сохранить и активировать"
"New Integration","Новая интеграция"
"Edit Integration '%1'","Редактировать интеграцию '%1'"
"Integration Info","Информация об интеграции"
"General","Общие"
"Name","Название"
"Email","Электронная почта"
"Callback URL","URL обратного вызова"
"Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.","Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://."
"Identity link URL","Identity link URL"
"URL to redirect user to link their 3rd party account with this Magento integration credentials.","URL to redirect user to link their 3rd party account with this Magento integration credentials."
"Current User Identity Verification","Идентификация пользователя"
"Your Password","Ваш пароль"
"Integration Details","Integration Details"
"Basic Settings","Основные настройки"
"Integration Tokens for Extensions","Integration Tokens for Extensions"
"Consumer Key","Consumer Key"
"Consumer Secret","Consumer Secret"
"Access Token","Access Token"
"Access Token Secret","Access Token Secret"
"Uninstall the extension to remove this integration","Uninstall the extension to remove this integration"
"Remove","Удалить"
"View","Просмотр"
"Edit","Редактировать"
"Activate","Активировать"
"Reauthorize","Повторно авторизовать"
"Integration not secure","Integration not secure"
"Uninstall the extension to remove integration '%1'.","Uninstall the extension to remove integration '%1'."
"This integration no longer exists.","This integration no longer exists."
"The integration '%1' has been deleted.","The integration '%1' has been deleted."
"Integration ID is not specified or is invalid.","Integration ID is not specified or is invalid."
"Internal error. Check exception log for details.","Internal error. Check exception log for details."
"View ""%1"" Integration","View ""%1"" Integration"
"Edit ""%1"" Integration","Edit ""%1"" Integration"
"Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information","Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information"
"Cannot edit integrations created via config file.","Cannot edit integrations created via config file."
"The integration '%1' has been saved.","The integration '%1' has been saved."
"The integration was not saved.","Интеграция не была сохранена."
"The integration '%1' has been re-authorized.","The integration '%1' has been re-authorized."
"The integration '%1' has been activated.","The integration '%1' has been activated."
"Integration '%1' has been sent for re-authorization.","Integration '%1' has been sent for re-authorization."
"Integration '%1' has been sent for activation.","Integration '%1' has been sent for activation."
"A consumer with ID %1 does not exist","A consumer with ID %1 does not exist"
"title","название"
"You did not sign in correctly or your account is temporarily disabled.","Вы не вошли в систему правильно или ваша учетная запись временно отключена."
"This user has no tokens.","This user has no tokens."
"The tokens could not be revoked.","The tokens could not be revoked."
"Sorry, something went wrong granting permissions. You can find out more in the exceptions log.","Sorry, something went wrong granting permissions. You can find out more in the exceptions log."
"Something went wrong while deleting roles and permissions. You can find out more in the exceptions log.","Something went wrong while deleting roles and permissions. You can find out more in the exceptions log."
