"Please specify a website.","Ange en webbplats."
"Please specify an email.","Please specify an email."
"We found an invalid value in a website column.","Vi hittade ett ogiltigt värde i en webbplatskolumn."
"Please enter a valid email.","Vänligen ange en giltig e-post."
"Please make sure attribute ""%s"" is not empty.","Kontrollera att attributet ""%s"" inte är tom."
"We can't find a customer who matches this email and website code.","We can't find a customer who matches this email and website code."
"Customer address id column is not specified","Kundens adress-id kolumn anges inte"
"We can't find that customer address.","We can't find that customer address."
"Please enter a valid region.","Vänligen ange en giltig region."
"We found another row with this email, website and address ID combination.","Vi hittade en annan rad med denna e-post, hemsida och adress-ID kombination."
"This email is found more than once in the import file.","Detta mail finns mer än en gång i importfilen."
"Orphan rows that will be skipped due default row errors","Orphan rows that will be skipped due default row errors"
"Invalid value in Store column (store does not exists?)","Ogiltigt värde i butiks kolumn (butik finns inte?)"
"We can't find that email and website combination.","We can't find that email and website combination."
"Please enter a password with a valid length.","Ange ett lösenord med en giltig längd."
"CSV","CSV"
"Excel XML","Excel XML"
"An email wasn't specified. Enter the email and try again.","An email wasn't specified. Enter the email and try again."
