"Please specify a website.","Geef een website op."
"Please specify an email.","Please specify an email."
"We found an invalid value in a website column.","We vonden een ongeldige waarde in een kolom van de website."
"Please enter a valid email.","Vul een geldig e-mailadres in"
"Please make sure attribute ""%s"" is not empty.","Zorg ervoor dat kenmerk ""%s"" niet leeg is."
"We can't find a customer who matches this email and website code.","Wij kunnen geen klant vinden die overeenkomt met dit emailadres en website code"
"Customer address id column is not specified","Klanten adres id kolom is niet gespecifieerd"
"We can't find that customer address.","We vinden het adres van de klant niet."
"Please enter a valid region.","Voer een geldige regio in."
"We found another row with this email, website and address ID combination.","Er bestaat reeds een record met deze email, website en adres ID combinatie."
"This email is found more than once in the import file.","Dit E-mailadres is meerdere malen gevonden in het importbestand."
"Orphan rows that will be skipped due default row errors","Gekoppelde rijen zullen worden overgeslagen vanwege standaard rij fouten"
"Invalid value in Store column (store does not exists?)","Ongeldige waarde in Winkel kolom (winkel bestaat niet?)"
"We can't find that email and website combination.","De combinatie van e-mailadres en website werd niet gevonden."
"Please enter a password with a valid length.","Geef een wachtwoord in met een geldige lengte."
"CSV","CSV"
"Excel XML","Excel XML"
"An email wasn't specified. Enter the email and try again.","An email wasn't specified. Enter the email and try again."
