"Please specify a website.","Zvolte web prosím."
"Please specify an email.","Please specify an email."
"We found an invalid value in a website column.","Ve sloupci website byl nalezen neplatný údaj."
"Please enter a valid email.","Zadejte platný e-mail."
"Please make sure attribute ""%s"" is not empty.","Ujistěte se, že atribut ""%s"" není prázdný."
"We can't find a customer who matches this email and website code.","Nelze najít zákazníka, který odpovídá kódu tohoto webu a e-mailu."
"Customer address id column is not specified","Není zadáno ID sloupce adresy zákazníka"
"We can't find that customer address.","Tuto adresu zákazníka nelze najít."
"Please enter a valid region.","Zadejte platný region prosím."
"We found another row with this email, website and address ID combination.","Byl nalezen další řádek se stejnou kombinací e-mailu, webu a ID adresy."
"This email is found more than once in the import file.","Tento e-mail se nachází v importovaném souboru vícekrát."
"Orphan rows that will be skipped due default row errors","Osiřelé řádky, které bude vynechány kvůli chybám"
"Invalid value in Store column (store does not exists?)","Neplatná hodnota v sloupci store (obchod neexistuje?)"
"We can't find that email and website combination.","Kombinaci e-mailu a webu nelze najít."
"Please enter a password with a valid length.","Zadejte heslo s platnou délkou prosím."
"CSV","CSV"
"Excel XML","Excel XML"
"An email wasn't specified. Enter the email and try again.","An email wasn't specified. Enter the email and try again."
