"Please specify a website.","Navedite Web lokaciju."
"Please specify an email.","Molimo navedite an email."
"We found an invalid value in a website column.","Pronašli smo nevažeću vrednost u koloni Web sajta."
"Please enter a valid email.","Unesite ispravan Email."
"Please make sure attribute ""%s"" is not empty.","Proverite da atribut ""%s"" nije prazan."
"We can't find a customer who matches this email and website code.","We can't find a customer who matches this email and website code."
"Customer address id column is not specified","Nije navedena ID adrese klijenta"
"We can't find that customer address.","We can't find that customer address."
"Please enter a valid region.","Molimo unesite važeću regiju."
"We found another row with this email, website and address ID combination.","Pronašli smo još jedan red sa kominacijom evog Emaila, Web sajta i ID adrese."
"This email is found more than once in the import file.","Ova Email adresa je pronađena više puta u datoteci za uvoz."
"Orphan rows that will be skipped due default row errors","Nasleđeni redovi će biti preskočeni zbog podrazumevanih greški redova"
"Invalid value in Store column (store does not exists?)","Nevažeća vrednost u koloni Prodavnica (prodavnica ne postoji?)"
"We can't find that email and website combination.","We can't find that email and website combination."
"Please enter a password with a valid length.","Molimo unesite lozinku sa validnom dužinom."
"CSV","CSV"
"Excel XML","Excel XML"
"An email wasn't specified. Enter the email and try again.","Nije naveden Email. Unesite Email i pokušajte ponovo."
