"Please specify a website.","Наведите Wеб локацију."
"Please specify an email.","Молимо наведите ан емаил."
"We found an invalid value in a website column.","Пронашли смо неважећу вредност у колони Wеб сајта."
"Please enter a valid email.","Унесите исправан Емаил."
"Please make sure attribute ""%s"" is not empty.","Проверите да атрибут ""%с"" није празан."
"We can't find a customer who matches this email and website code.","We can't find a customer who matches this email and website code."
"Customer address id column is not specified","Није наведена ИД адресе клијента"
"We can't find that customer address.","We can't find that customer address."
"Please enter a valid region.","Молимо унесите важец́у регију."
"We found another row with this email, website and address ID combination.","Пронашли смо још један ред са коминацијом евог Емаила, Wеб сајта и ИД адресе."
"This email is found more than once in the import file.","Ова Емаил адреса је пронађена више пута у датотеци за увоз."
"Orphan rows that will be skipped due default row errors","Наслеђени редови ће бити прескочени због подразумеваних грешки редова"
"Invalid value in Store column (store does not exists?)","Неважец́а вредност у колони Продавница (продавница не постоји?)"
"We can't find that email and website combination.","We can't find that email and website combination."
"Please enter a password with a valid length.","Молимо унесите лозинку са валидном дужином."
"CSV","CSV"
"Excel XML","Excel XML"
"An email wasn't specified. Enter the email and try again.","Није наведен Емаил. Унесите Емаил и покушајте поново."
