"Back","Geri"
"Reset","Sıfırla"
"Delete Role","Kural sil"
"Are you sure you want to do this?","Bu işlemi yapmak istediğinizden emin misiniz?"
"Save Role","Yetki Sınıfı Kaydet"
"Roles","Yetki Sınıfları"
"Add New Role","Yeni Yetki Sınıfı Ekle"
"Role Information","Yetki Sınıfı Bilgisi"
"Role Users","Yetki Sınıfı Kullanıcıları"
"User ID","Kullanıcı ID"
"User Name","Kullanıcı Adı"
"First Name","Adı"
"Last Name","Soyadı"
"Email","E-posta"
"Status","Durum"
"Active","Aktif"
"Inactive","Pasif"
"Role Resources","Yetki Sınıfı Kaynakları"
"Role Info","Yetki Sınıfı Bilgisi"
"Role Name","Yetki Sınıfı Adı"
"Current User Identity Verification","Geçerli kullanıcı kimlik doğrulaması"
"Your Password","Parolanız"
"Add New User","Yeni Kullanıcı Ekle"
"Users","Kullanıcılar"
"Save User","Kullanıcıyı Kaydet"
"Delete User","Kullanıcıyı Sil"
"Are you sure you want to revoke the user's tokens?","Kullanıcının simgelerini iptal etmek istediğinizden emin misiniz?"
"Force Sign-In","Oturum açmak için zorla"
"Edit User '%1'","'%1' Kullanıcısını Düzenle"
"New User","Yeni Kullanıcı"
"Account Information","Hesap Bilgisi"
"User Email","Kullanıcı E-posta Adresi"
"Password","Şifre"
"New Password","Yeni Şifre"
"Password Confirmation","Şifre (Tekrar)"
"Interface Locale","Yerel arabirim"
"This account is","Bu hesap "
"Account Status","Hesap Durumu"
"User Roles Information","Kullanıcı Yetki Bilgisi"
"Assigned","Atandı"
"Role","Yetki Sınıfı"
"User Information","Kullanıcı Bilgisi"
"User Info","Kullanıcı Bilgisi"
"User Role","Kullanıcı Yetkisi"
"Please correct the password reset token.","Lütfen şifre sıfırlama simgesini düzeltin."
"Please specify the correct account and try again.","Lütfen doğru hesabı belirtip tekrar deneyin."
"Your password reset link has expired.","Şifre sıfırlama bağlantısının kullanım süresi doldu."
"We're unable to send the password reset email.","Parola sıfırlama e-postası gönderilemedi."
"We'll email you a link to reset your password.","Size parolanızı sıfırlamak için e-posta ile bir link göndereceğiz."
"Please correct this email address:","Lütfen bu e-posta adresini düzeltin:"
"Please enter an email address.","Lütfen bir e-posta adresi girin."
"You updated your password.","Parolanızı güncellediniz."
"Locked Users","Kilitli kullanıcılar"
"Unlocked %1 user(s).","%1 kullanıcının kilidi açıldı."
"System","Sistem"
"Permissions","Yetkiler"
"You cannot delete your own account.","Kendi hesabınızı silemezsiniz."
"You have entered an invalid password for current user.","You have entered an invalid password for current user."
"You deleted the user.","Kullanıcıyı sildiniz."
"We can't find a user to delete.","Silinecek bir kullanıcı bulamıyoruz."
"This user no longer exists.","Kullanıcı bulunamıyor."
"Edit User","Kullanıcı Düzenle"
"You have revoked the user's tokens.","Kullanıcının simgelerini iptal ettiniz."
"We can't find a user to revoke.","İptal edecek bir kullanıcı bulamıyoruz."
"You cannot delete self-assigned roles.","Kendine atanmış rolleri silemezsiniz."
"You deleted the role.","Rolü sildiniz."
"An error occurred while deleting this role.","Bu rol silinirken bir hata meydana geldi."
"Edit Role","Yetki Sınıfı Düzenle"
"New Role","Yeni Yetki Sınıfı"
"This role no longer exists.","Bu rol artık yok."
"You saved the role.","Rolü kaydettin."
"An error occurred while saving this role.","Bu rol kaydedilirken bir hata meydana geldi."
"You saved the user.","Kullanıcıyı kaydettin."
"A user with the same user name or email already exists.","Aynı kullanıcı adı veya e-postayla zaten bir kullanıcı var."
"Recommended","Tavsiye Edilem"
"Forced","Zorunlu"
"Sorry, but this password has already been used. Please create another.","Üzgünüm, ama bu şifre zaten kullanılmış. Lütfen başka bir tane oluşturun."
"email","e-posta"
"password","şifre"
"username","kullanıcı adı"
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"You need more permissions to access this.","You need more permissions to access this."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"User Name is a required field.","User Name is a required field."
"First Name is a required field.","First Name is a required field."
"Last Name is a required field.","Last Name is a required field."
"Please enter a valid email.","Lütfen geçerli bir e-posta adresi girin."
"Password is required field.","Şifre gerekli alan."
"Your password must be at least %1 characters.","Şifreniz en az %1 karakter olmalıdır."
"Your password must include both numeric and alphabetic characters.","Parolanız hem sayısal hem alfabetik karakterlere sahip olmalıdır."
"Your password confirmation must match your password.","Parola doğrulamanız parolanızla eşleşmelidir."
"It's time to change your password.","Şimdi şifreni değiştirme zamanı."
