"Back","Tillbaka"
"Reset","Återställ"
"Delete Role","Ta bort Roll"
"Are you sure you want to do this?","Är du säker på att du vill göra detta?"
"Save Role","Spara roll"
"Roles","Roller"
"Add New Role","Lägg till ny roll"
"Role Information","Rollinformation"
"Role Users","Roll-användare"
"User ID","Användar-ID"
"User Name","Användarnamn"
"First Name","Förnamn"
"Last Name","Efternamn"
"Email","E-post"
"Status","Status"
"Active","Aktiv"
"Inactive","Inaktiv"
"Role Resources","Roll resurser"
"Role Info","Roll Info"
"Role Name","Rollnamn"
"Current User Identity Verification","Identitetsverifiering för nuvarande användare"
"Your Password","Ditt lösenord"
"Add New User","Lägg till en Ny Användare"
"Users","Användare"
"Save User","Spara användare"
"Delete User","Delete User"
"Are you sure you want to revoke the user's tokens?","Are you sure you want to revoke the user's tokens?"
"Force Sign-In","Tvinga inloggning"
"Edit User '%1'","Redigera användare '%1'"
"New User","New User"
"Account Information","Kontoinformation"
"User Email","Användar E-post"
"Password","Lösenord"
"New Password","Nytt lösenord"
"Password Confirmation","Lösenords bekräftelse"
"Interface Locale","Gränssnitts språk"
"This account is","This account is"
"Account Status","Kontostatus"
"User Roles Information","User Roles Information"
"Assigned","Tilldelad"
"Role","Roll"
"User Information","User Information"
"User Info","User Info"
"User Role","User Role"
"Please correct the password reset token.","Please correct the password reset token."
"Please specify the correct account and try again.","Please specify the correct account and try again."
"Your password reset link has expired.","Din länk för återställning av lösenord har gått ut."
"We're unable to send the password reset email.","We're unable to send the password reset email."
"We'll email you a link to reset your password.","We'll email you a link to reset your password."
"Please correct this email address:","Please correct this email address:"
"Please enter an email address.","Vänligen fyll i en e-postadress."
"You updated your password.","Du uppdaterade ditt lösenord."
"Locked Users","Locked Users"
"Unlocked %1 user(s).","Unlocked %1 user(s)."
"System","System"
"Permissions","Permissions"
"You cannot delete your own account.","You cannot delete your own account."
"The password entered for the current user is invalid. Verify the password and try again.","The password entered for the current user is invalid. Verify the password and try again."
"You deleted the user.","You deleted the user."
"We can't find a user to delete.","We can't find a user to delete."
"This user no longer exists.","This user no longer exists."
"Edit User","Redigera användare"
"You have revoked the user's tokens.","You have revoked the user's tokens."
"We can't find a user to revoke.","We can't find a user to revoke."
"You cannot delete self-assigned roles.","You cannot delete self-assigned roles."
"We can't find a role to delete.","We can't find a role to delete."
"You deleted the role.","You deleted the role."
"An error occurred while deleting this role.","An error occurred while deleting this role."
"Edit Role","Redigera roll"
"New Role","New Role"
"This role no longer exists.","This role no longer exists."
"You saved the role.","You saved the role."
"An error occurred while saving this role.","An error occurred while saving this role."
"You saved the user.","You saved the user."
"Administrator","Administrator"
"A user with the same user name or email already exists.","A user with the same user name or email already exists."
"Recommended","Recommended"
"Forced","Forced"
"Sorry, but this password has already been used. Please create another.","Sorry, but this password has already been used. Please create another."
"email","e-post"
"password","lösenord"
"username","username"
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"More permissions are needed to access this.","More permissions are needed to access this."
"The password reset token is incorrect. Verify the token and try again.","The password reset token is incorrect. Verify the token and try again."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"""User Name"" is required. Enter and try again.","""User Name"" is required. Enter and try again."
"""First Name"" is required. Enter and try again.","""First Name"" is required. Enter and try again."
"""Last Name"" is required. Enter and try again.","""Last Name"" is required. Enter and try again."
"Please enter a valid email.","Vänligen ange en giltig e-post."
"Password is required field.","Lösenord krävs."
"Your password must be at least %1 characters.","Your password must be at least %1 characters."
"Your password must include both numeric and alphabetic characters.","Your password must include both numeric and alphabetic characters."
"Your password confirmation must match your password.","Your password confirmation must match your password."
"It's time to change your password.","It's time to change your password."
"It's time to <a href=""%1"">change your password</a>.","Det är dags att <a href=""%1""> ändra ditt lösenord</a>."
"Your password has expired; please contact your administrator.","Your password has expired; please contact your administrator."
"Password Help","Password Help"
"Enter your email address.  You will receive an email with a link to reset your password.","Enter your email address.  You will receive an email with a link to reset your password."
"Email address","E-postadress"
"Retrieve Password","Retrieve Password"
"Back to Sign in","Back to Sign in"
"Forgot your password?","Glömt ditt lösenord?"
"Reset a Password","Återställ ett Lösenord"
"Confirm New Password","Bekräfta Nytt Lösenord"
"Reset Password","Återställ lösenord"
"Roles Resources","Roles Resources"
"Resource Access","Resursåtkomst"
"Custom","Anpassad"
"All","Alla"
"Resources","Resources"
"Warning!<br>This action will remove this user from already assigned role.<br>Are you sure?","Warning!<br>This action will remove this user from already assigned role.<br>Are you sure?"
"Warning!<br>This action will remove those users from already assigned roles.<br>Are you sure?","Warning!<br>This action will remove those users from already assigned roles.<br>Are you sure?"
"New admin user '%user_name' created","New admin user '%user_name' created"
"Hello,","Hej,"
