"Back","חזור"
"Reset","איפוס"
"Delete Role","מחק תפקיד"
"Are you sure you want to do this?","אתה בטוח שאתה רוצה לעשות את זה?"
"Save Role","שמור תפקיד"
"Roles","תפקידים"
"Add New Role","הוסף תפקיד חדש"
"Role Information","מידע על התפקיד"
"Role Users","תפקידי משתמשים"
"User ID","מזהה משתמש"
"User Name","שם משתמש"
"First Name","שם פרטי"
"Last Name","שם משפחה"
"Email","דואר אלקטרוני"
"Status","סטטוס"
"Active","פעיל"
"Inactive","לא פעיל"
"Role Resources","משאבי תפקיד"
"Role Info","פרטי תפקיד"
"Role Name","שם התפקיד"
"Current User Identity Verification","אימות זהות המשתמש הנוכחי"
"Your Password","הסיסמה שלך"
"Add New User","הוסף משתמש חדש"
"Users","משתמשים"
"Save User","שמור משתמש"
"Delete User","מחק משתמש"
"Are you sure you want to revoke the user's tokens?","האם אתה בטוח שברצונך לבטל הטוקנים של הלקוח?"
"Force Sign-In","אלץ כניסה לחשבון"
"Edit User '%1'","ערוך משתמש '%1'"
"New User","משתמש חדש"
"Account Information","פרטי חשבון"
"User Email","דוא״ל של משתמש"
"Password","סיסמה"
"New Password","סיסמה חדשה"
"Password Confirmation","אמת סיסמה"
"Interface Locale","ממשק אזורי"
"This account is","חשבון זה"
"Account Status","מצב חשבון"
"User Roles Information","מידע אודות תפקידי המשתמש"
"Assigned","הוקצה"
"Role","תפקיד"
"User Information","פרטי משתמש"
"User Info","פרטי משתמש"
"User Role","תפקיד משתמש"
"Please correct the password reset token.","בבקשה תקן את טוקן איפוס הסיסמה."
"Please specify the correct account and try again.","נא ציין את החשבון הנכון ונסה שוב."
"Your password reset link has expired.","הקישור איפוס הסיסמה פג."
"We're unable to send the password reset email.","איננו יכולים לשלוח איפוס הסיסמה לדואר האלקטרוני."
"We'll email you a link to reset your password.","אנחנו נשלח לך בדואר קישור לאיפוס הסיסמה שלך."
"Please correct this email address:","נא תקן את כתובת הדוא״ל:"
"Please enter an email address.","נא להזין כתובת אימייל."
"You updated your password.","עדכנת את סיסמתך."
"Locked Users","משתמשים נעולים"
"Unlocked %1 user(s).","%1 משתמשים שוחררו מנעילה."
"System","מערכת"
"Permissions","הרשאות"
"You cannot delete your own account.","אין באפשרותך למחוק את החשבון שלך."
"You have entered an invalid password for current user.","You have entered an invalid password for current user."
"You deleted the user.","מחקת את המשתמש."
"We can't find a user to delete.","איננו יכולים למצוא משתמש כדי לבצע מחיקה."
"This user no longer exists.","משתמש זה כבר לא קיים."
"Edit User","ערוך משתמש"
"You have revoked the user's tokens.","אתה מחקת את הטוקנים של המשתמשים."
"We can't find a user to revoke.","איננו יכולים למצוא את המשתמש כדי לבצע מחיקה."
"You cannot delete self-assigned roles.","לא ניתן למחוק תפקידים בהקצאה עצמית."
"You deleted the role.","מחקת את התפקיד."
"An error occurred while deleting this role.","אירעה שגיאה בעת מחיקת תפקיד זה."
"Edit Role","ערוך תפקיד"
"New Role","תפקיד חדש"
"This role no longer exists.","התפקיד לא קיים יותר."
"You saved the role.","שמרת את התפקיד."
"An error occurred while saving this role.","אירעה שגיאה בעת שמירת תפקיד זה."
"You saved the user.","שמרת את המשתמש."
"A user with the same user name or email already exists.","משתמש עם אותו שם משתמש או דואר אלקטרוני כבר קיים."
"Recommended","מומלץ"
"Forced","מוכרח"
"Sorry, but this password has already been used. Please create another.","מצטערים, אבל הסיסמה הזו כבר הייתה בשימוש. בבקשה צור אחרת."
"email","דואר אלקטרוני"
"password","סיסמה"
"username","שם משתמש"
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"You need more permissions to access this.","You need more permissions to access this."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"User Name is a required field.","User Name is a required field."
"First Name is a required field.","First Name is a required field."
"Last Name is a required field.","Last Name is a required field."
"Please enter a valid email.","נא הזן כתובת דואר אלקטרוני חוקית."
"Password is required field.","הסיסמה היא שדה חובה."
"Your password must be at least %1 characters.","הסיסמה שלך חייב להיות לפחות %1 תווים."
"Your password must include both numeric and alphabetic characters.","הסיסמה שלך חייבת לכלול גם ספרות וגם אותיות."
"Your password confirmation must match your password.","סיסמת האימות שלך חייבת להיות זהה לסיסמה שלך."
"It's time to change your password.","הגיע הזמן לשנות את הסיסמה שלך."
"It's time to <a href=""%1"">change your password</a>.","הגיע הזמן לשנות <a href=\"%1\"> את הסיסמה שלך</a>."
"Your password has expired; please contact your administrator.","הסיסמה שלך פגה תוקף, אנא צור קשר עם מנהל המערכת."
"Password Help","עזרה בסיסמה"
"Enter your email address.  You will receive an email with a link to reset your password.","הזמן את כתובת הדואר האלקטרוני שלך. אתה תקבל דוא""ל עם קישור לאיפוס הסיסמה שלך."
"Email address","כתובת דואר אלקטרוני"
"Retrieve Password","אחזר סיסמה"
"Back to Sign in","חזרה לכניסה"
"Forgot your password?","שכחת סיסמה?"
"Reset a Password","איפוס סיסמה"
"Confirm New Password","אימות סיסמה חדשה"
"Reset Password","איפוס סיסמה"
"Roles Resources","משאבי תפקידים"
"Resource Access","גישות משאב"
"Custom","מותאם"
"All","הכל"
"Resources","משאבים"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?"
"Password Reset Confirmation for %name","אימות איפוס סיסמה עבור %name"
"%name,","%name,"
"There was recently a request to change the password for your account.","לאחרונה הייתה בקשה לשנות את סיסמת החשבון שלך."
"If you requested this change, reset your password here:","אם ביקשת שינוי זה, אפס את הסיסמה שלך כאן:"
"If you did not make this request, you can ignore this email and your password will remain the same.","אם לא הגשה את הבקשה הזו, באפשרותך להתעלם מדוא""ל זה, והסיסמה שלך תישאר זהה."
"Thank you,","תודה לך,"
"New %changes for %user_name","%changes חדשים עבור %user_name"
"Hello,","שלום,"
"We have received a request to change the following information associated with your account at %store_name: %changes.","קיבלנו בקשה לשנות את המידע הבא המשויך לחשבון שלך ב- %store_name: %changes."
"If you have not authorized this action, please contact us immediately at %store_email","אם לא אישרת פעולה זו, נא לפנות אלינו מיד ב-%store_email"
"or call us at %store_phone","or call us at %store_phone"
"Thanks,","תודה,"
"All Users","כל המשתמשים"
"User Roles","תפקיד משתמש"
"User Notification Template","תבנית הודעה של משתמש"
"Email template chosen based on theme fallback when ""Default"" option is selected.","תבנית המייל הנבחר בהתבסס על ירושת התבנית כשבוחרים באפשרות ""ברירת מחדל""."
"Maximum Login Failures to Lockout Account","מספר ניסיונות כניסה כושלים מרבי עד לנעילת החשבון"
"We will disable this feature if the value is empty.","אנו נשבית אפשרות זו אם הערך ריק."
"Lockout Time (minutes)","זמן נעילה (בדקות)"
"Password Lifetime (days)","פג תוקף סיסמה (בימים)"
"Password Change","שינוי סיסמה"
"Unlock","שחרר"
"ID","מזהה"
"Username","שם משתמש"
"Last login","כניסה אחרונה"
"Failures","כשלים"
"Unlocked","משוחרר"
"The password for your account has been successfully changed.","The password for your account has been successfully changed."
"If you did not request this change, please contact us.","If you did not request this change, please contact us."
"Reset Password Template","Reset Password Template"
"Administrator","Administrator"
"New admin user '%user_name' created","New admin user '%user_name' created"
"A new admin account was created for %first_name, %last_name using %email.","A new admin account was created for %first_name, %last_name using %email."
"The password entered for the current user is invalid. Verify the password and try again.","The password entered for the current user is invalid. Verify the password and try again."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"More permissions are needed to access this.","More permissions are needed to access this."
