"Back","Atpakaļ"
"Reset","Notīrīt"
"Delete Role","Izdzēst lomu"
"Are you sure you want to do this?","Vai tiešām vēlaties to darīt?"
"Save Role","Saglabātu lomu"
"Roles","Lomas"
"Add New Role","Pievienot jaunu lomu"
"Role Information","Lomas informācija"
"Role Users","Lietotāju lomas"
"User ID","Lietotāja ID"
"User Name","Lietotājvārds"
"First Name","Vārds"
"Last Name","Uzvārds"
"Email","E-pasts"
"Status","Statuss"
"Active","Aktīvs"
"Inactive","Neaktīvs"
"Role Resources","Role Resources"
"Role Info","Role Info"
"Role Name","Lomas nosaukums"
"Current User Identity Verification","Patreizējā lietotāja identitātes pārbaude"
"Your Password","Jūsu parole"
"Add New User","Pievienot jaunu lietotāju"
"Users","Lietotāji"
"Save User","Saglabāt lietotāju"
"Delete User","Dzēst lietotāju"
"Are you sure you want to revoke the user's tokens?","Are you sure you want to revoke the user's tokens?"
"Force Sign-In","Force Sign-In"
"Edit User '%1'","Edit User '%1'"
"New User","Jauns lietotājs"
"Account Information","Konta informācija"
"User Email","Lietotāja e-pasts"
"Password","Parole"
"New Password","Jauna parole"
"Password Confirmation","Paroles apstiprinājums"
"Interface Locale","Interfeisa lokalizācija"
"This account is","This account is"
"Account Status","Konta statuss"
"User Roles Information","User Roles Information"
"Assigned","Assigned"
"Role","Loma"
"User Information","Lietotāja informācija"
"User Info","Lietotāja informācija"
"User Role","Lietotāja loma"
"Please correct the password reset token.","Please correct the password reset token."
"Please specify the correct account and try again.","Please specify the correct account and try again."
"Your password reset link has expired.","Your password reset link has expired."
"We're unable to send the password reset email.","We're unable to send the password reset email."
"We'll email you a link to reset your password.","We'll email you a link to reset your password."
"Please correct this email address:","Please correct this email address:"
"Please enter an email address.","Ievadiet e-pasta adresi."
"You updated your password.","Jūs atjauninājāt savu paroli."
"Locked Users","Locked Users"
"Unlocked %1 user(s).","Unlocked %1 user(s)."
"System","Sistēma"
"Permissions","Piekļuves tiesības"
"You cannot delete your own account.","Jūs nevarat izdzēst savu kontu."
"You have entered an invalid password for current user.","You have entered an invalid password for current user."
"You deleted the user.","You deleted the user."
"We can't find a user to delete.","We can't find a user to delete."
"This user no longer exists.","This user no longer exists."
"Edit User","Labot lietotāju"
"You have revoked the user's tokens.","You have revoked the user's tokens."
"We can't find a user to revoke.","We can't find a user to revoke."
"You cannot delete self-assigned roles.","You cannot delete self-assigned roles."
"You deleted the role.","You deleted the role."
"An error occurred while deleting this role.","An error occurred while deleting this role."
"Edit Role","Edit Role"
"New Role","Jauna loma"
"This role no longer exists.","This role no longer exists."
"You saved the role.","You saved the role."
"An error occurred while saving this role.","An error occurred while saving this role."
"You saved the user.","You saved the user."
"A user with the same user name or email already exists.","A user with the same user name or email already exists."
"Recommended","Recommended"
"Forced","Forced"
