"Back","Kembali"
"Reset","Set ulang"
"Delete Role","Hapus Wewenang"
"Are you sure you want to do this?","Apakah Anda yakin ingin melakukan ini?"
"Save Role","Simpan Wewenang"
"Roles","Wewenang"
"Add New Role","Tambahkan Wewenang Baru"
"Role Information","Informasi Wewenang"
"Role Users","Pengguna Wewenang"
"User ID","Identitas pengguna"
"User Name","Nama Pengguna"
"First Name","Nama depan"
"Last Name","Nama Belakang"
"Email","E-mail"
"Status","Subjek"
"Active","Aktif"
"Inactive","Tidak aktif"
"Role Resources","Sumber daya Wewenang"
"Role Info","Info Wewenang"
"Role Name","Nama Wewenang"
"Current User Identity Verification","Verifikasi Identitas Pengguna Saat Ini"
"Your Password","Kata sandi Anda"
"Add New User","Tambahkan pengguna baru"
"Users","Pengguna"
"Save User","Simpan pengguna"
"Delete User","Hapus pengguna"
"Are you sure you want to revoke the user's tokens?","Yakin ingin mencabut token pengguna?"
"Force Sign-In","Paksa Masuk"
"Edit User '%1'","Edit Pengguna '%1'"
"New User","Pengguna baru"
"Account Information","Informasi Akun"
"User Email","Email pengguna"
"Password","Kata sandi"
"New Password","Kata sandi baru"
"Password Confirmation","Konfirmasi kata kunci"
"Interface Locale","Antarmuka lokal"
"This account is","Akun ini"
"Account Status","Status akun"
"User Roles Information","Informasi Wewenang Pengguna"
"Assigned","Ditugaskan"
"Role","Wewenang"
"User Information","Informasi pengguna"
"User Info","Info Pengguna"
"User Role","Wewenang Pengguna"
"Please correct the password reset token.","Silakan perbaiki token reset passwordnya."
"Please specify the correct account and try again.","Silakan tentukan akun yang benar dan coba lagi."
"Your password reset link has expired.","Tautan setel ulang sandi Anda telah kedaluwarsa."
"We're unable to send the password reset email.","Kami tidak dapat mengirim email penyetelan ulang kata sandi."
"We'll email you a link to reset your password.","Kami akan mengirimi Anda tautan email untuk menyetel ulang sandi Anda."
"Please correct this email address:","Perbaiki alamat email ini:"
"Please enter an email address.","Silahkan masukan alamat email."
"You updated your password.","Anda memperbarui kata sandi Anda."
"Locked Users","Pengguna Terkunci"
"Unlocked %1 user(s).","Unlocked %1 user(s)."
"System","Sistem"
"Permissions","Izin"
"You cannot delete your own account.","Anda tidak dapat menghapus akun Anda sendiri."
"You have entered an invalid password for current user.","You have entered an invalid password for current user."
"You deleted the user.","Anda menghapus pengguna."
"We can't find a user to delete.","Kami tidak dapat menemukan pengguna yang akan dihapus."
"This user no longer exists.","Pengguna ini sudah tidak ada lagi."
"Edit User","Ubah pengguna"
"You have revoked the user's tokens.","Anda telah mencabut token pengguna."
"We can't find a user to revoke.","Kami tidak dapat menemukan pengguna untuk mencabut."
"You cannot delete self-assigned roles.","Anda tidak dapat menghapus wewenang yang ditetapkan ke diri sendiri."
"You deleted the role.","Anda menghapus wewenang tersebut."
"An error occurred while deleting this role.","Terjadi kesalahan saat menghapus wewenang ini."
"Edit Role","Ubah Wewenang"
"New Role","Wewenang Baru"
"This role no longer exists.","Wewenang ini sudah tidak ada lagi."
"You saved the role.","Anda menyimpan wewenang tersebut."
"An error occurred while saving this role.","Terjadi kesalahan saat menyimpan wewenang ini."
"You saved the user.","Anda menyimpan pengguna."
"A user with the same user name or email already exists.","Pengguna dengan nama pengguna atau email yang sama sudah ada."
"Recommended","Direkomendasikan"
"Forced","Terpaksa"
