"Back","Terug"
"Reset","Resetten"
"Delete Role","Rol verwijderen"
"Are you sure you want to do this?","Weet u zeker dat u dit wilt doen?"
"Save Role","Rol opslaan"
"Roles","Rollen"
"Add New Role","Nieuwe rol toevoegen"
"Role Information","Rol informatie"
"Role Users","Rol gebruikers"
"User ID","Gebruiker-ID"
"User Name","Gebruikersnaam"
"First Name","Voornaam"
"Last Name","Achternaam"
"Email","E-mail"
"Status","status"
"Active","Actief"
"Inactive","Inactief"
"Role Resources","Rol bronnen"
"Role Info","Rol info"
"Role Name","Rolnaam"
"Current User Identity Verification","Huidige gebruiker verificatie"
"Your Password","Uw wachtwoord"
"Add New User","Nieuwe gebruiker toevoegen"
"Users","Gebruikers"
"Save User","Gebruiker opslaan"
"Delete User","Gebruiker verwijderen"
"Are you sure you want to revoke the user's tokens?","Weet u zeker dat u de sleutels van de gebruiker wenst in te trekken?"
"Force Sign-In","Forceer opnieuw inloggen"
"Edit User '%1'","Bewerken gebruiker '%1'"
"New User","Nieuwe gebruiker"
"Account Information","Account Gegevens"
"User Email","E-mail van gebruiker"
"Password","Wachtwoord"
"New Password","Nieuw wachtwoord"
"Password Confirmation","Wachtwoord bevestiging"
"Interface Locale","Interfacetaal"
"This account is","Dit account is"
"Account Status","Accountinstellingen"
"User Roles Information","Rolgegevens gebruiker"
"Assigned","Toegewezen"
"Role","Rol"
"User Information","Gebruikergegevens"
"User Info","Gebruikerinfo"
"User Role","Rol van gebruiker"
"Please correct the password reset token.","Corrigeer de sleutel van het opnieuw in te stellen wachtwoord."
"Please specify the correct account and try again.","Geef de juiste account op en probeer opnieuw."
"Your password reset link has expired.","Uw wachtwoord-reset-link is verlopen"
"We're unable to send the password reset email.","We kunnen de wachtwoordherstel e-mail niet verzenden."
"We'll email you a link to reset your password.","We sturen je een link om je wachtwoord opnieuw in te stellen."
"Please correct this email address:","Corrigeer het e-mailadres:"
"Please enter an email address.","Voer een emailadres in."
"You updated your password.","Uw wachtwoord is bijgewerkt."
"Locked Users","Vergrendelde gebruikers"
"Unlocked %1 user(s).","%1 gebruiker(s) ontgrendeld."
"System","Systeem"
"Permissions","Bevoegdheden"
"You cannot delete your own account.","U kan niet uw eigen account verwijderen"
"You have entered an invalid password for current user.","U heeft een ongeldig wachtwoord voor de huidige gebruiker ingevoerd."
"You deleted the user.","U heeft de gebruiker verwijderd."
"We can't find a user to delete.","We kunnen geen gebruiker vinden om te verwijderen."
"This user no longer exists.","Deze gebruiker bestaat niet meer."
"Edit User","Gebruiker bewerken"
"You have revoked the user's tokens.","U heeft de sleutels van de gebruiker ingetrokken."
"We can't find a user to revoke.","We kunnen geen gebruiker vinden om in te trekken."
"You cannot delete self-assigned roles.","U kan geen zelfverklaarde rollen verwijderen."
"You deleted the role.","U heeft de rol verwijderd."
"An error occurred while deleting this role.","Er is een fout opgetreden bij het verwijderen van deze rol"
"Edit Role","Wijzig rol"
"New Role","Nieuwe rol"
"This role no longer exists.","Deze rol bestaat niet meer."
"You saved the role.","U heeft de rol opgeslagen."
"An error occurred while saving this role.","Er is een fout opgetreden bij het opslaan van deze rol."
"You saved the user.","U heeft de gebruiker opgeslagen."
"A user with the same user name or email already exists.","Een gebruiker met deze gebruikersnaam of dit emailadres bestaat reeds."
"Recommended","Aanbevolen"
"Forced","Gedwongen"
"Sorry, but this password has already been used. Please create another.","Dit wachtwoord is reeds gebruikt. Probeer een ander."
"email","E-mailadres"
"password","wachtwoord"
"username","gebruikersnaam"
"You did not sign in correctly or your account is temporarily disabled.","Inloggegevens zijn onjuist of uw account is tijdelijk uitgeschakeld."
"You need more permissions to access this.","U heeft meer bevoegdheden nodig om toegang te krijgen."
"Your account is temporarily disabled.","Uw account is tijdelijk uitgeschakeld."
"User Name is a required field.","Gebruikersnaam is verplicht."
"First Name is a required field.","Voornaam is verplicht."
"Last Name is a required field.","Achternaam is een verplicht veld."
"Please enter a valid email.","Vul een geldig e-mailadres in"
"Password is required field.","Wachtwoord is verplicht veld."
"Your password must be at least %1 characters.","Wachtwoord moet ten minste %1 tekens bevatten."
"Your password must include both numeric and alphabetic characters.","Uw wachtwoord moet zowel numeriek als alfanumerieke tekens bevatten."
"Your password confirmation must match your password.","Uw wachtwoord bevestiging moet overeenkomen met uw wachtwoord."
"It's time to change your password.","Het is tijd om uw wachtwoord te wijzigen."
"It's time to <a href=""%1"">change your password</a>.","Het is tijd om uw <a href=""%1"">wachtwoord te wijzigen</a>."
"Your password has expired; please contact your administrator.","Uw wachtwoord is verlopen, neem contact op met de beheerder."
"Password Help","Wachtwoord Hulp"
"Enter your email address.  You will receive an email with a link to reset your password.","Voer uw e-mailadres in. U zal een link ontvangen om uw wachtwoord te opnieuw in te stellen."
"Email address","E-mailadres"
"Retrieve Password","Wachtwoord opvragen"
"Back to Sign in","Terug naar inloggen"
"Forgot your password?","Wachtwoord vergeten?"
"Reset a Password","Wachtwoord opnieuw instellen"
"Confirm New Password","Bevestig nieuw wachtwoord"
"Reset Password","Wachtwoord herstellen"
"Roles Resources","Rollen bronnen"
"Resource Access","Toegang tot bron"
"Custom","Aangepast"
"All","Alle"
"Resources","Bronnen"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Waarschuwing:\r\nDeze actie verwijderd de gebruik van de reeds toegekende rollen\r\nWeet u het zeker?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Waarschuwing:\r\nDeze actie verwijderd de gebruikers van de reeds toegekende rollen\r\nWeet u het zeker?"
"Password Reset Confirmation for %name","Wachtwoord reset bevestiging voor %name"
"%name,","%naam,"
"There was recently a request to change the password for your account.","Er was onlangs een aanvraag om het wachtwoord van uw account te wijzigen."
"If you requested this change, reset your password here:","Indien u deze wijziging heeft aangevraagd, stel uw wachtoord hier opnieuw in:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Indien u deze aanvraag niet heeft ingediend, kan u deze email negeren en uw wachtwoord zal ongewijzigd blijven."
"Thank you,","Bedankt,"
"New %changes for %user_name","Nieuwe %changes voor %user_name"
"Hello,","Hallo,"
"We have received a request to change the following information associated with your account at %store_name: %changes.","Wij hebben een verzoek ontvangen om de volgende informatie gekoppeld aan uw account op %store_name te wijzigen: %changes."
"If you have not authorized this action, please contact us immediately at %store_email","Als u geen toestemming voor deze actie gegeven hebt, neem onmiddellijk contact met ons op %store_email"
"or call us at %store_phone","of bel ons op %store_phone"
"Thanks,","Bedankt,"
"All Users","Alle Gebruikers"
"User Roles","Gebruikersrollen"
"User Notification Template","Gebruikers kennisgevingssjabloon"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-mail sjabloon dat gekozen wordt op basis van thema fallback als de optie ""Standaard"" is geselecteerd."
"Maximum Login Failures to Lockout Account","Maximaal aantal foute logins waarna het account wordt vergrendeld"
"We will disable this feature if the value is empty.","Functie wordt uitgeschakeld als de waarde leeg is."
"Lockout Time (minutes)","Duur vergrendeling (minuten)"
"Password Lifetime (days)","Levensduur Wachtwoord (dagen)"
"Password Change","Wachtwoord Wijzigen"
"Unlock","Deblokkeer"
"ID","ID"
"Username","Gebruikersnaam"
"Last login","Laatste login"
"Failures","Mislukkingen"
"Unlocked","Ontgrendeld"
"The password for your account has been successfully changed.","Het wachtwoord voor uw account werd met success gewijzigd."
"If you did not request this change, please contact us.","Indien u deze aanvraag niet heeft ingediend, contacteer ons."
"Reset Password Template","Reset wachtwoord sjabloon"
"Administrator","Administrator"
"New admin user '%user_name' created","Nieuwe admin gebruiker '%user_name' aangemaakt"
"A new admin account was created for %first_name, %last_name using %email.","Een nieuw admin-account is aangemaakt voor %first_name, %last_name met %email."
"The password entered for the current user is invalid. Verify the password and try again.","Het ingevoerde wachtwoord voor de huidige gebruiker is ongeldig. Controleer het wachtwoord en probeer het opnieuw."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","De account aanmelding is onjuist of uw account is tijdelijk uitgeschakeld. Wacht en probeer het later opnieuw."
"More permissions are needed to access this.","Meer bevoegdheden zijn nodig om hier toegang toe te hebben."
"The password reset token is incorrect. Verify the token and try again.","Het token om je wachtwoord te resetten is onjuist. Controleer het token en probeer het opnieuw."
"Your account is temporarily disabled. Please try again later.","Uw account is tijdelijk uitgeschakeld. Probeer het later opnieuw."
"""User Name"" is required. Enter and try again.","""Gebruikersnaam"" is vereist. Voer in en probeer het opnieuw."
"""First Name"" is required. Enter and try again.","""Voornaam"" is vereist. Voer in en probeer het opnieuw."
"""Last Name"" is required. Enter and try again.","""Achternaam"" is vereist. Voer in en probeer het opnieuw."
