"Back","Zpět"
"Reset","Obnovit"
"Delete Role","Odstranit roli"
"Are you sure you want to do this?","Opravdu to chcete udělat?"
"Save Role","Uložit roli"
"Roles","Role"
"Add New Role","Přidat novou roli"
"Role Information","Informace o roli"
"Role Users","Uživatelé role"
"User ID","ID uživatele"
"User Name","Uživatelské jméno"
"First Name","Jméno"
"Last Name","Příjmení"
"Email","E-mail"
"Status","Stav"
"Active","Aktivní"
"Inactive","Neaktivní"
"Role Resources","Zdroje role"
"Role Info","Informace o roli"
"Role Name","Název role"
"Current User Identity Verification","Současné ověření identity uživatele"
"Your Password","Vaše heslo"
"Add New User","Přidat nového uživatele"
"Users","Uživatelé"
"Save User","Uložit uživatele"
"Delete User","Odstranit uživatele"
"Are you sure you want to revoke the user's tokens?","Skutečně chcete zrušit tokeny uživatele?"
"Force Sign-In","Vynutit přihlášení"
"Edit User '%1'","Úpravy uživatele '%1'"
"New User","Nový uživatel"
"Account Information","Údaje účtu"
"User Email","E-mail uživatele"
"Password","Heslo"
"New Password","Nové heslo"
"Password Confirmation","Potvrzení hesla"
"Interface Locale","Jazyk rozhraní"
"This account is","Tento účet ke"
"Account Status","Stav účtu"
"User Roles Information","Informace o uživatelských rolích"
"Assigned","Přiřazeno"
"Role","Role"
"User Information","Údaje uživatele"
"User Info","Údaje uživatele"
"User Role","Uživatelská role"
"Please correct the password reset token.","Opravte token pro obnovu hesla prosím."
"Please specify the correct account and try again.","Zadejte správný účet prosím a zkuste to znovu."
"Your password reset link has expired.","Platnost odkazu pro obnovu hesla vypršela."
"We're unable to send the password reset email.","E-mail pro obnovu hesla nelze odeslat."
"We'll email you a link to reset your password.","Bude vám odeslán e-mail s odkazem na obnovu hesla."
"Please correct this email address:","Opravte tuto e-mailovou adresu prosím:"
"Please enter an email address.","Zadejte e-mailovou adresu prosím."
"You updated your password.","Vaše heslo bylo změněno."
"Locked Users","Zamčení uživatelé"
"Unlocked %1 user(s).","Odemčeno uživatelů: %1."
"System","Systém"
"Permissions","Oprávnění"
"You cannot delete your own account.","Vlastní účet nelze odstranit."
"You have entered an invalid password for current user.","Bylo zadáno neplatné heslo pro aktuálního uživatele."
"You deleted the user.","Uživatel byl odstraněn."
"We can't find a user to delete.","Uživatele k odstranění nelze najít."
"This user no longer exists.","Tento uživatel již neexistuje."
"Edit User","Upravit uživatele"
"You have revoked the user's tokens.","Tokeny uživatele byly zrušeny."
"We can't find a user to revoke.","Uživatele ke zrušení nelze najít."
"You cannot delete self-assigned roles.","Vlastní roli nelze odstranit."
"You deleted the role.","Role byla odstraněna."
"An error occurred while deleting this role.","Při odstraňování role nastala chyba."
"Edit Role","Upravit roli"
"New Role","Nová role"
"This role no longer exists.","Tato role již neexistuje."
"You saved the role.","Role byla uložena."
"An error occurred while saving this role.","Při ukládání této role nastala chyba."
"You saved the user.","Uživatel byl uložen."
"A user with the same user name or email already exists.","Uživatel s tímto uživatelským jménem nebo e-mailem již existuje."
"Recommended","Doporučeno"
"Forced","Vynuceno"
"Sorry, but this password has already been used. Please create another.","Toto heslo již bylo někdy použito. Zvolte prosím jiné."
"email","e-mail"
"password","heslo"
"username","uživatelské jméno"
"You did not sign in correctly or your account is temporarily disabled.","Nejste správně přihlášen(a) nebo je váš účet dočasně vypnut."
"You need more permissions to access this.","K této činnosti potřebujete vyšší oprávnění."
"Your account is temporarily disabled.","Váš účet je dočasně nedostupný."
"User Name is a required field.","Uživatelské jméno je povinné."
"First Name is a required field.","Křestní jméno je povinné."
"Last Name is a required field.","Příjmení je povinné."
"Please enter a valid email.","Zadejte platný e-mail."
"Password is required field.","Heslo je povinné."
"Your password must be at least %1 characters.","Heslo musí obsahovat alespoň %1 znaků."
"Your password must include both numeric and alphabetic characters.","Heslo musí obsahovat čísla a písmena."
"Your password confirmation must match your password.","Zadaná hesla se neshodují."
"It's time to change your password.","Je čas na změnu vašeho hesla."
"It's time to <a href=""%1"">change your password</a>.","It's time to <a href=""%1"">change your password</a>."
"Your password has expired; please contact your administrator.","Platnost vašeho hesla vypršela, kontaktujte prosím administrátora."
"Password Help","Nápověda k heslu"
"Enter your email address.  You will receive an email with a link to reset your password.","Zadejte váš e-mail. Obdržíte zprávu s odkazem na obnovu vašeho hesla."
"Email address","E-mailová adresa"
"Retrieve Password","Obnovit heslo"
"Back to Sign in","Zpět na přihlášení"
"Forgot your password?","Obnova hesla"
"Reset a Password","Obnovit heslo"
"Confirm New Password","Potvrzení nového hesla"
"Reset Password","Nové heslo"
"Roles Resources","Zdroje role"
"Resource Access","Zdroj přístupu"
"Custom","Vlastní"
"All","Vše"
"Resources","Zdroje"
