"Back","이전"
"Reset","초기화"
"Delete Role","Delete Role"
"Are you sure you want to do this?","정말로 이 작업을 수행하겠습니까?"
"Save Role","Save Role"
"Roles","Roles"
"Add New Role","Add New Role"
"Role Information","Role Information"
"Role Users","Role Users"
"User ID","User ID"
"User Name","사용자 이름"
"First Name","이름"
"Last Name","성"
"Email","이메일 주소"
"Status","상태"
"Active","활성화"
"Inactive","비활성화"
"Role Resources","Role Resources"
"Role Info","Role Info"
"Role Name","Role Name"
"Current User Identity Verification","현재 사용자 신원 확인"
"Your Password","비밀번호"
"Add New User","Add New User"
"Users","Users"
"Save User","Save User"
"Delete User","Delete User"
"Are you sure you want to revoke the user's tokens?","Are you sure you want to revoke the user's tokens?"
"Force Sign-In","강제 로그인"
"Edit User '%1'","Edit User '%1'"
"New User","New User"
"Account Information","계정 정보"
"User Email","사용자 이메일"
"Password","비밀번호"
"New Password","새로운 비밀번호"
"Password Confirmation","비밀번호 확인"
"Interface Locale","인터페이스 언어"
"This account is","This account is"
"Account Status","계정 상태"
"User Roles Information","User Roles Information"
"Assigned","Assigned"
"Role","Role"
"User Information","User Information"
"User Info","User Info"
"User Role","User Role"
"Please correct the password reset token.","Please correct the password reset token."
"Please specify the correct account and try again.","Please specify the correct account and try again."
"Your password reset link has expired.","비밀번호 변경 링크의 유효기간이 만료되었습니다."
"We're unable to send the password reset email.","비밀번호 재설정 이메일을 보낼 수 없습니다."
"We'll email you a link to reset your password.","비밀번호를 재설정할 수 있는 링크를 이메일로 보내드립니다."
"Please correct this email address:","이 이메일 주소를 정정 하십시오:"
"Please enter an email address.","이메일주소를 입력해주세요."
"You updated your password.","비밀번호를 변경하였습니다."
"Locked Users","Locked Users"
"Unlocked %1 user(s).","Unlocked %1 user(s)."
"System","시스템"
"Permissions","Permissions"
"You cannot delete your own account.","You cannot delete your own account."
"You have entered an invalid password for current user.","You have entered an invalid password for current user."
"You deleted the user.","You deleted the user."
"We can't find a user to delete.","We can't find a user to delete."
"This user no longer exists.","This user no longer exists."
"Edit User","Edit User"
"You have revoked the user's tokens.","You have revoked the user's tokens."
