"Back","Kembali"
"Reset","Atur ulang"
"Delete Role","Hapus Peran"
"Are you sure you want to do this?","Apakah anda yakin ingin melakukan ini?"
"Save Role","Simpan Peran"
"Roles","Peran"
"Add New Role","Tambahkan Peran Baru"
"Role Information","Informasi Peran"
"Role Users","Peran Pengguna"
"User ID","ID Pengguna"
"User Name","Nama Pengguna"
"First Name","Nama Depan"
"Last Name","Nama Belakang"
"Email","Email"
"Status","Keadaan"
"Active","Aktif"
"Inactive","Tidak aktif"
"Role Resources","Role Resources"
"Role Info","Info Peran"
"Role Name","Nama Peran"
"Current User Identity Verification","Verifikasi Identitas Pengguna"
"Your Password","Kata Sandi Anda"
"Add New User","Tambahkan Pengguna Baru"
"Users","Pengguna"
"Save User","Simpan Pengguna"
"Delete User","Hapus Pengguna"
"Are you sure you want to revoke the user's tokens?","Are you sure you want to revoke the user's tokens?"
"Force Sign-In","Paksa Masuk"
"Edit User '%1'","Edit Pengguna '%1'"
"New User","Pengguna Baru"
"Account Information","Informasi Akun"
"User Email","Email Pengguna"
"Password","Sandi"
"New Password","Kata sandi baru"
"Password Confirmation","Konfirmasi Kata Sandi"
"Interface Locale","Antarmuka Lokal"
"This account is","Akun ini adalah"
"Account Status","Status Akun"
"User Roles Information","Informasi Peran Pengguna"
"Assigned","Assigned"
"Role","Peran"
"User Information","Informasi Pengguna"
"User Info","Info Pengguna"
"User Role","Peran Pengguna"
"Please correct the password reset token.","Please correct the password reset token."
"Please specify the correct account and try again.","Silahkan tentukan akun yang benar dan coba lagi."
"Your password reset link has expired.","Tautan aturl ulang sandi anda telah kedaluwarsa."
"We're unable to send the password reset email.","Kami tidak dapat mengirim email penyetelan ulang kata sandi."
"We'll email you a link to reset your password.","We'll email you a link to reset your password."
"Please correct this email address:","Silahkan perbaiki alamat email ini:"
"Please enter an email address.","Silahkan masukkan alamat email."
"You updated your password.","Anda memperbarui kata sandi anda."
"Locked Users","Locked Users"
"Unlocked %1 user(s).","Unlocked %1 user(s)."
"System","Sistem"
"Permissions","Izin"
"You cannot delete your own account.","You cannot delete your own account."
"You have entered an invalid password for current user.","You have entered an invalid password for current user."
