"Back","رجوع"
"Reset","اعادة ضبط"
"Delete Role","حذف الدور"
"Are you sure you want to do this?","هل أنت متأكد أنك تريد فعل ذلك؟"
"Save Role","حفظ الدور"
"Roles","ادوار"
"Add New Role","اضف دور جديد"
"Role Information","معلومات الدور"
"Role Users","مستخدمين الدور"
"User ID","رمز التعريفي للمستخدم"
"User Name","اسم المستخدم"
"First Name","الإسم الأول"
"Last Name","اسم العائلة"
"Email","البريد الإلكتروني"
"Status","الحاله"
"Active","فعال"
"Inactive","خاملة"
"Role Resources","مصادر الدور"
"Role Info","معلومات الدور"
"Role Name","اسم الدور"
"Current User Identity Verification","التحقق من هوية المستخدم الحالية"
"Your Password","كلمة المرور الخاصة بك"
"Add New User","اضف مستخدم جديد"
"Users","مستخدمين"
"Save User","حفظ المستخدم"
"Delete User","حذف المستخدم"
"Are you sure you want to revoke the user's tokens?","هل أنت متأكد من أنك تريد إلغاء الرموز المميزة للعميل؟"
"Force Sign-In","تسجيل الدخول فوري"
"Edit User '%1'","تعديل المستخدم '%1'"
"New User","مستخدم جديد"
"Account Information","معلومات الحساب"
"User Email","البريد الإلكتروني للمستخدم"
"Password","كلمة المرور"
"New Password","كلمة المرور الجديدة"
"Password Confirmation","تأكيد كلمة المرور"
"Interface Locale","لغة الواجهة"
"This account is","هذا الحساب هو"
"Account Status","حالة الحساب"
"User Roles Information","معلومات ادوار المستخدمين"
"Assigned","المحال"
"Role","دور"
"User Information","معلومات المستخدم"
"User Info","معلومات المستخدم"
"User Role","دور المستخدم"
"Please correct the password reset token.","الرجاء تصحيح كلمة المرور إعادة تعيين الرمز."
"Please specify the correct account and try again.","الرجاء تحديد الحساب الصحيح وحاول مرة أخرى."
"Your password reset link has expired.","انتهت مدة صلاحية رابط إعادة تعيين كلمة المرور الخاصة بك."
"We're unable to send the password reset email.","نحن غير قادرين على إرسال إعادة تعيين كلمة المرور البريد الإلكتروني."
"We'll email you a link to reset your password.","سوف نرسل لك رابط لإعادة تعيين كلمة المرور الخاصة بك."
"Please correct this email address:","الرجاء تصحيح عنوان البريد الإلكتروني هذا:"
"Please enter an email address.","الرجاء ادخال عنوان البريد الالكتروني."
"You updated your password.","تم تغيير كلمة المرور."
"Locked Users","المستخدمين الموقوفين"
"Unlocked %1 user(s).","%1 مستخدم غير موقوف."
"System","النظام"
"Permissions","تصريحات"
"You cannot delete your own account.","لا يمكنك حذف الحساب الخاص بك."
"You have entered an invalid password for current user.","You have entered an invalid password for current user."
"You deleted the user.","قمت بحذف المستخدم."
"We can't find a user to delete.","لا يمكن أن نجد مستخدم للحذف."
"This user no longer exists.","هذا المستخدم لم يعد موجوداً."
"Edit User","تعديل مستخدم"
"You have revoked the user's tokens.","قمت بإبطال الرمز المميز للمستخدم."
"We can't find a user to revoke.","لا يمكن أن نجد مستخدم للإبطال."
"You cannot delete self-assigned roles.","لا يمكنك حذف الصلاحيات المسندة ذاتيا."
"You deleted the role.","قمت بحذف الصلاحية."
"An error occurred while deleting this role.","حدث خطأ أثناء حذف هذه الصلاحية."
"Edit Role","تعديل الدور"
"New Role","صلاحية جديدة"
"This role no longer exists.","هذة الصلاحية لم تعد موجودة."
"You saved the role.","تم حفظ الصلاحية."
"An error occurred while saving this role.","حدث خطأ أثناء حفظ هذه الصلاحية."
"You saved the user.","تم حفظ المستخدم."
"A user with the same user name or email already exists.","مستخدم مع نفس اسم المستخدم أو البريد الإلكتروني موجود بالفعل."
"Recommended","اوصت"
"Forced","إلزامي"
"Sorry, but this password has already been used. Please create another.","عفواً، لكن كلمة المرور هذه مستخدمة بالفعل، اختر واحدة اخرى."
"email","إيميل"
"password","كلمة المرو"
"username","اسم المستخدم"
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"You need more permissions to access this.","You need more permissions to access this."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"User Name is a required field.","User Name is a required field."
"First Name is a required field.","First Name is a required field."
"Last Name is a required field.","Last Name is a required field."
"Please enter a valid email.","الرجاء إدخال عنوان بريد الكتروني صحيح."
"Password is required field.","كلمة المرور حقل مطلوب."
"Your password must be at least %1 characters.","كلمة المرور يجب أن لا تقل عن %1 أحرف على الأقل."
"Your password must include both numeric and alphabetic characters.","يجب أن تتضمن كلمة المرور أحرف رقمية وأبجدية على حد سواء."
"Your password confirmation must match your password.","حقل تأكيد كلمة المرور يجب أن يطابق حقل كلمة المرور."
"It's time to change your password.","لقد حان الوقت لتغيير كلمة المرور الخاصة بك."
"It's time to <a href=""%1"">change your password</a>.","لقد حان الوقت <a href=\"%1\"> لتغيير كلمة المرور الخاصة بك</a>."
"Your password has expired; please contact your administrator.","انتهت مدة صلاحية كلمة المرور الخاصة بك؛ الرجاء الاتصال بالمسؤول."
"Password Help","مساعد كلمة المرور"
"Enter your email address.  You will receive an email with a link to reset your password.","أدخل عنوان البريد الإلكتروني الخاص بك.  وسوف تتلقى رسالة بريد إلكتروني مع رابط لتغيير كلمة المرور الخاصة بك."
"Email address","البريد الإلكتروني"
"Retrieve Password","استرداد كلمة المرور"
"Back to Sign in","العودة لتسجيل الدخول"
"Forgot your password?","هل نسيت كلمة المرور؟"
"Reset a Password","إعادة تعيين كلمة المرور"
"Confirm New Password","تأكيد كلمة المرور الجديدة"
"Reset Password","إعادة تعيين كلمة المرور"
"Roles Resources","مصادر الادوار"
"Resource Access","دخول المصدر"
"Custom","مخصص"
"All","الكل"
"Resources","مصادر"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?"
"Password Reset Confirmation for %name","تأكيد إعادة تعيين كلمة المرور ل %name"
"%name,","%name،"
"There was recently a request to change the password for your account.","تم طلب تغيير كلمة المرور مؤخراَ."
"If you requested this change, reset your password here:","إذا كنت انت من قام بطلب كلمة استرجاع كلمة المرور، فضلاً اضغط هنا:"
"If you did not make this request, you can ignore this email and your password will remain the same.","إذا لم تقم بإجراء هذا الطلب، يمكنك تجاهل هذه الرسالة وكلمة المرور سوف تبقى كما هي."
"Thank you,","شكرا لك،"
"New %changes for %user_name","جديد %changes لـ %user_name"
"Hello,","مرحبا،"
"We have received a request to change the following information associated with your account at %store_name: %changes.","لقد تلقينا طلبا لتغيير المعلومات التالية المرتبطة بالحساب الخاص بك في %store_name: %changes."
"If you have not authorized this action, please contact us immediately at %store_email","إذا لم يسمح لك بهذا الإجراء، الرجاء الاتصال بنا مباشرة على %store_email"
"or call us at %store_phone","or call us at %store_phone"
"Thanks,","شكراً,"
"All Users","جميع المستخدمين"
"User Roles","ادوار المستخدم"
"User Notification Template","نموذج تنبيه المستخدم"
"Email template chosen based on theme fallback when ""Default"" option is selected.","اختيار قالب البريد الإلكتروني استناداً إلى الثيم عند تحديد الخيار ""الإفتراضي""."
"Maximum Login Failures to Lockout Account","استنفاذ عدد مرات تسجيل الدخول الخاطئة لتأمين الحساب"
"We will disable this feature if the value is empty.","سوف نقوم بتعطيل هذه الميزة إذا كانت القيمة فارغة."
"Lockout Time (minutes)","تأمين الوقت (بالدقائق)"
"Password Lifetime (days)","عمر كلمة المرور (الأيام)"
"Password Change","تغيير كلمة المرور"
"Unlock","إلغاء القفل"
"ID","التعريف"
"Username","اسم المستخدم"
"Last login","آخر تسجيل دخول"
"Failures","فشل"
"Unlocked","مفتوح"
"The password for your account has been successfully changed.","The password for your account has been successfully changed."
"If you did not request this change, please contact us.","If you did not request this change, please contact us."
"Reset Password Template","Reset Password Template"
"Administrator","Administrator"
"New admin user '%user_name' created","New admin user '%user_name' created"
"A new admin account was created for %first_name, %last_name using %email.","A new admin account was created for %first_name, %last_name using %email."
"The password entered for the current user is invalid. Verify the password and try again.","The password entered for the current user is invalid. Verify the password and try again."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"More permissions are needed to access this.","More permissions are needed to access this."
