"Back","Nazad"
"Reset","Resetovati"
"Delete Role","Delete Role"
"Are you sure you want to do this?","Jeste li sigurni da želite da uradite ovo?"
"Save Role","Sačuvaj ulogu"
"Roles","Uloge"
"Add New Role","Add New Role"
"Role Information","Informacije o ulozi"
"Role Users","Korisnici uloge"
"User ID","ID korisnika"
"User Name","Korisničko ime"
"First Name","Ime"
"Last Name","Prezime"
"Email","E-pošta"
"Status","Status"
"Active","Aktivan"
"Inactive","Neaktivan"
"Role Resources","Resursi uloge"
"Role Info","Info o ulozi"
"Role Name","Naziv uloge"
"Current User Identity Verification","Verifikacija identiteta trenutnog korisnika"
"Your Password","Vaša lozinka"
"Add New User","Dodaj novog korisnika"
"Users","Korisnici"
"Save User","Sačuvaj korisnika"
"Delete User","Delete User"
"Are you sure you want to revoke the user's tokens?","Are you sure you want to revoke the user's tokens?"
"Force Sign-In","Prinudno Registrovanje"
"Edit User '%1'","Edit User '%1'"
"New User","New User"
"Account Information","Informacije o korisničkom nalogu"
"User Email","Korisnička e-pošta"
"Password","Lozinka"
"New Password","Nova lozinka"
"Password Confirmation","Ponoviti lozinku"
"Interface Locale","Lokalni interfejs"
"This account is","Ovaj nalog je"
"Account Status","Status naloga"
"User Roles Information","Informacije o ulogama korisnika"
"Assigned","Assigned"
"Role","Uloga"
"User Information","Informacije o korisniku"
"User Info","Informacije o korisniku"
"User Role","Uloga korisnika"
"Please correct the password reset token.","Please correct the password reset token."
"Please specify the correct account and try again.","Please specify the correct account and try again."
"Your password reset link has expired.","Link za resetovanje lozinke je istekao."
"We're unable to send the password reset email.","Nismo u mogućnosti poslati email za ponovno postavljanje lozinke."
"We'll email you a link to reset your password.","We'll email you a link to reset your password."
"Please correct this email address:","Please correct this email address:"
"Please enter an email address.","Unesite email adresu."
"You updated your password.","Ažurirali ste šifru."
"Locked Users","Zaključani korisnici"
"Unlocked %1 user(s).","Unlocked %1 user(s)."
"System","Sistem"
"Permissions","Dozvole"
"You cannot delete your own account.","Ne možete obrisati sopstveni nalog."
"You have entered an invalid password for current user.","You have entered an invalid password for current user."
"You deleted the user.","Obrisali ste korisnika."
"We can't find a user to delete.","We can't find a user to delete."
"This user no longer exists.","Ovaj korisnik više ne postoji."
"Edit User","Uredi korisnika"
"You have revoked the user's tokens.","Opovrgli ste tokene korisnika."
"We can't find a user to revoke.","We can't find a user to revoke."
"You cannot delete self-assigned roles.","Ne možete obrisati samododeljene uloge."
"You deleted the role.","Obrisali ste ulogu."
"An error occurred while deleting this role.","An error occurred while deleting this role."
"Edit Role","Edit Role"
"New Role","New Role"
"This role no longer exists.","Ova uloga više ne postoji."
"You saved the role.","Sačuvali ste ulogu."
"An error occurred while saving this role.","An error occurred while saving this role."
"You saved the user.","Sačuvali ste korisnika."
"A user with the same user name or email already exists.","A user with the same user name or email already exists."
"Recommended","Preporučeno"
"Forced","Forced"
"Sorry, but this password has already been used. Please create another.","Sorry, but this password has already been used. Please create another."
"email","email"
"password","lozinka"
"username","username"
"You did not sign in correctly or your account is temporarily disabled.","Niste se pravilno prijavili ili je vaš nalog privremeno onemogućen."
"You need more permissions to access this.","Potrebne su vam više dozvole za pristup ovom."
"Your account is temporarily disabled.","Vaš nalog je privremeno onemogućen."
"User Name is a required field.","Korisničko ime je obavezno polje."
"First Name is a required field.","Ime je obavezno polje."
"Last Name is a required field.","Prezime je obavezno polje."
"Please enter a valid email.","Unesite ispravan Email."
"Password is required field.","Lozinka je obavezno polje."
"Your password must be at least %1 characters.","Your password must be at least %1 characters."
"Your password must include both numeric and alphabetic characters.","Your password must include both numeric and alphabetic characters."
"Your password confirmation must match your password.","Your password confirmation must match your password."
"It's time to change your password.","It's time to change your password."
"It's time to <a href=""%1"">change your password</a>.","Vreme je da <a href=""%1""> promenite vašu lozinku</a>."
"Your password has expired; please contact your administrator.","Your password has expired; please contact your administrator."
"Password Help","Pomoć za lozinku"
"Enter your email address.  You will receive an email with a link to reset your password.","Enter your email address.  You will receive an email with a link to reset your password."
"Email address","Email adresa"
"Retrieve Password","Povrati lozinku"
"Back to Sign in","Back to Sign in"
"Forgot your password?","Zaboravili ste lozinku?"
"Reset a Password","Reset a Password"
"Confirm New Password","Potvrdi novu lozinku"
"Reset Password","Resetovanje Lozinke"
"Roles Resources","Resursi uloga"
"Resource Access","Pristup resursu"
"Custom","Izborno"
"All","Sve"
"Resources","Resursi"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Upozorenje!\r\nOva radnja će ukloniti ovog korisnika iz već dodeljene uloge\r\nDa li ste sigurni?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Upozorenje!\r\nOva radnja će ukloniti te korisnike iz već dodeljenih uloga\r\nDa li ste sigurni?"
"Password Reset Confirmation for %name","Password Reset Confirmation for %name"
"%name,","%naziv,"
"There was recently a request to change the password for your account.","Nedavno smo primili zahtev za promenu šifre za vaš nalog."
"If you requested this change, reset your password here:","If you requested this change, reset your password here:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Ako vi niste tražili, možete ignorisati ovaj mejl i šifra će ostati ista."
"Thank you,","Hvala,"
"New %changes for %user_name","New %changes for %user_name"
"Hello,","Zdravo,"
