"Back","Vissza"
"Reset","Alaphelyzet"
"Delete Role","Szerepkör törlése"
"Are you sure you want to do this?","Biztos benne, hogy végrehajtja a műveletet?"
"Save Role","Szerepkör mentése"
"Roles","Szerepkörök"
"Add New Role","Új szerepkör hozzáadása"
"Role Information","Szerepkör-információ"
"Role Users","Szerepkör Felhasználók"
"User ID","Felhasználói azonosító"
"User Name","Felhasználói név"
"First Name","Keresztnév"
"Last Name","Vezetéknév"
"Email","E-mail"
"Status","Állapot"
"Active","Aktív"
"Inactive","Inaktív"
"Role Resources","Szerepkör Erőforrások"
"Role Info","Szerepkör-információ"
"Role Name","Szerepkör neve"
"Current User Identity Verification","Aktuális felhasználói identitás ellenőrzése"
"Your Password","Az Ön jelszava"
"Add New User","Új felhasználó hozzáadása"
"Users","Felhasználók"
"Save User","Felhasználó mentése"
"Delete User","Felhasználó törlése"
"Are you sure you want to revoke the user's tokens?","Are you sure you want to revoke the user's tokens?"
"Force Sign-In","Bejelentkezés kényszerítése"
"Edit User '%1'","'%1' felhasználó szerkesztése"
"New User","Új felhasználó"
"Account Information","Fiókadatok"
"User Email","Felhasználó e-mailcíme"
"Password","Jelszó"
"New Password","Új jelszó"
"Password Confirmation","Jelszó megerősítése"
"Interface Locale","Kezelőfelület nyelve"
"This account is","Ez a fiók"
"Account Status","Fiók állapota"
"User Roles Information","Felhasználói szerepkörök adatai"
"Assigned","Hozzárendelve"
"Role","Szerep"
"User Information","Felhasználói információ"
"User Info","Felhasználó infó"
"User Role","Felhasználói szerepkör"
"Please correct the password reset token.","Kérjük a javítsa a jelszó-visszaállítási tokent."
"Please specify the correct account and try again.","Kérjük, adja meg a megfelelő fiókot, majd próbálkozzon újra."
"Your password reset link has expired.","Az új jelszó link érvényessége lejárt."
"We're unable to send the password reset email.","Nem tudunk jelszó módosító levelet küldeni."
"We'll email you a link to reset your password.","We'll email you a link to reset your password."
"Please correct this email address:","Kérjük javítsa ezt az email címet:"
"Please enter an email address.","Kérlek, adj meg egy email címet."
"You updated your password.","Frissítette a jelszót."
"Locked Users","Zárolt felhasználók"
"Unlocked %1 user(s).","%1 felhasználó feloldva."
"System","Rendszer"
"Permissions","Jogosultságok"
"You cannot delete your own account.","Saját fiókját nem törölheti."
"You have entered an invalid password for current user.","You have entered an invalid password for current user."
"You deleted the user.","A felhasználó törölte."
"We can't find a user to delete.","We can't find a user to delete."
"This user no longer exists.","Ez a felhasználó már nem létezik."
"Edit User","Felhasználó szerkesztése"
"You have revoked the user's tokens.","You have revoked the user's tokens."
"We can't find a user to revoke.","We can't find a user to revoke."
"You cannot delete self-assigned roles.","Nem törölheti a saját társított szerepkörét."
"You deleted the role.","Törölte a szerepkört."
"An error occurred while deleting this role.","Hiba történt a szerepkör törlése közben."
"Edit Role","Szerepkör szerkesztése"
"New Role","Új szerepkör"
"This role no longer exists.","Ez a szerepkör már nem létezik."
"You saved the role.","A szerepkör mentése megtörtént."
"An error occurred while saving this role.","Hiba történt a szerepkör mentése közben."
"You saved the user.","A felhasználó mentése megtörtént."
"A user with the same user name or email already exists.","Felhasználónév vagy email cím már létezik."
"Recommended","Ajánlott"
"Forced","Kényszerített"
"Sorry, but this password has already been used. Please create another.","Sajnálom, ez a jelszó már használatban van. Kérjük válasszon egy másikat."
"email","email"
"password","jelszó"
"username","felhasználónév"
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"You need more permissions to access this.","You need more permissions to access this."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"User Name is a required field.","User Name is a required field."
"First Name is a required field.","First Name is a required field."
"Last Name is a required field.","Last Name is a required field."
"Please enter a valid email.","Kérjük érvényes emailt adjon meg."
"Password is required field.","A jelszó megadása kötelező."
"Your password must be at least %1 characters.","A jelszó legalább %1 karakter kell legyen."
"Your password must include both numeric and alphabetic characters.","A jelszónak mind numerikus és alfabetikus karaktert tartalmaznia kell."
