"Back","Πίσω"
"Reset","Επαναφορά"
"Delete Role","Διαγραφή του Ρόλου"
"Are you sure you want to do this?","Είστε βέβαιοι ότι θέλετε να το κάνετε αυτό;"
"Save Role","Αποθήκευση Ρόλου"
"Roles","Ρόλοι"
"Add New Role","Προσθήκη νέου ρόλου"
"Role Information","Πληροφορίες Ρόλου"
"Role Users","Ρόλος Χρηστών"
"User ID","ID χρήστη"
"User Name","Όνομα χρήστη"
"First Name","Όνομα"
"Last Name","Επώνυμο"
"Email","Email"
"Status","Κατάσταση"
"Active","Ενεργό"
"Inactive","Ανενεργό"
"Role Resources","Πόροι Ρόλου"
"Role Info","Πληροφορίες Ρόλου"
"Role Name","Όνομα Ρόλου"
"Current User Identity Verification","Επαλήθευση ταυτότητας τρέχοντος χρήστη"
"Your Password","Ο κωδικός σας"
"Add New User","Προσθήκη Νέου Χρήστη"
"Users","Χρήστες"
"Save User","Αποθήκευση Χρήστη"
"Delete User","Διαγραφή Χρήστη"
"Are you sure you want to revoke the user's tokens?","Είστε βέβαιοι ότι θέλετε να ανακαλέσετε διακριτικά του χρήστη;"
"Force Sign-In","Εξαναγκασμένη Σύνδεση"
"Edit User '%1'","Επεξεργαστείτε το χρήστη «%1»"
"New User","Νέος Χρήστης"
"Account Information","Πληροφορίες Λογαριασμού"
"User Email","Ηλεκτρονικό ταχυδρομείο χρήστη"
"Password","Κωδικός πρόσβασης"
"New Password","Νέος κωδικός"
"Password Confirmation","Επιβεβαίωση κωδικού"
"Interface Locale","Τοπικές Ρυθμίσεις Διεπαφής"
"This account is","Αυτός ο λογαριασμός είναι"
"Account Status","Κατάσταση Λογαριασμού"
"User Roles Information","Πληροφορίες Ρόλων Χρήστη"
"Assigned","Ανατεθειμένο"
"Role","Ρόλος"
"User Information","Πληροφορίες Χρήστη"
"User Info","Πληροφορίες χρήστη"
"User Role","Ρόλος Χρήστη"
"Please correct the password reset token.","Παρακαλώ εισάγετε ένα έγκυρο διακριτικό επαναφοράς κωδικού πρόσβασης."
"Please specify the correct account and try again.","Προσδιορίστε το σωστό λογαριασμό και προσπαθήστε ξανά."
