"Back","Takaisin"
"Reset","Tyhjennä"
"Delete Role","Poista rooli"
"Are you sure you want to do this?","Haluatko varmasti tehdä tämän?"
"Save Role","Tallenna rooli"
"Roles","Roolit"
"Add New Role","Lisää uusi rooli"
"Role Information","Roolin tiedot"
"Role Users","Roolikäyttäjät"
"User ID","Käyttäjätunnus"
"User Name","Käyttäjänimi"
"First Name","Etunimi"
"Last Name","Sukunimi"
"Email","Sähköposti"
"Status","Tila"
"Active","Aktiivinen"
"Inactive","Ei käytössä"
"Role Resources","Roolin resurssit"
"Role Info","Roolin tiedot"
"Role Name","Roolin nimi"
"Current User Identity Verification","Nykyisen käyttäjän henkilöllisyyden todentaminen"
"Your Password","Salasanasi"
"Add New User","Lisää uusi käyttäjä"
"Users","Käyttäjät"
"Save User","Tallenna käyttäjä"
"Delete User","Poista käyttäjä"
"Are you sure you want to revoke the user's tokens?","Are you sure you want to revoke the user's tokens?"
"Force Sign-In","Pakota sisäänkirjautuminen"
"Edit User '%1'","Muokkaa käyttäjää '%1'"
"New User","Uusi käyttäjä"
"Account Information","Tilin tiedot"
"User Email","Käyttäjän sähköpostiosoite"
"Password","Salasana"
"New Password","Uusi salasana"
"Password Confirmation","Salasanan vahvistus"
"Interface Locale","Käyttöliittymän kieli"
"This account is","Tämä tili on"
"Account Status","Tilin tila"
"User Roles Information","Käyttäjäroolien tiedot"
"Assigned","Osoitettu"
"Role","Rooli"
"User Information","Käyttäjätiedot"
"User Info","Käyttäjätiedot"
"User Role","Käyttäjärooli"
"Please correct the password reset token.","Ole hyvä ja korjaa salasanannollaus tunniste."
"Please specify the correct account and try again.","Määritä oikea tili ja yritä uudelleen."
"Your password reset link has expired.","Salasanan palautuslinkki on vanhentunut."
"We're unable to send the password reset email.","Salasanan palautussähköpostia ei voitu lähettää."
"We'll email you a link to reset your password.","Lähetämme sinulle linkin salasanan vaihtamiseksi."
"Please correct this email address:","Korjaa tämä sähköpostiosoite:"
"Please enter an email address.","Kirjoita sähköpostiosoite."
"You updated your password.","Päivitit salasanasi."
"Locked Users","Lukitut käyttäjät"
"Unlocked %1 user(s).","%1 käyttäjä(ä) vapautettu."
"System","Järjestelmä"
"Permissions","Oikeudet"
"You cannot delete your own account.","Et voi poistaa omaa tiliäsi."
"You have entered an invalid password for current user.","You have entered an invalid password for current user."
"You deleted the user.","Poistit käyttäjän."
"We can't find a user to delete.","Poistettavaa käyttäjää ei löydy."
"This user no longer exists.","Tätä käyttäjää ei ole enää olemassa."
"Edit User","Muokkaa käyttäjää"
"You have revoked the user's tokens.","You have revoked the user's tokens."
"We can't find a user to revoke.","We can't find a user to revoke."
"You cannot delete self-assigned roles.","Et voi poistaa itsemääriteltyjä rooleja."
"You deleted the role.","Poistit roolin."
"An error occurred while deleting this role.","Virhe poistaessa tätä roolia."
"Edit Role","Muokkaa roolia"
"New Role","Uusi rooli"
"This role no longer exists.","Tätä roolia ei enää ole olemassa."
"You saved the role.","Tallensit roolin."
"An error occurred while saving this role.","Virhe tallennettaessa tätä roolia."
"You saved the user.","Tallensit käyttäjän."
"A user with the same user name or email already exists.","Samalla käyttäjätunnuksella tai sähköpostiosoitteella varustettu käyttäjä on jo olemassa."
"Recommended","Suositeltu"
"Forced","Pakotettu"
"Sorry, but this password has already been used. Please create another.","Anteeksi, mutta tämä salasana on jo käytetty. Luo toinen."
"email","sähköposti"
"password","salasana"
"username","käyttäjätunnus"
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"You need more permissions to access this.","You need more permissions to access this."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"User Name is a required field.","User Name is a required field."
"First Name is a required field.","First Name is a required field."
"Last Name is a required field.","Last Name is a required field."
"Please enter a valid email.","Anna voimassa oleva sähköpostiosoite."
"Password is required field.","Salasana on pakollinen kenttä."
"Your password must be at least %1 characters.","Salasanassa pitää olla vähintään %1 merkkiä."
"Your password must include both numeric and alphabetic characters.","Salasanan tulee sisältää sekä numeroja, että kirjaimia."
"Your password confirmation must match your password.","Salasanan vahvistuksen on oltava sama kuin salasana."
"It's time to change your password.","On aika vaihtaa salasana."
"It's time to <a href=""%1"">change your password</a>.","On aika vaihtaa <a href=""%1"">salasana</a>."
"Your password has expired; please contact your administrator.","Salasanasi on vanhentunut; ole hyvä ja ota yhteyttä ylläpitäjään."
"Password Help","Salasanaohje"
"Enter your email address.  You will receive an email with a link to reset your password.","Syötä sähköpostiosoitteesi.  Saat sähköpostiviestin, jossa olevalla linkillä voit vaihtaa salasanasi."
"Email address","Sähköpostiosoite"
"Retrieve Password","Hae salasana"
"Back to Sign in","Takaisin kirjautumiseen"
"Forgot your password?","Unohditko salasanasi?"
"Reset a Password","Salasanan palauttaminen"
"Confirm New Password","Vahvista uusi salasana"
"Reset Password","Nollaa salasana"
"Roles Resources","Roolien resurssit"
"Resource Access","Pääsy resurssiin"
"Custom","Mukautettu"
"All","Kaikki"
"Resources","Resurssit"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?"
"Password Reset Confirmation for %name","Salasanan nollausvahvistus käyttäjälle %name"
"%name,","%name,"
"There was recently a request to change the password for your account.","Tilisi salasananvaihto on tilattu äskettäin."
"If you requested this change, reset your password here:","Jos olet pyytänyt tämän muutoksen, palauta salasanasi tästä:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Jos et jättänyt tätä pyyntöä, voit ohittaa tämän sähköpostin ja salasana pysyy samana."
"Thank you,","Kiittäen,"
"New %changes for %user_name","Uusia %changes käyttäjälle %user_name"
"Hello,","Hei,"
"We have received a request to change the following information associated with your account at %store_name: %changes.","Olemme saaneet pyynnön muuttaa seuraavia tietoja %store_name -tilissäsi: %changes."
"If you have not authorized this action, please contact us immediately at %store_email","Jos et ole pyytänyt tätä toimintoa, ota välittömästi yhteyttä osoitteeseen %store_email"
"or call us at %store_phone","or call us at %store_phone"
"Thanks,","Kiitos,"
"All Users","Kaikki käyttäjät"
"User Roles","Käyttäjäroolit"
"User Notification Template","Käyttäjäilmoitusten malli"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Valittu sähköpostimalli perustuu teeman fallbackiin kun ""Default"" -vaihtoehto on valittuna."
"Maximum Login Failures to Lockout Account","Epäonnistuneiden kirjautumisten maksimimäärä ennen tilin lukkiutumista"
"We will disable this feature if the value is empty.","Poistamme tämän ominaisuuden käytöstä, jos arvo on tyhjä."
"Lockout Time (minutes)","Lukitusaika (minuuteissa)"
"Password Lifetime (days)","Salasanan voimassaoloaika (päivää)"
