"Credit card type","Kredittkorttype"
"CVV result","CVV resultat"
"Postcode AVS check","Postnummer AVS sjekk"
"Address AVS check","Adresse AVS sjekk"
"Country comparison check","Sammenligningssjekk av land"
"Risk Score","Risiko-score"
"Not supported","Støttes ikke"
"Not checked","Ikke merket"
"Matched","Matchet"
"Not matched","Not matched"
"Partially matched","Delvis samsvar"
"No such order id.","No such order id."
"Your purchase process has been cancelled.","Your purchase process has been cancelled."
"Something went wrong while processing your order. Please try again later.","Noe gikk galt under behandling av bestillingen. Prøv igjen senere."
"Gateway response is not valid.","Gateway response is not valid."
"Wrong response type","Wrong response type"
"Currency doesn't match.","Valuta samsvarer ikke."
"Amount doesn't match.","Beløpet samsvarer ikke."
"Not supported response.","Ikke støttet svar."
"Gateway processing error.","Gateway processing error."
"Transaction was not placed.","Transaction was not placed."
"None","Ingen"
"Authorize","Autoriser"
"Authorize and Capture","Godkjenn og fang"
"Refused","Refused"
"Authorised","Authorised"
"Error","Feil"
"Captured","Captured"
"Please click ","Please click "
"here","here"
" if you are not redirected automatically."," if you are not redirected automatically."
"You will be redirected to the Worldpay website.","You will be redirected to the Worldpay website."
"Continue to Worldpay","Continue to Worldpay"
"Worldpay","Worldpay"
"Enabled","Aktivert"
"Title","Tittel"
"Payment Response Password","Payment Response Password"
"Remote Admin Installation ID","Fjernadmin Installasjon ID"
"Remote Admin Authorisation Password","Fjernadmin Autoriasjon Passord"
"MD5 Secret for Transactions","MD5 Hemmelig for Transaksjon"
"Allow To Edit Contact Information","Allow To Edit Contact Information"
"Hide Contact Information","Sjul kontaktinformasjon"
"Debug","Feilsøk"
"Test Mode","Testmodus"
"Payment Action for Test","Betalingshandling for test"
"Payment Action","Betalingshandling"
"Payment From Applicable Countries","Betaling fra aktuelle land"
"Payment From Specific Countries","Betaling fra bestemte land"
"Set Order Status to Suspected Fraud for CVV","Sette statusen til mistanke om svindel for CVV"
"Set Order Status to Suspected Fraud for Postcode AVS","Sette statusen til mistanke om svindel for postnummer AVS"
"Sort Order","Sorteringsrekkefølge"
"Payment was canceled.","Betalingen ble avbrutt."
"Your payment has been successfully processed by our shop system.","Betalingen har blitt behandlet av butikksystemet vårt."
"Payment was canceled","Betalingen ble avbrutt"
"Please ","Please "
"continue shopping","fortsett å handle"
"Transaction has been canceled","Transaction has been canceled"
"Transaction has been declined","Transaction has been declined"
"The response type is incorrect. Verify the type and try again.","The response type is incorrect. Verify the type and try again."
