"Credit card type","Typ platební karty"
"CVV result","CVV result"
"Postcode AVS check","Postcode AVS check"
"Address AVS check","Address AVS check"
"Country comparison check","Country comparison check"
"Risk Score","Risk Score"
"Not supported","Not supported"
"Not checked","Not checked"
"Matched","Matched"
"Not matched","Not matched"
"Partially matched","Partially matched"
"No such order id.","No such order id."
"Your purchase process has been cancelled.","Your purchase process has been cancelled."
"Something went wrong while processing your order. Please try again later.","Při zpracování objednávky došlo k chybě. Opakujte akci později prosím."
"Gateway response is not valid.","Gateway response is not valid."
"Wrong response type","Wrong response type"
"Currency doesn't match.","Měna se neshoduje."
"Amount doesn't match.","Částka se neshoduje."
"Not supported response.","Not supported response."
"Gateway processing error.","Gateway processing error."
"Transaction was not placed.","Transaction was not placed."
"None","Nic"
"Authorize","Schválit"
"Authorize and Capture","Schválit a získat"
"Refused","Odmítnuto"
"Authorised","Authorised"
"Error","Chyba"
"Captured","Captured"
"Please click ","Prosím klikněte "
"here","zde"
" if you are not redirected automatically."," if you are not redirected automatically."
"You will be redirected to the Worldpay website.","You will be redirected to the Worldpay website."
"Continue to Worldpay","Continue to Worldpay"
"Worldpay","Worldpay"
"Enabled","Zapnuto"
"Title","Název"
"Payment Response Password","Payment Response Password"
"Remote Admin Installation ID","Remote Admin Installation ID"
"Remote Admin Authorisation Password","Remote Admin Authorisation Password"
"MD5 Secret for Transactions","Tajný klíč MD5 pro transakce"
"Allow To Edit Contact Information","Allow To Edit Contact Information"
"Hide Contact Information","Skrýt kontaktní údaje"
"Debug","Ladící režim"
"Test Mode","Testovací režim"
"Payment Action for Test","Payment Action for Test"
"Payment Action","Platební akce"
"Payment From Applicable Countries","Payment From Applicable Countries"
"Payment From Specific Countries","Payment From Specific Countries"
"Set Order Status to Suspected Fraud for CVV","Set Order Status to Suspected Fraud for CVV"
"Set Order Status to Suspected Fraud for Postcode AVS","Set Order Status to Suspected Fraud for Postcode AVS"
"Sort Order","Řadit podle"
"Payment was canceled.","Platba byla zrušena."
"Your payment has been successfully processed by our shop system.","Your payment has been successfully processed by our shop system."
"Payment was canceled","Platba byla zrušena"
"Please ","Prosím "
"continue shopping","pokračovat v nákupu"
"Transaction has been canceled","Transakce byla zrušena"
"Transaction has been declined","Transakce byla zamítnuta"
"The response type is incorrect. Verify the type and try again.","The response type is incorrect. Verify the type and try again."
