"Credit card type","Kredi kartı türü"
"CVV result","CVV sonucu"
"Postcode AVS check","Posta kodu AVS kontrolü"
"Address AVS check","Adres AVS kontrolü"
"Country comparison check","Ülke karşılaştırma kontrolü"
"Risk Score","Risk Skoru"
"Not supported","Desteklenmiyor"
"Not checked","Kontrol edilmedi"
"Matched","Eşleşti"
"Not matched","Eşleştirilemedi"
"Partially matched","Kısmen eşleştirildi"
"No such order id.","Böyle bir sipariş no bulunmuyor."
"Your purchase process has been cancelled.","Satın alma süreciniz iptal edildi."
"Something went wrong while processing your order. Please try again later.","Siparişiniz işleme sırasında bir şeyler ters gitti. Lütfen daha sonra yeniden deneyin."
"Gateway response is not valid.","Ağ geçidi yanıtı geçersiz."
"Wrong response type","Yanlış yanıt türü"
"Currency doesn't match.","Para birimi eşleşmiyor."
"Amount doesn't match.","Tutar aynı değil."
"Not supported response.","Yanıt desteklenmiyor."
"Gateway processing error.","Ağ geçidi işleme hatası."
"Transaction was not placed.","İşlem yapılmadı."
"None","Hiçbiri"
"Authorize","Yetkilendir"
"Authorize and Capture","Provizyon al ve Ödemeyi Al"
"Refused","Reddedildi"
"Authorised","Yetkili"
"Error","Hata"
"Captured","Tahsil edildi"
"Please click ","Lütfen tıklayın "
"here","buraya"
" if you are not redirected automatically."," otomatik yönlendirilmediyseniz."
"You will be redirected to the Worldpay website.","Worldpay web sitesine yönlendirileceksiniz."
"Continue to Worldpay","Worldpay'e geçin"
"Worldpay","Worldpay"
"Enabled","Aktif edildi"
"Title","Başlık"
"Payment Response Password","Ödeme Yanıt Parolası"
"Remote Admin Installation ID","Remote Admin Installation ID"
"Remote Admin Authorisation Password","Uzaktan Yönetim Yetkilendirme Parolası"
"MD5 Secret for Transactions","İşlemler için MD5 Gizliliği"
"Allow To Edit Contact Information","İletişim Bilgilerini Düzenlemeye İzin Ver"
"Hide Contact Information","İletişim bilgisini gizle"
"Debug","Hata düzeltme"
"Test Mode","Test Kipi"
"Payment Action for Test","Test için Ödeme Eylemi"
"Payment Action","Ödeme İşlemi"
"Payment From Applicable Countries","Uygulanabilir Ülkelerden Ödeme"
"Payment From Specific Countries","Belirli Ülkelerden Ödeme"
"Set Order Status to Suspected Fraud for CVV","Sipariş Durumu CVV için Şüpheli Dolandırıcılık Olarak Ayarlayın"
"Set Order Status to Suspected Fraud for Postcode AVS","Sipariş Durumunu Posta Kodunda AVS İçin Şüpheli Dolandırıcılık Olarak Ayarlayın"
"Sort Order","Sıralama"
"Payment was canceled.","Ödeme iptal edildi."
"Your payment has been successfully processed by our shop system.","Ödemeniz başarıyla tamamlanmıştır."
"Payment was canceled","Ödeme iptal edildi"
"Please ","Lütfen "
"continue shopping","Alışverişe devam et"
"Transaction has been canceled","Transaction has been canceled"
"Transaction has been declined","İşlem reddedildi"
"The response type is incorrect. Verify the type and try again.","The response type is incorrect. Verify the type and try again."
