"Credit card type","Type kartu kredit"
"CVV result","Hasil CVV"
"Postcode AVS check","Memeriksa Kode Pos AVS"
"Address AVS check","Memeriksa alamat AVS"
"Country comparison check","Memeriksa perbandingan negara"
"Risk Score","Skor Risiko"
"Not supported","Tidak didukung"
"Not checked","Tidak memeriksa"
"Matched","Cocok"
"Not matched","Tidak cocok"
"Partially matched","Cocok sebagian"
"No such order id.","Tidak ada perintah seperti itu."
"Your purchase process has been cancelled.","Proses pembelian anda telah dibatalkan."
"Something went wrong while processing your order. Please try again later.","Ada yang tidak beres saat memproses pesanan Anda. Silakan coba lagi nanti."
"Gateway response is not valid.","Tanggapan gerbang jaringan tidak benar."
"Wrong response type","Salah jenis tanggapan"
"Currency doesn't match.","Currency doesn't match."
"Amount doesn't match.","Amount doesn't match."
"Not supported response.","Tidak didukung tanggapan."
"Gateway processing error.","Proses gerbang jaringan salah."
"Transaction was not placed.","Transaksi tidak dilakukan."
"None","Kosong"
"Authorize","Otorisasi"
"Authorize and Capture","Otorisasi dan Tangkapan"
"Refused","Menolak"
"Authorised","Berwenang"
"Error","Kesalahan"
"Captured","Ditangkap"
"Please click ","Silakan klik "
"here","disini"
" if you are not redirected automatically."," jika anda tidak dialihkan secara otomatis."
"You will be redirected to the Worldpay website.","Anda akan dialihkan ke website Wordpay."
"Continue to Worldpay","Lanjutkan ke Worldpay"
"Worldpay","Worldpay"
"Enabled","Diaktifkan"
"Title","Judul"
"Payment Response Password","Tanggapan kata sandi pembayaran"
"Remote Admin Installation ID","ID Instalasi Admin jarak jauh"
"Remote Admin Authorisation Password","Otorisasi kata sandi Admin jarak jauh"
"MD5 Secret for Transactions","Rahasia MD5 untuk Transaksi"
"Allow To Edit Contact Information","Mengizinkan Untuk Mengedit Informasi Kontak"
"Hide Contact Information","Menyembunyikan Informasi Kontak"
"Debug","Menulusuri"
"Test Mode","Mode Uji"
"Payment Action for Test","Tindakan pembayaran untuk Uji"
"Payment Action","Tindakan Pembayaran"
"Payment From Applicable Countries","Pembayaran dari Negara yang Berlaku"
"Payment From Specific Countries","Pembayaran dari Negara-Negara tertentu"
"Set Order Status to Suspected Fraud for CVV","Tetapkan Status Pemesanan ke Penipuan yang dicurigai untuk CVV"
"Set Order Status to Suspected Fraud for Postcode AVS","Tetapkan Status Pemesanan ke Penipuan yang dicurigai kode pos AVS"
"Sort Order","Urutan"
"Payment was canceled.","Pembayaran dibatalkan."
"Your payment has been successfully processed by our shop system.","Pembayaran Anda telah berhasil diproses oleh sistem kami."
"Payment was canceled","Payment was canceled"
"Please ","Please "
"continue shopping","continue shopping"
"Transaction has been canceled","Transaction has been canceled"
"Transaction has been declined","Transaksi telah ditolak"
"The response type is incorrect. Verify the type and try again.","The response type is incorrect. Verify the type and try again."
