"Credit card type","Bankkártya-típus"
"CVV result","CVV eredménye"
"Postcode AVS check","Irányítószám AVS ellenőrzés"
"Address AVS check","Cím AVS ellenőrzés"
"Country comparison check","Ország összehasonlítás"
"Risk Score","Kockázati pontszám"
"Not supported","Nem támogatott"
"Not checked","Nem ellenőrzött"
"Matched","Kiegyenlített"
"Not matched","Nem kiegyenlített"
"Partially matched","Részben kiegyenlített"
"No such order id.","Nincs ilyen rendelés azonosító"
"Your purchase process has been cancelled.","Vásárlási folyamatát törölték."
"Something went wrong while processing your order. Please try again later.","Valami elromlott a megrendelés feldolgozása közben. Kérjük, próbálkozz később."
"Gateway response is not valid.","Az átjáró válasza érvénytelen."
"Wrong response type","Rossz válasz típus"
"Currency doesn't match.","Currency doesn't match."
"Amount doesn't match.","Amount doesn't match."
"Not supported response.","Nem támogatott a válasz."
"Gateway processing error.","Átjáró feldolgozási hiba."
"Transaction was not placed.","Tranzakció nem jött létre."
"None","Egyik sem"
"Authorize","Engedélyez"
"Authorize and Capture","Engedélyez és levon"
"Refused","Elutasított"
"Authorised","Engedélyezett"
"Error","Hiba"
"Captured","Rögzített"
"Please click ","Kérjük, kattintson "
"here","itt"
" if you are not redirected automatically."," ha nem lett automatikusan átirányítva."
"You will be redirected to the Worldpay website.","Nemsokára átirányítjuk a WorldPay honlapjára."
"Continue to Worldpay","Tovább a Worldpay-re"
"Worldpay","WorldPay"
"Enabled","Engedélyezve"
"Title","Cím"
"Payment Response Password","Fizetési válasz jelszó"
"Remote Admin Installation ID","Távoli admin telepítési azonosító"
"Remote Admin Authorisation Password","Távoli admin engedély jelszó"
"MD5 Secret for Transactions","MD5 titkosítás a tranzakciókhoz"
"Allow To Edit Contact Information","Kapcsolat adatok szerkesztésének engedélyezése"
"Hide Contact Information","Kapcsolattartási információ elrejtése"
"Debug","Hibakeresés"
"Test Mode","Teszt mód"
"Payment Action for Test","Teszt fizetési művelet"
"Payment Action","Fizetési művelet"
"Payment From Applicable Countries","Fizetés az elérhető országokból"
"Payment From Specific Countries","Fizetés a megadott országokból"
"Set Order Status to Suspected Fraud for CVV","Rendelés állapotának átállítása csalás gyanúsra a CVV-hez"
"Set Order Status to Suspected Fraud for Postcode AVS","Rendelés állapotának átállítása csalás gyanúsra a irányítószám AVS-nél"
"Sort Order","Rendezési sorrend"
"Payment was canceled.","Fizetés meg lett szakítva."
"Your payment has been successfully processed by our shop system.","A fizetést sikeresen feldolgozta a rendszerünk."
"Payment was canceled","Fizetési megszakítva"
"Please ","kérem "
"continue shopping","vásárlás folytatása"
"Transaction has been canceled","Transaction has been canceled"
"Transaction has been declined","Transaction has been declined"
"The response type is incorrect. Verify the type and try again.","The response type is incorrect. Verify the type and try again."
