"Credit card type","Kredītkartes veids"
"CVV result","CVV rezultāts"
"Postcode AVS check","Pasta indeksa AVS pārbaude"
"Address AVS check","Adreses AVS pārbaude"
"Country comparison check","Valstu salīdzinājuma pārbaude"
"Risk Score","Riska iespēja"
"Not supported","Netiek atbalstīts"
"Not checked","Nav pārbaudīts"
"Matched","Atbilst"
"Not matched","Neatbilst"
"Partially matched","Atbilst daļēji"
"No such order id.","Nav šāda pasūtījuma id."
"Your purchase process has been cancelled.","Jūsu pirkums ir atcelts."
"Something went wrong while processing your order. Please try again later.","Neizdevās noformēt jūsu pirkumu. Lūdzu, mēģiniet vēlreiz vēlāk."
"Gateway response is not valid.","Vārtejas atbilde nav derīga."
"Wrong response type","Nepareizs atbildes veids"
"Currency doesn't match.","Valūtas nesakrīt."
"Amount doesn't match.","Summas neatbilst."
"Not supported response.","Atbilde netiek atbalstīta."
"Gateway processing error.","Vārtejas darbības kļūda."
"Transaction was not placed.","Transakcija nav uzsākta."
"None","Neviens"
"Authorize","Autorizēt"
"Authorize and Capture","Autorizēt un saņemt"
"Refused","Atteikts"
"Authorised","Autorizēts"
"Error","Kļūda"
"Captured","Saņemts"
"Please click ","Lūdzu, noklikšķiniet "
"here","šeit"
" if you are not redirected automatically."," ja netiekat pārvirzīts automātiski."
"You will be redirected to the Worldpay website.","Jūs tiksiet pārvirzīts uz Worldpay lapu."
"Continue to Worldpay","Turpināt uz Worldpay"
"Worldpay","Worldpay"
"Enabled","Ieslēgts"
"Title","Nosaukums"
"Payment Response Password","Maksājuma atbildes parole"
"Remote Admin Installation ID","Attālinātās administrēšanas instalācijas ID"
"Remote Admin Authorisation Password","Attālinātās administrēšanas autorizācijas parole"
"MD5 Secret for Transactions","MD5 parole transakcijām"
"Allow To Edit Contact Information","Atļaut labot kontaktinformāciju"
"Hide Contact Information","Paslēpt kontaktinformāciju"
"Debug","Atkļūdot"
"Test Mode","Testa režīms"
"Payment Action for Test","Maksājuma darbība testam"
"Payment Action","Maksājuma darbība"
"Payment From Applicable Countries","Maksājumi no pieejamām valstīm"
"Payment From Specific Countries","Maksājumi no noteiktām valstīm"
"Set Order Status to Suspected Fraud for CVV","Iestatīt pasūtījuma statusu kā aizdomīgu par krāpšanu priekš CVV"
"Set Order Status to Suspected Fraud for Postcode AVS","Iestatīt pasūtījuma statusu kā aizdomīgu par krāpšanu priekš Pasta indeksa AVS"
"Sort Order","Kārtošanas secība"
"Payment was canceled.","Maksājums tika atcelts."
"Your payment has been successfully processed by our shop system.","Jūsu maksājums tika veiksmīgi apstrādāts."
"Payment was canceled","Maksājums tika atcelts"
"Please ","Lūdzu "
"continue shopping","turpināt iepirkšanos"
"Transaction has been canceled","Transakcija tika atcelta"
"Transaction has been declined","Transakcija tika noraidīta"
"The response type is incorrect. Verify the type and try again.","Nepareiza atbildes veids. Pārbaudiet un mēģiniet vēlreiz."
