"Credit card type","نوع کارت اعتباری"
"CVV result","نتیجه CVV"
"Postcode AVS check","بررسی کد پستی AVS"
"Address AVS check","بررسی آدرس AVS"
"Country comparison check","چک مقایسه کشور"
"Risk Score","درجه خطر"
"Not supported","پشتیبانی نمی شود"
"Not checked","بررسی نشده"
"Matched","همسان"
"Not matched","ناهمسان"
"Partially matched","تقریبا همسان"
"No such order id.","چنین شناسه ای وجود ندارد."
"Your purchase process has been cancelled.","روند خرید شما لغو شده است."
"Something went wrong while processing your order. Please try again later.","هنگام پردازش سفارش شما اشتباهی رخ داد. لطفا بعدا دوباره امتحان کنید."
"Gateway response is not valid.","پاسخ دروازه معتبر نیست."
"Wrong response type","نوع پيام نادرست"
"Currency doesn't match.","ارز مطابقت ندارد."
"Amount doesn't match.","مقدار مطابقت ندارد."
"Not supported response.","پاسخ پشتیبانی نمی شود."
"Gateway processing error.","خطای پردازش دروازه."
"Transaction was not placed.","معامله انجام نشد."
"None","هیچ یک"
"Authorize","احراز هویت"
"Authorize and Capture","احراز هویت و ضبط"
"Refused","رد"
"Authorised","مجاز"
"Error","خطا"
"Captured","ضبط"
"Please click ","لطفا کلیک کنید "
"here","اینجا"
" if you are not redirected automatically."," اگر شما به طور خودکار هدایت نمی شوید."
"You will be redirected to the Worldpay website.","شما به وب سایت Worldpay هدایت می شوید."
"Continue to Worldpay","ادامه به Worldpay"
"Worldpay","WorldPay"
"Enabled","فعال"
"Title","عنوان"
"Payment Response Password","رمز عبور پرداخت"
"Remote Admin Installation ID","شناسه مدیریت نصب از راه دور"
"Remote Admin Authorisation Password","رمز عبور مجوز مدیریت از راه دور"
"MD5 Secret for Transactions","MD5 راز برای معاملات"
"Allow To Edit Contact Information","اجازه ویرایش اطلاعات تماس"
"Hide Contact Information","مخفی کردن اطلاعات تماس"
"Debug","اشکال زدايي کردن"
"Test Mode","حالت آزمایشی"
"Payment Action for Test","اقدامات پرداخت برای تست"
"Payment Action","عمل پرداخت"
"Payment From Applicable Countries","پرداخت از کشورهای قابل اجرا"
"Payment From Specific Countries","پرداخت از کشورهای خاص"
"Set Order Status to Suspected Fraud for CVV","تنظیم وضعیت سفارش هرزنامه، کلاه برداری مشکوک برای CVV"
"Set Order Status to Suspected Fraud for Postcode AVS","تنظیم وضعیت سفارش به تقلب مشکوک برای کد پستی AVS"
"Sort Order","ترتيب سفارش"
"Payment was canceled.","پرداخت لغو شد."
"Your payment has been successfully processed by our shop system.","پرداخت شما با موفقیت توسط سیستم فروشگاه ما پردازش شده است."
"Payment was canceled","پرداخت لغو شد"
"Please ","لطفاً "
"continue shopping","ادامه خرید"
"Transaction has been canceled","Transaction has been canceled"
"Transaction has been declined","تراکنش با موفقیت انجام نشده است"
"The response type is incorrect. Verify the type and try again.","The response type is incorrect. Verify the type and try again."
