"Credit card type","Kreditkort"
"CVV result","CVV resultat"
"Postcode AVS check","Postnummer AVS kontroll"
"Address AVS check","Adress AVS check"
"Country comparison check","Jämför och kontrollera land"
"Risk Score","Riskbetyg"
"Not supported","Stöds inte"
"Not checked","Omarkerad"
"Matched","Matchade"
"Not matched","Inga matchningar"
"Partially matched","Delvis matchas"
"No such order id.","Det finns inget sådant orderID."
"Your purchase process has been cancelled.","Din köpprocessen har avbrutits."
"Something went wrong while processing your order. Please try again later.","Något gick fel när vi behandlade din order. Försök igen senare."
"Gateway response is not valid.","Gateway svar är inte giltigt."
"Wrong response type","Fel svarstyp"
"Currency doesn't match.","Currency doesn't match."
"Amount doesn't match.","Amount doesn't match."
"Not supported response.","Ej supportat svar."
"Gateway processing error.","Gateway bearbetningsfel."
"Transaction was not placed.","Transaktionen genomfördes ej."
"None","Inga"
"Authorize","Auktorisera"
"Authorize and Capture","Auktorisera och debitera"
"Refused","Vägrade"
"Authorised","Authorised"
"Error","Fel"
"Captured","Captured"
"Please click ","Please click "
"here","här"
" if you are not redirected automatically."," if you are not redirected automatically."
"You will be redirected to the Worldpay website.","You will be redirected to the Worldpay website."
"Continue to Worldpay","Continue to Worldpay"
"Worldpay","Worldpay"
"Enabled","Aktiverad"
"Title","Titel"
"Payment Response Password","Payment Response Password"
"Remote Admin Installation ID","Remote Admin Installation ID"
"Remote Admin Authorisation Password","Remote Admin Authorisation Password"
"MD5 Secret for Transactions","MD5 Secret for Transactions"
"Allow To Edit Contact Information","Allow To Edit Contact Information"
"Hide Contact Information","Hide Contact Information"
"Debug","Felsök"
"Test Mode","Testläge"
"Payment Action for Test","Payment Action for Test"
"Payment Action","Betalningsåtgärd"
"Payment From Applicable Countries","Payment From Applicable Countries"
"Payment From Specific Countries","Payment From Specific Countries"
"Set Order Status to Suspected Fraud for CVV","Set Order Status to Suspected Fraud for CVV"
"Set Order Status to Suspected Fraud for Postcode AVS","Set Order Status to Suspected Fraud for Postcode AVS"
"Sort Order","Sorteringsordning"
"Payment was canceled.","Payment was canceled."
"Your payment has been successfully processed by our shop system.","Your payment has been successfully processed by our shop system."
"Payment was canceled","Payment was canceled"
"Please ","Please "
"continue shopping","continue shopping"
"Transaction has been canceled","Transaction has been canceled"
"Transaction has been declined","Transaction has been declined"
"The response type is incorrect. Verify the type and try again.","The response type is incorrect. Verify the type and try again."
