"Credit card type","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ವಿಧ"
"CVV result","CVV ಫಲಿತಾಂಶ"
"Postcode AVS check","Postcode AVS ಪರೀಕ್ಷೆ"
"Address AVS check","ವಿಳಾಸ AVS ಪರೀಕ್ಷೆ"
"Country comparison check","ರಾಷ್ಟ್ರದ ಹೋಲಿಕೆ ಪರಶೀಲನೆ"
"Risk Score","ರಿಸ್ಕ್ ಸ್ಕೋರು"
"Not supported","ಬೆಂಬಲಿತವಿಲ್ಲ"
"Not checked","ಪರಿಶೀಲಿಸಿಲ್ಲ"
"Matched","ಹೊಂದಿಕೆಯಾಗಿದೆ"
"Not matched","ಹೋಲಿಕೆಯಿಲ್ಲ"
"Partially matched","ಪಾರ್ಶ್ವ ಹೋಲಿಕೆ"
"No such order id.","ಯಾವುದೇ ರೀತಿಯ order id ಇಲ್ಲ."
"Your purchase process has been cancelled.","ನಿಮ್ಮ ಖರೀದಿ ಪ್ರಕ್ರಿಯೆಯನ್ನು ರದ್ದುಗೊಳಿಸಲಾಗಿದೆ."
"Something went wrong while processing your order. Please try again later.","ನಿಮ್ಮ ಖರೀದಿಯನ್ನು ಪ್ರಕ್ರಿಯೆಗೊಳಿಸುವಲ್ಲಿ ಯಾವುದೋ ತೊಂದರೆ ಸಂಭವಿಸಿಸಿದೆ. ದಯವಿಟ್ಟು ನಂತರ ಪ್ರಯತ್ನಿಸಿ."
"Gateway response is not valid.","Gateway response is not valid."
"Wrong response type","Wrong response type"
"Currency doesn't match.","ಕರೆನ್ಸಿ ಹೋಲಿಕೆಯಾಗಿಲ್ಲ."
"Amount doesn't match.","ಮೊತ್ತ ಹೋಲಿಕೆಯಾಗಿಲ್ಲ."
"Not supported response.","ಬೆಂಬಲಿತವಲ್ಲದ ಪ್ರತಿಕ್ರಿಯೆ."
"Gateway processing error.","Gateway processing error."
"Transaction was not placed.","Transaction was not placed."
"None","ಯಾವುದೂ ಇಲ್ಲ"
"Authorize","ದೃಢೀಕರಿಸಿ"
"Authorize and Capture","Authorize and Capture"
"Refused","ನಿರಾಕರಿಸಿದೆ"
"Authorised","ದೃಢೀಕರಿಸಿದೆ"
"Error","ದೋಷ"
"Captured","Captured"
"Please click ","ದಯವಿಟ್ಟು ಕ್ಲಿಕ್ ಮಾಡಿ "
"here","ಇಲ್ಲಿ"
" if you are not redirected automatically."," if you are not redirected automatically."
"You will be redirected to the Worldpay website.","ನಿಮ್ಮನ್ನು Worldpay ಜಾಲತಾಣಕ್ಕೆ ಮರುನಿರ್ದೇಶಿಸಲಾಗುವುದು."
"Continue to Worldpay","Worldpay ಗೆ ಮುಂದುವರೆಯಿರಿ"
"Worldpay","Worldpay"
"Enabled","ಸಕ್ರಿಯವಾಗಿದೆ"
"Title","ಶೀರ್ಷಿಕೆ"
"Payment Response Password","ಪಾವತಿ ಪ್ರತಿಕ್ರಿಯೆಯ ಗುಪ್ತಪದ"
"Remote Admin Installation ID","Remote Admin Installation ID"
"Remote Admin Authorisation Password","Remote Admin Authorisation Password"
"MD5 Secret for Transactions","MD5 Secret for Transactions"
"Allow To Edit Contact Information","ಸಂಪರ್ಕ ಮಾಹಿತಿಯನ್ನು ಸಂಪಾದಿಸಲು ಅನುಮತಿಸಿ"
"Hide Contact Information","ಸಂಪರ್ಕ ಮಾಹಿತಿಯನ್ನು ಮರೆಮಾಡಿ"
"Debug","ಡೀಬಗ್"
"Test Mode","ಪರೀಕ್ಷಾ ಕ್ರಮ"
"Payment Action for Test","ಪರೀಕ್ಷಿಸಲು ಪಾವತಿ ಪ್ರತಿಕ್ರಿಯೆ"
"Payment Action","ಪಾವತಿ ಕ್ರಿಯೆ"
"Payment From Applicable Countries","ಅನ್ವಯವಾಗುವ ರಾಷ್ಟ್ರಗಳಿಂದ ಪಾವತಿ"
"Payment From Specific Countries","ಸೂಚಿತ ರಾಷ್ಟ್ರಗಳಿಂದ ಪಾವತಿ"
"Set Order Status to Suspected Fraud for CVV","Set Order Status to Suspected Fraud for CVV"
"Set Order Status to Suspected Fraud for Postcode AVS","Set Order Status to Suspected Fraud for Postcode AVS"
"Sort Order","ವಿಂಗಡಣಾ ಕ್ರಮ"
"Payment was canceled.","ಪಾವತಿಯನ್ನು ರದ್ದುಗೊಳಿಸಲಾಗಿದೆ."
"Your payment has been successfully processed by our shop system.","ನಮ್ಮ ಮಳಿಗೆಯ ಸಿಸ್ಟಂನಿಂದ ನಿಮ್ಮ ಪಾವತಿಯನ್ನು ಯಶಸ್ವಿಯಾಗಿ ಕಾರ್ಯಗತಗೊಳಿಸಲಾಗಿದೆ."
"Payment was canceled","ಪಾವತಿಯನ್ನು ರದ್ದುಗೊಳಿಸಲಾಗಿದೆ"
"Please ","ದಯವಿಟ್ಟು "
"continue shopping","ಶಾಪಿಂಗ್ ಮುಂದುವರೆಸಿ"
"Transaction has been canceled","ವ್ಯವಹಾರವನ್ನು ರದ್ದುಗೊಳಿಸಲಾಗಿದೆ"
"Transaction has been declined","ವ್ಯವಹಾರವನ್ನು ನಿರಾಕರಿಸಲಾಗಿದೆ"
"The response type is incorrect. Verify the type and try again.","The response type is incorrect. Verify the type and try again."
