"Credit card type","Luottokorttityyppi"
"CVV result","CVV-tulos"
"Postcode AVS check","Postinumeron AVS-tarkistus"
"Address AVS check","Address AVS check"
"Country comparison check","Country comparison check"
"Risk Score","Riskiluku"
"Not supported","Ei tuettu"
"Not checked","Ei tarkistettu"
"Matched","Matched"
"Not matched","Ei täsmää"
"Partially matched","Partially matched"
"No such order id.","Tällaista tilausnumeroa ei ole."
"Your purchase process has been cancelled.","Your purchase process has been cancelled."
"Something went wrong while processing your order. Please try again later.","Jokin meni vikaan tilauksen käsittelyssä. Yritä myöhemmin uudelleen."
"Gateway response is not valid.","Gateway response is not valid."
"Wrong response type","Väärä vastaustyyppi"
"Currency doesn't match.","Valuutta ei täsmää."
"Amount doesn't match.","Summa ei täsmää."
"Not supported response.","Not supported response."
"Gateway processing error.","Gateway processing error."
"Transaction was not placed.","Transaction was not placed."
"None","Ei mikään"
"Authorize","Valtuuta"
"Authorize and Capture","Valtuuta ja talteenota"
"Refused","Refused"
"Authorised","Authorised"
"Error","Virhe"
"Captured","Talteenotettu"
"Please click ","Napsauta "
"here","täällä"
" if you are not redirected automatically."," jos sinua ei ohjata uudelleen automaattisesti."
"You will be redirected to the Worldpay website.","Sinut uudelleenohjataan Worldpay -sivustolle."
"Continue to Worldpay","Jatka Worldpayhyn"
"Worldpay","Worldpay"
"Enabled","Käytössä"
"Title","Otsikko"
"Payment Response Password","Maksun vastaussalasana"
"Remote Admin Installation ID","Remote Admin Installation ID"
"Remote Admin Authorisation Password","Remote Admin Authorisation Password"
"MD5 Secret for Transactions","MD5 Secret for Transactions"
"Allow To Edit Contact Information","Salli yhteystietojen muokkaus"
"Hide Contact Information","Piilota yhteystiedot"
"Debug","Vianselvitys"
"Test Mode","Testitila"
"Payment Action for Test","Payment Action for Test"
"Payment Action","Maksutoiminto"
"Payment From Applicable Countries","Payment From Applicable Countries"
"Payment From Specific Countries","Payment From Specific Countries"
"Set Order Status to Suspected Fraud for CVV","Set Order Status to Suspected Fraud for CVV"
"Set Order Status to Suspected Fraud for Postcode AVS","Set Order Status to Suspected Fraud for Postcode AVS"
"Sort Order","Lajittelujärjestys"
"Payment was canceled.","Maksu peruutettiin."
"Your payment has been successfully processed by our shop system.","Your payment has been successfully processed by our shop system."
"Payment was canceled","Maksu peruutettiin"
"Please ","Ole hyvä "
"continue shopping","jatka ostoksia"
"Transaction has been canceled","Tapahtuma on peruutettu"
"Transaction has been declined","Tapahtuma on hylätty"
"The response type is incorrect. Verify the type and try again.","The response type is incorrect. Verify the type and try again."
