"Credit card type","Loại thẻ tín dụng"
"CVV result","Kết quả CVV"
"Postcode AVS check","Kiểm tra mã SVS"
"Address AVS check","Kiểm tra địa chỉ AVS"
"Country comparison check","Kiểm tra quốc gia đối ứng"
"Risk Score","Điểm rủi ro"
"Not supported","Không được hỗ trợ"
"Not checked","Chưa kiểm tra"
"Matched","Phù hợp"
"Not matched","Không phù hợp"
"Partially matched","Phù hợp phần nào"
"No such order id.","Không có id đơn đặt hàng này."
"Your purchase process has been cancelled.","Your purchase process has been cancelled."
"Something went wrong while processing your order. Please try again later.","Có lỗi xảy ra khi xử lý đơn hàng của bạn. Xin vui lòng thử lại sau."
"Gateway response is not valid.","Phản ứng Gateway là không hợp lệ."
"Wrong response type","Loại phản ứng sai"
"Currency doesn't match.","Loại ngoại tệ không phù hợp."
"Amount doesn't match.","Số tiền không phù hợp."
"Not supported response.","Phản ứng không được hỗ trợ."
"Gateway processing error.","Quá trình chạy Gateway bị lỗi."
"Transaction was not placed.","Giao dịch không được đặt."
"None","Không cái nào"
"Authorize","Ủy quyền"
"Authorize and Capture","Ủy quyền và chấp nhận giao dịch"
"Refused","Từ chối"
"Authorised","Ủy quyền"
"Error","Lỗi"
"Captured","Chấp nhận giao dịch"
"Please click ","Xin bấm vào "
"here","đây"
" if you are not redirected automatically."," nếu bạn đang không được chuyển hướng tự động."
"You will be redirected to the Worldpay website.","Bạn sẽ được chuyển hướng đến trang web Worldpay."
"Continue to Worldpay","Tiếp tục đến Worldpay"
"Worldpay","WorldPay"
"Enabled","Cho phép"
"Title","Tiêu đề"
"Payment Response Password","Mật khẩu đáp lại các thanh toán"
"Remote Admin Installation ID","ID cài đặt từ xa của quản trị viên"
"Remote Admin Authorisation Password","Mật khẩu uỷ quyền quản trị từ xa"
"MD5 Secret for Transactions","MD5 giữ bảo mật cho các giao dịch"
"Allow To Edit Contact Information","Cho phép chỉnh sửa thông tin liên lạc"
"Hide Contact Information","Ẩn thông tin liên lạc"
"Debug","Sửa Lỗi"
"Test Mode","Chế độ dùng thử"
"Payment Action for Test","Thử dùng các hành động thanh toán"
"Payment Action","Hành động thanh toán"
"Payment From Applicable Countries","Thanh Toán từ Các Nước có thể Áp Dụng"
"Payment From Specific Countries","Thanh Toán từ Các Nước Cụ Thể"
"Set Order Status to Suspected Fraud for CVV","Thiết lập trạng thái đơn hàng để phát hiện gian lận trong CVV"
"Set Order Status to Suspected Fraud for Postcode AVS","Thiết lập trạng thái đơn hàng để phát hiện gian lận trong mã bưu chính AVS"
"Sort Order","Thứ tự sắp xếp"
"Payment was canceled.","Payment was canceled."
"Your payment has been successfully processed by our shop system.","Thanh toán của bạn đã được xử lý thành công bởi hệ thống cửa hàng của chúng tôi."
"Payment was canceled","Thanh toán bị hủy bỏ"
"Please ","Vui lòng "
"continue shopping","tiếp tục mua sắm"
"Transaction has been canceled","Transaction has been canceled"
"Transaction has been declined","Giao dịch đã bị từ chối"
"The response type is incorrect. Verify the type and try again.","The response type is incorrect. Verify the type and try again."
