"Back","Kembali"
"Backup Log Details","Backup Log Details"
"Create","Membuat"
"Requested system report has no data to output.","Requested system report has no data to output."
"&copy; Magento Commerce Inc., %1","&copy; Magento Commerce Inc., %1"
"Are you sure you want to delete the system report?","Apakah anda yakin ingin menghapus laporan sistem?"
"Download","Unduh"
"Go to Top","Pergi ke Atas"
"Report","Laporan"
"System Report Information","Informasi Laporan Sistema"
"Requested system report has no data to display.","Requested system report has no data to display."
"Output path %1 doesn't exist","Output path %1 doesn't exist"
"Unknown DB param: %1","Unknown DB param: %1"
"Paths file already exists","Paths file already exists"
"Paths file cannot be created","Paths file cannot be created"
"Please select item(s).","Please select item(s)."
"A total of %1 record(s) have been deleted.","Sejumlah dari %1 catatan(s) telah dihapus."
"Support","Support"
"Data Collector","Data Collector"
"The backup has been saved.","The backup has been saved."
"Failed to save backup with error: %1","Failed to save backup with error: %1"
"An error occurred while saving backup","An error occurred while saving backup"
"All processes should be complete","All processes should be complete"
"Wrong param id","Wrong param id"
"The backup has been deleted.","Backup telah terhapus."
"Cannot delete backup","Tidak dapat menghapus backup"
"File does not exist","Berkas tidak ada"
"Log Details","Rincian Log"
"An error occurred during mass deletion of data collector backups. Please review log and try again.","An error occurred during mass deletion of data collector backups. Please review log and try again."
"After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.","After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed."
"Create System Report","Buat Laporan Sistem"
"Unable to find a system report to delete.","Tidak dapat menemukan laporan sistem untuk dihapus."
"The system report has been deleted.","Laporan sistem telah dihapus."
"An error occurred while deleting the system report. Please review log and try again.","Terjadi kesalahan saat menghapus laporan sistem. Silahkan tinjau log dan coba lagi."
"Requested system report no longer exists.","Laporan sistem yang diminta tidak tersedia lagi."
"Unable to read system report data to display.","Unable to read system report data to display."
"No groups were specified to generate system report.","No groups were specified to generate system report."
"The system report has been generated.","The system report has been generated."
"An error occurred while the system report was being created. Please review the log and try again.","An error occurred while the system report was being created. Please review the log and try again."
"System Reports","Laporan Sistem"
"An error occurred during mass deletion of system reports. Please review log and try again.","Terjadi kesalahan saat penghapusan massal laporan sistem. Silahkan tinjau log dan coba lagi."
"Utility %1 not found","Utility %1 not found"
"Unknown utility: %1","Unknown utility: %1"
"Cannot set root directory.","Cannot set root directory."
"Support Module doesn't support %s operation system","Support Module doesn't support %s operation system"
"Unable to create backup due to php exec function is disabled","Unable to create backup due to php exec function is disabled"
"Incomplete","Tidak lengkap"
"Complete","Lengkap"
"Failed","Gagal"
"Directory %s should have writable & readable permissions","Directory %s should have writable & readable permissions"
"Windows","Windows"
"OS X","OS X"
"Unknown Status","Status Tidak diketahui"
"Processing ...","Memproses ..."
"(now)","(sekarang)"
"[%1 minutes ago]","[%1 minutes ago]"
"[%1 hours ago]","[%1 hours ago]"
"[%1 days ago]","[%1 days ago]"
"[%1 weeks ago]","[%1 weeks ago]"
"[%1 months ago]","[%1 months ago]"
"[%1 years ago]","[%1 years ago]"
"And more...","Dan sebagainya..."
"Column %1","Kolom %1"
"Preparing system report data: Detected Single Row Mode but data may be incomplete.","Preparing system report data: Detected Single Row Mode but data may be incomplete."
"Yes","Ya"
