"Back","Tilbake"
"All Frontend Events","Alle frontend Eventer"
"All Global events","Alle Globale Eventer"
"All REST Events","Alle REST Eventer"
"All SOAP Events","Alle SOAP Eventer"
"Core Admin Events","Kjerne Administrator Eventer"
"Core Crontab Events","Kjerne Crontab Eventer"
"Core Doc Events","Kjerne Doc Eventer"
"Core Frontend Events","Core Frontend Events"
"Core Global Events","Core Global Events"
"Core REST Events","Core REST Events"
"Core SOAP Events","Core SOAP Events"
"Custom Admin Events","Custom Admin Events"
"Custom Crontab Events","Custom Crontab Events"
"Custom Doc Events","Custom Doc Events"
"Custom Frontend Events","Custom Frontend Events"
"Custom Global Events","Custom Global Events"
"Custom REST Events","Custom REST Events"
"Custom SOAP Events","Custom SOAP Events"
"Log Files","Log Files"
"File","Fil"
"Size","Størrelse"
"Log Entries","Log Entries"
"Last Update","Siste oppdatering"
"Today's Top Debug Messages","Today's Top Debug Messages"
"Message","Beskjed"
"Last Occurrence","Last Occurrence"
"Today's Top Exception Messages","Today's Top Exception Messages"
"Stack Trace","Stack Trace"
"Today's Top System Messages","Today's Top System Messages"
"Top Debug Messages","Top Debug Messages"
"Top Exception Messages","Top Exception Messages"
"Top System Messages","Top System Messages"
"Store Views List","Store Views List"
"Stores List","Stores List"
"Root Category","Rotkategori"
"Default Store View","Standard butikkvisning"
"Websites List","Websites List"
"Is Default","Er standard"
"Default Store","Standard butikk"
"Websites Tree","Websites Tree"
"There was an error while loading system report data.","There was an error while loading system report data."
"General","Generelt"
"Environment","Miljø"
"Cannot save backup. The reason is: Utility lsof not found","Cannot save backup. The reason is: Utility lsof not found"
"Test error","Test error"
"Error message!","Feilmelding!"
"User Defined","Brukerdefinerte"
"Entity Type Code","Entity Type Code"
"Source Model","Source Model"
"Backend Model","Backend Model"
"Frontend Model","Frontend Model"
"text","text"
"Show Log","Vis logg"
"Delete","Slett"
"Delete ""%1""","Slett %1"""
"Are you sure you want to delete a ""%1"" record?","Er du sikker på at du vil slette en %1 oppføring?"
"View","Visning"
"Are you sure you wan't to delete a ""%1"" record?","Are you sure you wan't to delete a ""%1"" record?"
"Empty log","Tøm log"
"Backup ID: ","Backup ID: "
"Collapse","Skjul"
"Expand","Utvid"
" (no data)"," (ingen Data)"
"Top","Topp"
"No data","Ingen Data"
"Support Data Collector","Support Data Collector"
"Support System Report","Support System Report"
"System Report","System Raport"
"Data","Data"
"Modules","Moduler"
"Logs","Logger"
"Attributes","Attributter"
"Events","Hendelser"
"Cron","Cron"
"Design","Utforming"
"Stores","Butikker"
"New Backup","New Backup"
"Refresh Status","Refresh Status"
"Are you sure you want to delete selected item(s)?","Are you sure you want to delete selected item(s)?"
"Delete items","Slette elementer"
"Code Dump","Kode Dump"
"DB Dump","DB Dump"
"Choose Report Groups","Valg Rapport Grupper"
"New Report","Ny Rapport"
"Date Generated","Dato Generert"
"Report Groups","Raporter Grupper"
"An item needs to be selected. Select and try again.","An item needs to be selected. Select and try again."
"All processes should be completed.","All processes should be completed."
"The ""%1"" utility wasn't found. Verify the utility and try again.","The ""%1"" utility wasn't found. Verify the utility and try again."
"The ""%1"" utility is unknown. Verify the utility and try again.","The ""%1"" utility is unknown. Verify the utility and try again."
"The root category can't be set. Verify the category and try again.","The root category can't be set. Verify the category and try again."
