"Delete Rule","Poista sääntö"
"Are you sure you want to do this?","Haluatko varmasti tehdä tämän?"
"Reset","Tyhjennä"
"Save and Apply","Tallenna ja käytä"
"Save and Continue Edit","Tallenna ja jatka muokkaamista"
"Save","Tallenna"
"Catalog Price Rule","Tuoteluettelon hintasääntö"
"Add New Rule","Lisää uusi sääntö"
"Apply Rules","Käytä sääntöjä"
"Conditions","Ehdot"
"Conditions (don't add conditions if rule is applied to all products)","Ehdot (älä lisää ehtoja jos sääntöä sovelletaan kaikkiin nimikkeisiin)"
"ID","Tunnus"
"Type","Tyyppi"
"Attribute Set","Attribuuttiryhmä"
"SKU","Tuotenro"
"Product","Tuote"
"Promotions","Myynninedistäminen"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog."
"We can't apply the rules.","Sääntöjä ei voida ottaa käyttöön."
"You deleted the rule.","Poistit säännön."
"We can't delete this rule right now. Please review the log and try again.","Tätä sääntöä ei voida poistaa juuri nyt. Tarkista loki ja yritä uudelleen."
"We can't find a rule to delete.","Poistettavaa sääntöä ei löydy."
"This rule no longer exists.","Tätä sääntöä ei ole enää olemassa."
"New Catalog Price Rule","Uusi tuoteluettelon hintasääntö"
"Edit Rule","Muokkaa sääntöä"
"New Rule","Uusi sääntö"
"Catalog","Katalogi"
"You saved the rule.","Tallensit säännön."
"Something went wrong while saving the rule data. Please review the error log.","Something went wrong while saving the rule data. Please review the error log."
"Promo","Promo"
"Unable to save rule %1","Unable to save rule %1"
"Rule with specified ID ""%1"" not found.","Rule with specified ID ""%1"" not found."
"Unable to remove rule %1","Unable to remove rule %1"
"Could not rebuild index for empty products array","Could not rebuild index for empty products array"
"We can't rebuild the index for an undefined product.","Indeksiä ei voida uudelleenrakentaa määrittelemättömälle tuotteelle."
"Catalog rule indexing failed. See details in exception log.","Catalog rule indexing failed. See details in exception log."
"Percentage discount should be between 0 and 100.","Percentage discount should be between 0 and 100."
"Discount value should be 0 or greater.","Discount value should be 0 or greater."
"Unknown action.","Unknown action."
"Update the Product","Päivitä tuote"
"Rule price","Säännön hinta"
"To Fixed Value","Kiinteään arvoon"
"To Percentage","To Percentage"
"By Fixed value","Kiinteällä arvolla"
"By Percentage","By Percentage"
"Update product's %1 %2: %3","Update product's %1 %2: %3"
"Apply as percentage of original","Apply as percentage of original"
"Apply as fixed amount","Sovella kiinteänä määränä"
"Adjust final price to this percentage","Adjust final price to this percentage"
"Adjust final price to discount value","Adjust final price to discount value"
"Conditions Combination","Ehtojen yhdistäminen"
"Product Attribute","Tuotteen attribuutti"
"Updated rules applied.","Updated rules applied."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","You disabled %1 Catalog Price Rules based on ""%2"" attribute."
"Catalog Rule Product","Catalog Rule Product"
"Indexed rule/product association","Indexed rule/product association"
"Catalog Product Rule","Catalog Product Rule"
"Indexed product/rule association","Indexed product/rule association"
"Rule","Sääntö"
"Start","Aloita"
"End","Loppu"
"Status","Tila"
"Active","Aktiivinen"
"Inactive","Ei käytössä"
"Web Site","Sivusto"
"Back","Takaisin"
"Rule Information","Säännön tiedot"
"Rule Name","Säännön nimi"
"Description","Kuvaus"
"Websites","Sivustot"
"Customer Groups","Asiakasryhmät"
"From","Alkaen"
"To","Asti"
"Priority","Prioriteetti"
"Actions","Toiminnot"
"Apply","Käytä"
"Discount Amount","Alennuksen määrä"
"Discard subsequent rules","Hylkää seuraavat peräkkäiset säännöt"
"Yes","Kyllä"
"No","Ei"
"Edit Rule '%1'","Edit Rule '%1'"
"Pricing Structure Rules","Pricing Structure Rules"
"Subproduct discounts","Subproduct discounts"
"General Information","General Information"
"Wrong rule specified.","Wrong rule specified."
"Undefined condition type ""%1"" passed in.","Undefined condition type ""%1"" passed in."
"Undefined SQL operator ""%1"" passed in. Valid operators are: %2","Undefined SQL operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule operator ""%1"" passed in. Valid operators are: %2","Undefined rule operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule aggregator ""%1"" passed in. Valid operators are: %2","Undefined rule aggregator ""%1"" passed in. Valid operators are: %2"
"The ""%1"" rule was unable to be saved. Please try again.","The ""%1"" rule was unable to be saved. Please try again."
"The rule with the ""%1"" ID wasn't found. Verify the ID and try again.","The rule with the ""%1"" ID wasn't found. Verify the ID and try again."
"The ""%1"" rule couldn't be removed.","The ""%1"" rule couldn't be removed."
