"Delete Rule","Hapus Kaidah"
"Are you sure you want to do this?","Apakah Anda yakin ingin melakukan ini?"
"Reset","Set ulang"
"Save and Apply","Simpan dan menerapkan"
"Save and Continue Edit","Simpan dan Lanjutkan Edit"
"Save","Menyimpan"
"Catalog Price Rule","Aturan harga katalog"
"Add New Rule","Tambahkan Aturan Baru"
"Apply Rules","Menerapkan peraturan"
"Conditions","Kondisi"
"Conditions (don't add conditions if rule is applied to all products)","Kondisi (jangan menambahkan kondisi jika aturan diterapkan pada semua produk)"
"ID","Id"
"Type","Jenis"
"Attribute Set","Set Atribut"
"SKU","SKU"
"Product","Produk"
"Promotions","Promosi"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Kami menemukan peraturan terbaru yang tidak diterapkan. Silakan klik ""Terapkan Aturan"" untuk memperbarui katalog Anda."
"We can't apply the rules.","Kita tidak bisa menerapkan aturan."
"You deleted the rule.","Anda menghapus aturan."
"We can't delete this rule right now. Please review the log and try again.","Kami tidak dapat menghapus peraturan ini sekarang juga. Silakan tinjau log dan coba lagi."
"We can't find a rule to delete.","Kami tidak dapat menemukan peraturan yang akan dihapus."
"This rule no longer exists.","Aturan ini sudah tidak ada lagi."
"New Catalog Price Rule","Peraturan harga baru"
"Edit Rule","Perubahan aturan"
"New Rule","Aturan baru"
"Catalog","Katalog"
"You saved the rule.","Anda menyimpan peraturan."
"Something went wrong while saving the rule data. Please review the error log.","Ada yang tidak beres saat menyimpan data aturan. Silakan tinjau log kesalahan."
"Promo","Promo"
"Unable to save rule %1","Unable to save rule %1"
"Rule with specified ID ""%1"" not found.","Rule with specified ID ""%1"" not found."
"Unable to remove rule %1","Unable to remove rule %1"
"Could not rebuild index for empty products array","Tidak dapat membangun kembali indeks untuk rangkaian produk kosong"
"We can't rebuild the index for an undefined product.","Kami tidak dapat membangun kembali indeks untuk produk yang tidak terdefinisi."
"Catalog rule indexing failed. See details in exception log.","Pengindeksan aturan katalog gagal. Lihat detail dalam log kesalahan."
"Percentage discount should be between 0 and 100.","Persentase diskon harus antara 0 dan 100."
"Discount value should be 0 or greater.","Nilai diskon harus 0 atau lebih."
"Unknown action.","Tindakan tidak dikenal."
"Update the Product","Perbarui Produk"
"Rule price","Aturan Harga"
"To Fixed Value","Untuk Nilai Tetap"
"To Percentage","Untuk Persen"
"By Fixed value","Dari nilai tetap"
"By Percentage","Dari persen"
"Update product's %1 %2: %3","Perbaiki produk %1 %2: %3"
"Apply as percentage of original","Terapkan sebagai persentase asli"
"Apply as fixed amount","Terapkan sebagai jumlah tetap"
"Adjust final price to this percentage","Sesuaikan harga akhir dengan persentase ini"
"Adjust final price to discount value","Sesuaikan harga akhir dengan nilai diskon"
"Conditions Combination","Ketentuan Kombinasi"
"Product Attribute","Atribut Produk"
"Updated rules applied.","Perbaharui aturan diterapkan."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","Anda menonaktifkan%1 Peraturan Harga Katalog berdasarkan atribut ""%2""."
"Catalog Rule Product","Aturan Katalog produk"
"Indexed rule/product association","Aturan indeks/asosiasi produk"
"Catalog Product Rule","Katalog produk peraturan"
"Indexed product/rule association","Indexed product / rule association"
"Rule","Aturan"
"Start","Mulai"
"End","Akhir"
"Status","Subjek"
"Active","Aktif"
"Inactive","Tidak aktif"
"Web Site","Situs web"
"Back","Kembali"
"Rule Information","Informasi Peraturan"
"Rule Name","Nama aturan"
"Description","Deskripsi"
"Websites","Situs web"
"Customer Groups","Kelompok pelanggan"
"From","Dari"
"To","Ke"
"Priority","Prioritas"
"Actions","Tindakan"
"Apply","Menerapkan"
"Discount Amount","Jumlah diskon"
"Discard subsequent rules","Buang peraturan selanjutnya"
"Yes","Ya"
"No","Tidak"
"Edit Rule '%1'","Edit Rule '%1'"
"Pricing Structure Rules","Pricing Structure Rules"
"Subproduct discounts","Subproduct discounts"
"General Information","General Information"
"Wrong rule specified.","Wrong rule specified."
"Undefined condition type ""%1"" passed in.","Undefined condition type ""%1"" passed in."
"Undefined SQL operator ""%1"" passed in. Valid operators are: %2","Undefined SQL operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule operator ""%1"" passed in. Valid operators are: %2","Undefined rule operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule aggregator ""%1"" passed in. Valid operators are: %2","Undefined rule aggregator ""%1"" passed in. Valid operators are: %2"
"The ""%1"" rule was unable to be saved. Please try again.","The ""%1"" rule was unable to be saved. Please try again."
"The rule with the ""%1"" ID wasn't found. Verify the ID and try again.","The rule with the ""%1"" ID wasn't found. Verify the ID and try again."
"The ""%1"" rule couldn't be removed.","The ""%1"" rule couldn't be removed."
