"Delete Rule","규칙 삭제"
"Are you sure you want to do this?","정말로 이 작업을 수행하겠습니까?"
"Reset","초기화"
"Save and Apply","저장하고 적용"
"Save and Continue Edit","저장하고 계속 편집하기"
"Save","저장"
"Catalog Price Rule","카탈로그 가격 규칙"
"Add New Rule","신규 규칙 추가"
"Apply Rules","규칙 적용"
"Conditions","조건"
"Conditions (don't add conditions if rule is applied to all products)","Conditions (don't add conditions if rule is applied to all products)"
"ID","ID"
"Type","타입"
"Attribute Set","어트리뷰트 세트"
"SKU","SKU"
"Product","상품"
"Promotions","프로모션"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog."
"We can't apply the rules.","We can't apply the rules."
"You deleted the rule.","규칙을 삭제했습니다."
"We can't delete this rule right now. Please review the log and try again.","We can't delete this rule right now. Please review the log and try again."
"We can't find a rule to delete.","We can't find a rule to delete."
"This rule no longer exists.","이 규칙은 더이상 존재하지 않습니다."
"New Catalog Price Rule","신규 카탈로그 가격 규칙"
"Edit Rule","규칙 수정"
"New Rule","신규 규칙"
"Catalog","카탈로그"
"You saved the rule.","규칙을 저장했습니다."
"Something went wrong while saving the rule data. Please review the error log.","저장중 문제가 발생했습니다. 에러 로그를 확인해 주십시오."
"Promo","프로모션"
"Unable to save rule %1","Unable to save rule %1"
"Rule with specified ID ""%1"" not found.","Rule with specified ID ""%1"" not found."
"Unable to remove rule %1","Unable to remove rule %1"
"Could not rebuild index for empty products array","Could not rebuild index for empty products array"
"We can't rebuild the index for an undefined product.","We can't rebuild the index for an undefined product."
"Catalog rule indexing failed. See details in exception log.","Catalog rule indexing failed. See details in exception log."
"Percentage discount should be between 0 and 100.","Percentage discount should be between 0 and 100."
"Discount value should be 0 or greater.","Discount value should be 0 or greater."
"Unknown action.","Unknown action."
"Update the Product","Update the Product"
"Rule price","Rule price"
"To Fixed Value","To Fixed Value"
"To Percentage","To Percentage"
"By Fixed value","By Fixed value"
"By Percentage","By Percentage"
"Update product's %1 %2: %3","Update product's %1 %2: %3"
"Apply as percentage of original","Apply as percentage of original"
"Apply as fixed amount","Apply as fixed amount"
"Adjust final price to this percentage","Adjust final price to this percentage"
"Adjust final price to discount value","Adjust final price to discount value"
"Conditions Combination","조건 조합"
"Product Attribute","상품 어트리뷰트"
"Updated rules applied.","업데이트된 규칙을 적용합니다."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","You disabled %1 Catalog Price Rules based on ""%2"" attribute."
"Catalog Rule Product","Catalog Rule Product"
"Indexed rule/product association","Indexed rule/product association"
"Catalog Product Rule","카탈로그 상품 규칙"
"Indexed product/rule association","Indexed product/rule association"
"Rule","규칙"
"Start","시작"
"End","종료"
"Status","상태"
"Active","활성화"
"Inactive","비활성화"
"Web Site","웹사이트"
"Back","이전"
"Rule Information","규칙 정보"
"Rule Name","규칙 이름"
"Description","상세 설명"
"Websites","웹사이트"
"Customer Groups","고객 그룹"
"From","보낸 사람"
"To","받는 사람"
"Priority","우선순위"
"Actions","동작"
"Apply","적용"
"Discount Amount","할인 금액"
"Discard subsequent rules","Discard subsequent rules"
"Yes","네"
"No","아니오"
"Edit Rule '%1'","Edit Rule '%1'"
"Pricing Structure Rules","Pricing Structure Rules"
"Subproduct discounts","Subproduct discounts"
"General Information","General Information"
"Wrong rule specified.","Wrong rule specified."
"Undefined condition type ""%1"" passed in.","Undefined condition type ""%1"" passed in."
"Undefined SQL operator ""%1"" passed in. Valid operators are: %2","Undefined SQL operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule operator ""%1"" passed in. Valid operators are: %2","Undefined rule operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule aggregator ""%1"" passed in. Valid operators are: %2","Undefined rule aggregator ""%1"" passed in. Valid operators are: %2"
"The ""%1"" rule was unable to be saved. Please try again.","The ""%1"" rule was unable to be saved. Please try again."
"The rule with the ""%1"" ID wasn't found. Verify the ID and try again.","The rule with the ""%1"" ID wasn't found. Verify the ID and try again."
"The ""%1"" rule couldn't be removed.","The ""%1"" rule couldn't be removed."
