"Delete Rule","Hapus aturan"
"Are you sure you want to do this?","Apakah anda yakin ingin melakukan ini?"
"Reset","Atur ulang"
"Save and Apply","Simpan dan terapkan"
"Save and Continue Edit","Simpan dan Lanjutkan Edit"
"Save","Simpan"
"Catalog Price Rule","Aturan harga katalog"
"Add New Rule","Tambahkan Aturan Baru"
"Apply Rules","Terapkan Aturan"
"Conditions","Kondisi"
"Conditions (don't add conditions if rule is applied to all products)","Conditions (don't add conditions if rule is applied to all products)"
"ID","Nomor"
"Type","Jenis"
"Attribute Set","Aturan Atribut"
"SKU","SKU"
"Product","Produk"
"Promotions","Promosi"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Kami menemukan aturan baru yang tidak di terapkan. Harap klik ""Terapkan Aturan"" guna memperbaharui katalog anda."
"We can't apply the rules.","Kami tidak dapat menerapkan aturan."
"You deleted the rule.","Anda menghapus aturan."
"We can't delete this rule right now. Please review the log and try again.","We can't delete this rule right now. Please review the log and try again."
"We can't find a rule to delete.","Tidak kami temukan aturan untuk menghapus."
"This rule no longer exists.","Aturan ini tidak tersedia lagi."
"New Catalog Price Rule","Aturan Harga Katalog Baru"
"Edit Rule","Ubah Aturan"
"New Rule","Aturan Baru"
"Catalog","Katalog"
"You saved the rule.","Anda menyimpan aturan."
"Something went wrong while saving the rule data. Please review the error log.","Terjadi suatu kesalahan saat menyimpan aturan data. Harap Tampilkan kembali log yang salah."
"Promo","Promo"
"Unable to save rule %1","Unable to save rule %1"
"Rule with specified ID ""%1"" not found.","Rule with specified ID ""%1"" not found."
"Unable to remove rule %1","Unable to remove rule %1"
"Could not rebuild index for empty products array","Tidak dapat membangun kembali indeks untuk rangkaian produk kosong"
"We can't rebuild the index for an undefined product.","Kami tidak dapat membangun kembali untuk produk yang tidak didefinisikan."
"Catalog rule indexing failed. See details in exception log.","Pengindeksan aturan katalog gagal. Lihat detail dalam log pengecualian."
"Percentage discount should be between 0 and 100.","Persentase diskon harus berada diantara 0 dan 100."
"Discount value should be 0 or greater.","Nilai diskon harus berada di 0 atau lebih besar."
"Unknown action.","Tindakan tidak diketahui."
"Update the Product","Perbarui Produk"
"Rule price","Aturan harga"
"To Fixed Value","Ke nilai tetap"
"To Percentage","Untuk Persen"
"By Fixed value","Dengan nilai tetap"
"By Percentage","Dengan persentase"
"Update product's %1 %2: %3","Perbarui produk %1 %2: %3"
"Apply as percentage of original","Terapkan sebagai persentase asli"
"Apply as fixed amount","Terapkan sebagai jumlah tetap"
"Adjust final price to this percentage","Sesuaikan harga akhir dengan persentase ini"
"Adjust final price to discount value","Sesuaikan harga akhir dengan nilai diskon"
"Conditions Combination","Ketentuan Kombinasi"
"Product Attribute","Atribut Produk"
"Updated rules applied.","Aturan baru diterapkan."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","Anda menonaktifkan %1 Peraturan Harga Katalog berdasarkan ""%2"" atribut."
"Catalog Rule Product","Aturan katalog Produk"
"Indexed rule/product association","Aturan indeks / asosiasi produk"
"Catalog Product Rule","Aturan produk katalog"
"Indexed product/rule association","Indeks produk / aturan asosiasi"
"Rule","Aturan"
"Start","Mulai"
"End","Akhir"
"Status","Keadaan"
"Active","Aktif"
"Inactive","Tidak aktif"
"Web Site","Situs Web"
"Back","Kembali"
"Rule Information","Peraturan Informasi"
"Rule Name","Nama Aturan"
"Description","Deskripsi"
"Websites","Situs Web"
"Customer Groups","Grup pelanggan"
"From","Dari"
"To","Ke"
"Priority","Prioritas"
"Actions","Tindakan"
"Apply","Terapkan"
"Discount Amount","Jumlah Diskon"
"Discard subsequent rules","Buang peraturan selanjutnya"
"Yes","Ya"
"No","Tidak"
"Edit Rule '%1'","Edit Rule '%1'"
"Pricing Structure Rules","Pricing Structure Rules"
"Subproduct discounts","Subproduct discounts"
"General Information","General Information"
"Wrong rule specified.","Wrong rule specified."
"Undefined condition type ""%1"" passed in.","Undefined condition type ""%1"" passed in."
"Undefined SQL operator ""%1"" passed in. Valid operators are: %2","Undefined SQL operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule operator ""%1"" passed in. Valid operators are: %2","Undefined rule operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule aggregator ""%1"" passed in. Valid operators are: %2","Undefined rule aggregator ""%1"" passed in. Valid operators are: %2"
"The ""%1"" rule was unable to be saved. Please try again.","The ""%1"" rule was unable to be saved. Please try again."
"The rule with the ""%1"" ID wasn't found. Verify the ID and try again.","The rule with the ""%1"" ID wasn't found. Verify the ID and try again."
"The ""%1"" rule couldn't be removed.","The ""%1"" rule couldn't be removed."
