"Delete Rule","Slett regelen"
"Are you sure you want to do this?","Er du sikker på at du vil gjøre dette?"
"Reset","Nullstill"
"Save and Apply","Lagre og bruk"
"Save and Continue Edit","Lagre og fortsett redigering"
"Save","Lagre"
"Catalog Price Rule","Katalog prisregel"
"Add New Rule","Legg til ny regel"
"Apply Rules","Bruke regler"
"Conditions","Betingelser"
"Conditions (don't add conditions if rule is applied to all products)","Conditions (don't add conditions if rule is applied to all products)"
"ID","ID"
"Type","Type"
"Attribute Set","Attributtsett"
"SKU","Varenummer"
"Product","Produkt"
"Promotions","Kampanjer"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Vi fant oppdaterte regler som ikke brukes. Klikk ""Bruke regler"" for å oppdatere katalogen."
"We can't apply the rules.","We can't apply the rules."
"You deleted the rule.","Du slettet regelen."
"We can't delete this rule right now. Please review the log and try again.","We can't delete this rule right now. Please review the log and try again."
"We can't find a rule to delete.","We can't find a rule to delete."
"This rule no longer exists.","Denne regelen finnes ikke lenger."
"New Catalog Price Rule","Ny katalogpris regel"
"Edit Rule","Rediger regel"
"New Rule","Ny regel"
"Catalog","Katalog"
"You saved the rule.","Du lagret regelen."
"Something went wrong while saving the rule data. Please review the error log.","Noe gikk galt under lagring av regeldata. Se feilloggen."
"Promo","Promo"
"Unable to save rule %1","Unable to save rule %1"
"Rule with specified ID ""%1"" not found.","Rule with specified ID ""%1"" not found."
"Unable to remove rule %1","Unable to remove rule %1"
"Could not rebuild index for empty products array","Kunne ikke bygge indeksen for tom produkter matrise"
"We can't rebuild the index for an undefined product.","Vi kan ikke bygge indeksen for en udefinert produkt."
"Catalog rule indexing failed. See details in exception log.","Catalog rule indexing failed. See details in exception log."
"Percentage discount should be between 0 and 100.","Percentage discount should be between 0 and 100."
"Discount value should be 0 or greater.","Discount value should be 0 or greater."
"Unknown action.","Ukjent handling."
"Update the Product","Oppdater dette produktet"
"Rule price","Regel pris"
"To Fixed Value","Til fast verdi"
"To Percentage","Til prosent"
"By Fixed value","By Fixed value"
"By Percentage","By Percentage"
"Update product's %1 %2: %3","Update product's %1 %2: %3"
"Apply as percentage of original","Apply as percentage of original"
"Apply as fixed amount","Apply as fixed amount"
"Adjust final price to this percentage","Adjust final price to this percentage"
"Adjust final price to discount value","Adjust final price to discount value"
"Conditions Combination","Betingelsekombinasjon"
"Product Attribute","Produkt-attributt"
"Updated rules applied.","Updated rules applied."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","You disabled %1 Catalog Price Rules based on ""%2"" attribute."
"Catalog Rule Product","Catalog Rule Product"
"Indexed rule/product association","Indexed rule/product association"
"Catalog Product Rule","Catalog Product Rule"
"Indexed product/rule association","Indexsert produkt/regel assosiasjon"
"Rule","Regel"
"Start","Start"
"End","Slutt"
"Status","Status"
"Active","Aktiv"
"Inactive","Inaktiv"
"Web Site","Webområde"
"Back","Tilbake"
"Rule Information","Regel-informasjon"
"Rule Name","Regelnavn"
"Description","Beskrivelse"
"Websites","Nettsider"
"Customer Groups","Kundegrupper"
"From","Fra"
"To","Til"
"Priority","Prioritet"
"Actions","Handlinger"
"Apply","Anvend"
"Discount Amount","Rabattbeløp"
"Discard subsequent rules","Discard subsequent rules"
"Yes","Ja"
"No","Nei"
"Edit Rule '%1'","Edit Rule '%1'"
"Pricing Structure Rules","Pricing Structure Rules"
"Subproduct discounts","Subproduct discounts"
"General Information","General Information"
"Wrong rule specified.","Wrong rule specified."
"Undefined condition type ""%1"" passed in.","Undefined condition type ""%1"" passed in."
"Undefined SQL operator ""%1"" passed in. Valid operators are: %2","Undefined SQL operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule operator ""%1"" passed in. Valid operators are: %2","Undefined rule operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule aggregator ""%1"" passed in. Valid operators are: %2","Undefined rule aggregator ""%1"" passed in. Valid operators are: %2"
"The ""%1"" rule was unable to be saved. Please try again.","The ""%1"" rule was unable to be saved. Please try again."
"The rule with the ""%1"" ID wasn't found. Verify the ID and try again.","The rule with the ""%1"" ID wasn't found. Verify the ID and try again."
"The ""%1"" rule couldn't be removed.","The ""%1"" rule couldn't be removed."
