"Delete Rule","Удалить правило"
"Are you sure you want to do this?","Вы уверены, что вы хотите это сделать?"
"Reset","Сбросить"
"Save and Apply","Сохранить и применить"
"Save and Continue Edit","Сохранить и продолжить редактирование"
"Save","Сохранить"
"Catalog Price Rule","Правило цены каталога"
"Add New Rule","Добавить новое правило"
"Apply Rules","Применить правила"
"Conditions","Условия"
"Conditions (don't add conditions if rule is applied to all products)","Conditions (don't add conditions if rule is applied to all products)"
"ID","Идентификатор"
"Type","Тип"
"Attribute Set","Набор атрибутов"
"SKU","Артикул"
"Product","Товар"
"Promotions","Продвижение"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Мы обнаружили обновленные правила, которые не применяются. Нажмите ""Применить правила"", чтобы обновить каталог."
"We can't apply the rules.","Мы не можем применить правила."
"You deleted the rule.","Вы удалили правило."
"We can't delete this rule right now. Please review the log and try again.","Мы не можем удалить это правило прямо сейчас. Пожалуйста, просмотрите журнал и повторите попытку."
"We can't find a rule to delete.","Мы не можем найти правило для удаления."
"This rule no longer exists.","Это правило не существует."
"New Catalog Price Rule","Правило цены нового каталога"
"Edit Rule","Редактировать правило"
"New Rule","Новое правило"
"Catalog","Каталог"
"You saved the rule.","Вы сохранили правило."
"Something went wrong while saving the rule data. Please review the error log.","При сохранении данных правила что-то пошло не так. Пожалуйста, просмотрите журнал ошибок."
"Promo","Промо"
"Unable to save rule %1","Unable to save rule %1"
"Rule with specified ID ""%1"" not found.","Rule with specified ID ""%1"" not found."
"Unable to remove rule %1","Unable to remove rule %1"
"Could not rebuild index for empty products array","Не удалось перестроить индекс для пустых массивов товаров"
"We can't rebuild the index for an undefined product.","Мы не можем перестроить индекс для неопределенного продукта."
"Catalog rule indexing failed. See details in exception log.","Ошибка индексации правила каталога. Смотрите подробности в журнале исключений."
"Percentage discount should be between 0 and 100.","Процентная скидка должна быть от 0 до 100."
"Discount value should be 0 or greater.","Значение скидки должно быть 0 или больше."
"Unknown action.","Неизвестное действие."
"Update the Product","Обновление товара"
"Rule price","Правило цены"
"To Fixed Value","To Fixed Value"
"To Percentage","To Percentage"
"By Fixed value","По фиксированному значению"
"By Percentage","By Percentage"
"Update product's %1 %2: %3","Обновление продукта %1 %2: %3"
"Apply as percentage of original","Подать заявку в процентах от оригинала"
"Apply as fixed amount","Применять как фиксированную сумму"
"Adjust final price to this percentage","Отрегулируйте конечную цену на этот процент"
"Adjust final price to discount value","Отрегулируйте конечную цену до значения скидки"
"Conditions Combination","Сочетание условий"
"Product Attribute","Атрибут товара"
"Updated rules applied.","Обновлены правила применяны."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","Вы отключили %1 Правила цены каталога, основанные на атрибуте ""%2""."
"Catalog Rule Product","Каталог правила товара"
"Indexed rule/product association","Индексированное правило/ассоциация продуктов"
"Catalog Product Rule","Каталог товарного правила"
"Indexed product/rule association","Индексированная товар/правило связь"
"Rule","Правило"
"Start","Начало"
"End","Конец"
"Status","Статус"
"Active","Активно"
"Inactive","Неактивные"
"Web Site","Веб-сайт"
"Back","Назад"
"Rule Information","Информация о правилах"
"Rule Name","Имя Правила"
"Description","Описание"
"Websites","Веб-сайты"
"Customer Groups","Группы покупателей"
"From","от"
"To","До"
"Priority","Приоритет"
"Actions","Действия"
"Apply","Применить"
"Discount Amount","Сумма скидки"
"Discard subsequent rules","Отменить последующие правила"
"Yes","Да"
"No","Нет"
"Edit Rule '%1'","Edit Rule '%1'"
"Pricing Structure Rules","Pricing Structure Rules"
"Subproduct discounts","Subproduct discounts"
"General Information","General Information"
"Wrong rule specified.","Wrong rule specified."
"Undefined condition type ""%1"" passed in.","Undefined condition type ""%1"" passed in."
"Undefined SQL operator ""%1"" passed in. Valid operators are: %2","Undefined SQL operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule operator ""%1"" passed in. Valid operators are: %2","Undefined rule operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule aggregator ""%1"" passed in. Valid operators are: %2","Undefined rule aggregator ""%1"" passed in. Valid operators are: %2"
"The ""%1"" rule was unable to be saved. Please try again.","The ""%1"" rule was unable to be saved. Please try again."
"The rule with the ""%1"" ID wasn't found. Verify the ID and try again.","The rule with the ""%1"" ID wasn't found. Verify the ID and try again."
"The ""%1"" rule couldn't be removed.","The ""%1"" rule couldn't be removed."
