"Delete Rule","Obriši Pravilo"
"Are you sure you want to do this?","Jeste li sigurni da želite da uradite ovo?"
"Reset","Resetovati"
"Save and Apply","Sačuvaj i Primeni"
"Save and Continue Edit","Sačuvaj i nastavi uređivanje"
"Save","Sačuvaj"
"Catalog Price Rule","Pravilo Cene u Katalogu"
"Add New Rule","Dodaj Novo Pravilo"
"Apply Rules","Primeni Pravilo"
"Conditions","Uslovi"
"Conditions (don't add conditions if rule is applied to all products)","Conditions (don't add conditions if rule is applied to all products)"
"ID","ID"
"Type","Tip"
"Attribute Set","Skup atributa"
"SKU","Šifra"
"Product","Proizvod"
"Promotions","Promocije"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Pronašli smo ažurirana pravila koja nisu primenjena. Molimo kliknite na ""Apply Rules"" da biste ažurirali katalog."
"We can't apply the rules.","We can't apply the rules."
"You deleted the rule.","Obrisali ste pravilo."
"We can't delete this rule right now. Please review the log and try again.","We can't delete this rule right now. Please review the log and pokušajte ponovo."
"We can't find a rule to delete.","We can't find a rule to delete."
"This rule no longer exists.","Ovo pravilo se više ne postoji."
"New Catalog Price Rule","Novo Pravilo Cene u Katalogu"
"Edit Rule","Izmeni Pravilo"
"New Rule","Novo pravilo"
"Catalog","Katalog"
"You saved the rule.","Sačuvali ste pravilo."
"Something went wrong while saving the rule data. Please review the error log.","Došlo je do greške prilikom čuvanja podataka o pravilu. Molimo proverite evidenciju grešaka."
"Promo","Promotivno"
"Unable to save rule %1","Nije moguće save rule %1"
"Rule with specified ID ""%1"" not found.","Pravilo sa navedenim ID ""%1"" nije pronađeno."
"Unable to remove rule %1","Nije moguće remove rule %1"
"Could not rebuild index for empty products array","Ne možemo obnoviti index za prazan niz proizvoda"
"We can't rebuild the index for an undefined product.","Ne možemo ponovo da napravimo indeks za nedefinisani proizvod."
"Catalog rule indexing failed. See details in exception log.","Neuspešno indeksiranje pravila kataloga. Proverite detalje u izveštaju grešaka."
"Percentage discount should be between 0 and 100.","Popust u procentima treba da bude između 0 i 100."
"Discount value should be 0 or greater.","Vrednost popusta treba biti 0 ili veća."
"Unknown action.","Nepoznata akcija."
"Update the Product","Ažuriraj Proizvod"
"Rule price","Pravilo formiranja cene"
"To Fixed Value","Fiksna vrednost"
"To Percentage","Procenat"
"By Fixed value","Po fiksnoj vrednosti"
"By Percentage","Po procentu"
"Update product's %1 %2: %3","Ažuriraj proizvode %1%2:%3"
"Apply as percentage of original","Primeni kao procenat originala"
"Apply as fixed amount","Primeni kao fiksni iznos"
"Adjust final price to this percentage","Prilagodi konačnu cenu ovom procentu"
"Adjust final price to discount value","Prilagodi krajnju cenu sniženoj vrednosti"
"Conditions Combination","Uslovi Kombinacije"
"Product Attribute","Atributi proizvoda"
"Updated rules applied.","Primenjena su ažurirana pravila."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","Onemogućili ste %1 pravila cene kataloga na osnovu ""%2"" atributa."
"Catalog Rule Product","Pravilo kataloga proizvoda"
"Indexed rule/product association","Indeksirano pravilo/grupa proizvoda"
"Catalog Product Rule","Pravilo kataloga proizvoda"
"Indexed product/rule association","Indeksirani proizvodi/grupa pravila"
"Rule","Pravilo"
"Start","Početak"
"End","Kraj"
"Status","Status"
"Active","Aktivan"
"Inactive","Neaktivan"
"Web Site","Web lokacija"
"Back","Nazad"
"Rule Information","Pravilo Informacija"
"Rule Name","Naziv Pravila"
"Description","Opis"
"Websites","Web stranice"
"Customer Groups","Grupe kupaca"
"From","Od"
"To","Do"
"Priority","Prioritet"
"Actions","Radnje"
"Apply","Primeni"
"Discount Amount","Iznos popusta"
"Discard subsequent rules","Odbacite naredna pravila"
"Yes","Da"
"No","Ne"
"Edit Rule '%1'","Izmeni Rule '%1'"
"Pricing Structure Rules","Pricing Structure Rules"
"Subproduct discounts","Subproduct discounts"
"General Information","Opšte informacije"
"Wrong rule specified.","Wrong rule specified."
"Undefined condition type ""%1"" passed in.","Nedefinisani uslov tipa ""%1"" je prošlo."
"Undefined SQL operator ""%1"" passed in. Valid operators are: %2","Nedefinisani SQL operator ""%1"" je prošao. Validni operatori su: %2"
"Undefined rule operator ""%1"" passed in. Valid operators are: %2","Nedefinisani operator pravila ""%1"" je prošao. Validni operatori su: %2"
"Undefined rule aggregator ""%1"" passed in. Valid operators are: %2","Nedefinisani agregator pravila ""%1"" je prošao. Validni operatori su: %2"
"The ""%1"" rule was unable to be saved. Please try again.","""%1"" pravilo nije sačuvano. Molimo pokušajte ponovo."
"The rule with the ""%1"" ID wasn't found. Verify the ID and try again.","Pravilo sa ""%1"" ID-em nije pronađeno. Proverite ID i pokušajte ponovo."
"The ""%1"" rule couldn't be removed.","""%1"" pravilo ne može biti uklonjeno."
