"Delete Rule","Kustuta reegel"
"Are you sure you want to do this?","Olete kinde, et soovite seda teha?"
"Reset","Tühista"
"Save and Apply","Salvesta ja rakenda"
"Save and Continue Edit","Salvesta ja jätka muutmist"
"Save","Salvesta"
"Catalog Price Rule","Kataloogi hinnareegel"
"Add New Rule","Lisa uus reegel"
"Apply Rules","Rakenda reeglid"
"Conditions","Tingimused"
"Conditions (don't add conditions if rule is applied to all products)","Conditions (don't add conditions if rule is applied to all products)"
"ID","ID"
"Type","Tüüp"
"Attribute Set","Atribuudikogum"
"SKU","Laokood"
"Product","Toode"
"Promotions","Turundus"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Leidsime rakendamata reegleid. Palun vajutage ""Rakenda reeglid"" kataloogi uuendamiseks."
"We can't apply the rules.","We can't apply the rules."
"You deleted the rule.","Reegel kustutatud."
"We can't delete this rule right now. Please review the log and try again.","We can't delete this rule right now. Please review the log and try again."
"We can't find a rule to delete.","We can't find a rule to delete."
"This rule no longer exists.","Seda reeglit pole enam."
"New Catalog Price Rule","Uus kataloogi hinnareegel"
"Edit Rule","Muuda reeglit"
"New Rule","Uus reegel"
"Catalog","Kataloog"
"You saved the rule.","Reegel salvestatud."
"Something went wrong while saving the rule data. Please review the error log.","Something went wrong while saving the rule data. Please review the error log."
"Promo","Promo"
"Unable to save rule %1","Unable to save rule %1"
"Rule with specified ID ""%1"" not found.","Rule with specified ID ""%1"" not found."
"Unable to remove rule %1","Unable to remove rule %1"
"Could not rebuild index for empty products array","Could not rebuild index for empty products array"
"We can't rebuild the index for an undefined product.","Me ei saa taastada määramatu toote indeksit."
"Catalog rule indexing failed. See details in exception log.","Kataloogi reegli indekseerimine nurjus. Vaata detaile exception logist."
"Percentage discount should be between 0 and 100.","Percentage discount should be between 0 and 100."
"Discount value should be 0 or greater.","Allahindluse väärtus peab olema 0 või suurem."
"Unknown action.","Tundmatu toiming."
"Update the Product","Uuenda toodet"
"Rule price","Rule price"
"To Fixed Value","Fikseeritud väärtusele"
"To Percentage","Protsendina"
"By Fixed value","Fikseeritud väärtusena"
"By Percentage","Protsendina"
"Update product's %1 %2: %3","Update product's %1 %2: %3"
"Apply as percentage of original","Apply as percentage of original"
"Apply as fixed amount","Rakenda fikseeritud summana"
"Adjust final price to this percentage","Adjust final price to this percentage"
"Adjust final price to discount value","Adjust final price to discount value"
"Conditions Combination","Tingimuste kombinatsioon"
"Product Attribute","Tooteatribuut"
"Updated rules applied.","Updated rules applied."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","You disabled %1 Catalog Price Rules based on ""%2"" attribute."
"Catalog Rule Product","Catalog Rule Product"
"Indexed rule/product association","Indexed rule/product association"
"Catalog Product Rule","Catalog Product Rule"
"Indexed product/rule association","Indexed product/rule association"
"Rule","Reegel"
"Start","Algus"
"End","Lõpp"
"Status","Staatus"
"Active","Aktiivne"
"Inactive","Mitteaktiivne"
"Web Site","Veebisait"
"Back","Tagasi"
"Rule Information","Reegliteave"
"Rule Name","Reegli nimi"
"Description","Kirjeldus"
"Websites","Veebisaidid"
"Customer Groups","Kliendigrupid"
"From","Kellelt"
"To","Kellele"
"Priority","Prioriteet"
"Actions","Toimingud"
"Apply","Rakenda"
"Discount Amount","Allahindluse määr"
"Discard subsequent rules","Discard subsequent rules"
"Yes","Jah"
"No","Ei"
"Edit Rule '%1'","Edit Rule '%1'"
"Pricing Structure Rules","Pricing Structure Rules"
"Subproduct discounts","Subproduct discounts"
"General Information","General Information"
"Wrong rule specified.","Wrong rule specified."
"Undefined condition type ""%1"" passed in.","Undefined condition type ""%1"" passed in."
"Undefined SQL operator ""%1"" passed in. Valid operators are: %2","Undefined SQL operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule operator ""%1"" passed in. Valid operators are: %2","Undefined rule operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule aggregator ""%1"" passed in. Valid operators are: %2","Undefined rule aggregator ""%1"" passed in. Valid operators are: %2"
"The ""%1"" rule was unable to be saved. Please try again.","The ""%1"" rule was unable to be saved. Please try again."
"The rule with the ""%1"" ID wasn't found. Verify the ID and try again.","The rule with the ""%1"" ID wasn't found. Verify the ID and try again."
"The ""%1"" rule couldn't be removed.","The ""%1"" rule couldn't be removed."
