"Delete Rule","حذف قاعدة"
"Are you sure you want to do this?","هل أنت متأكد أنك تريد فعل ذلك؟"
"Reset","اعادة ضبط"
"Save and Apply","احفظ و طبق"
"Save and Continue Edit","حفظ ومواصلة التعديل"
"Save","حفظ"
"Catalog Price Rule","قاعدة الاسعار فى دليل المنتجات"
"Add New Rule","إضافة قاعدة جديدة"
"Apply Rules","طبق القواعد"
"Conditions","الحالات"
"Conditions (don't add conditions if rule is applied to all products)","الشروط (عدم إضافة شروط إذا كان يتم تطبيق القاعدة على كافة المنتجات)"
"ID","التعريف"
"Type","النوع"
"Attribute Set","مجموعة السمة"
"SKU","رمز المنتج"
"Product","المنتج"
"Promotions","الترقيات"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","ووجدنا تحديث للقواعد التي لم يتم تطبيقها. الرجاء النقر فوق ""تطبيق القواعد"" لتحديث الكتالوج."
"We can't apply the rules.","لا يمكن تطبيق هذه القواعد."
"You deleted the rule.","قمت بحذف القاعدة."
"We can't delete this rule right now. Please review the log and try again.","لا يمكن حذف هذه القاعدة الآن. الرجاء مراجعة السجل وحاول مرة أخرى."
"We can't find a rule to delete.","لا يمكن أن نجد قاعدة للحذف."
"This rule no longer exists.","هذة القاعدة لم تعد موجودة."
"New Catalog Price Rule","قاعدة جديدة لسعر الكتالوج"
"Edit Rule","تعديل قاعدة"
"New Rule","قاعدة جديدة"
"Catalog","دليل المنتجات"
"You saved the rule.","تم حفظ القاعدة."
"Something went wrong while saving the rule data. Please review the error log.","حدث خطأ أثناء حفظ قاعدة البيانات. الرجاء مراجعة سجل الأخطاء."
"Promo","الترويج"
"Unable to save rule %1","Unable to save rule %1"
"Rule with specified ID ""%1"" not found.","Rule with specified ID ""%1"" not found."
"Unable to remove rule %1","Unable to remove rule %1"
"Could not rebuild index for empty products array","لا يمكن إعادة إنشاء الفهرس لمجموعة منتجات فارغة"
"We can't rebuild the index for an undefined product.","لا يمكن إعادة إنشاء الفهرس لمنتج غير معروف."
"Catalog rule indexing failed. See details in exception log.","فشل إنشاء فهرس القاعدة. أنظر إلى التفاصيل في سجل الاستثناء."
"Percentage discount should be between 0 and 100.","يجب أن تكون نسبة الخصم المئوية بين 0 و 100."
"Discount value should be 0 or greater.","يجب أن تكون قيمة الخصم 0 أو أكبر."
"Unknown action.","إجراء غير معروف."
"Update the Product","تحديث المنتج"
"Rule price","السعر الاساسى"
"To Fixed Value","الى قيمة ثابته"
"To Percentage","الى نسبة مؤية"
"By Fixed value","بقيمة ثابتة"
"By Percentage","بنسبة مؤية"
"Update product's %1 %2: %3","تحديث %1 %2 المنتج: %3"
"Apply as percentage of original","تطبيق كنسبة مئوية من الأصل"
"Apply as fixed amount","تطبيق كمبلغ ثابت"
"Adjust final price to this percentage","أضبط الأسعار النهائية على هذه النسبة المئوية"
"Adjust final price to discount value","أضبط الأسعار النهائية إلى قيمة الخصم"
"Conditions Combination","الجمع بين الشروط"
"Product Attribute","سمة المنتج"
"Updated rules applied.","تم تطبيق القواعد المحدثة."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","قمت بتعطيل %1 ""من قواعد سعر الكتالوج"" استناداً إلى الخاصية ""%2""."
"Catalog Rule Product","كتالوج منتج القاعدة"
"Indexed rule/product association","رابطة القاعدة / المنتج المفهرسة"
"Catalog Product Rule","كتالوج قاعدة المنتج"
"Indexed product/rule association","رابطة المنتج/القاعدة المفهرسة"
"Rule","قاعدة"
"Start","ابدء"
"End","نهاية"
"Status","الحاله"
"Active","فعال"
"Inactive","خاملة"
"Web Site","موقع"
"Back","رجوع"
"Rule Information","بيانات القاعدة"
"Rule Name","أسم القاعدة"
"Description","الوصف"
"Websites","الموقع"
"Customer Groups","مجموعات العملاء"
"From","من"
"To","إلى"
"Priority","أولوية"
"Actions","اعمال"
"Apply","تطبيق"
"Discount Amount","تخفيض الكمية"
"Discard subsequent rules","تجاهل القواعد التابعة"
"Yes","نعم"
"No","لا"
"Edit Rule '%1'","Edit Rule '%1'"
"Pricing Structure Rules","Pricing Structure Rules"
"Subproduct discounts","Subproduct discounts"
"General Information","General Information"
"Wrong rule specified.","Wrong rule specified."
"Undefined condition type ""%1"" passed in.","Undefined condition type ""%1"" passed in."
"Undefined SQL operator ""%1"" passed in. Valid operators are: %2","Undefined SQL operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule operator ""%1"" passed in. Valid operators are: %2","Undefined rule operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule aggregator ""%1"" passed in. Valid operators are: %2","Undefined rule aggregator ""%1"" passed in. Valid operators are: %2"
"The ""%1"" rule was unable to be saved. Please try again.","The ""%1"" rule was unable to be saved. Please try again."
"The rule with the ""%1"" ID wasn't found. Verify the ID and try again.","The rule with the ""%1"" ID wasn't found. Verify the ID and try again."
"The ""%1"" rule couldn't be removed.","The ""%1"" rule couldn't be removed."
