"Delete Rule","Șterge Regula"
"Are you sure you want to do this?","Sunteți sigur că doriți să faceți acest lucru?"
"Reset","Resetare"
"Save and Apply","Salvează și aplică"
"Save and Continue Edit","Salvați și continuă editarea"
"Save","Salvare"
"Catalog Price Rule","Regulă Preț Catalog"
"Add New Rule","Adaugă Regulă Nouă"
"Apply Rules","Aplică Regulile"
"Conditions","Condiții"
"Conditions (don't add conditions if rule is applied to all products)","Condiții (nu adăuga condiții dacă regula este aplicată tuturor produselor)"
"ID","ID"
"Type","Tip"
"Attribute Set","Set atribute"
"SKU","SKU"
"Product","Produs"
"Promotions","Promoții"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Am găsit reguli actualizate care nu sunt aplicate. Vă rugăm să faceți clic pe ""Aplică reguli"" pentru a actualiza catalogul."
"We can't apply the rules.","Nu putem aplica regulile."
"You deleted the rule.","Ai șters regula."
"We can't delete this rule right now. Please review the log and try again.","Nu putem șterge regula acum. Te rugăm să revizuiești jurnalul de loguri și să încerci din nou."
"We can't find a rule to delete.","Nu găsim o regulă de șters."
"This rule no longer exists.","Această regulă nu mai există."
"New Catalog Price Rule","Regulă Preț Catalog Nou"
"Edit Rule","Editare regulă"
"New Rule","Regulă nouă"
"Catalog","Catalog"
"You saved the rule.","Ai salvat regula."
"Something went wrong while saving the rule data. Please review the error log.","Ceva nu a mers bine în timpul salvării datelor regulii. Te rugăm să revizuiești jurnalul de erori."
"Promo","Promo"
"Unable to save rule %1","Imposibil de salvat regula %1"
"Rule with specified ID ""%1"" not found.","Regula cu ID-ul specificat ""%1"" nu a fost găsită."
"Unable to remove rule %1","Imposibil de eliminat produsul %1"
"Could not rebuild index for empty products array","Nu se poate reconstrui indexul pentru o matrice de produs goală."
"We can't rebuild the index for an undefined product.","Nu se poate reconstrui indexul pentru un produs nedefinit."
"Catalog rule indexing failed. See details in exception log.","Indexarea regulii de catalog a eșuat. Vezi detalii în jurnalul de excepții."
"Percentage discount should be between 0 and 100.","Reducerea procentuală ar trebui să fie între 0 și 100."
"Discount value should be 0 or greater.","Valoarea reducerii trebuie sa fie 0 sau mai mare."
"Unknown action.","Acțiune necunoscută."
"Update the Product","Actualizați produsul"
"Rule price","Preț regulă"
"To Fixed Value","Pentru a fixa valoarea"
"To Percentage","La procentaj"
"By Fixed value","După valoare fixă"
"By Percentage","După procentaj"
"Update product's %1 %2: %3","Actualizare produs %1 %2: %3"
"Apply as percentage of original","Se aplică procent din originalul"
"Apply as fixed amount","Aplică sumă fixă"
"Adjust final price to this percentage","Reglați prețul final la acest procent"
"Adjust final price to discount value","Reglați prețul final la valoarea reducerii"
"Conditions Combination","Combinație Condiții"
"Product Attribute","Atribut produs"
"Updated rules applied.","Reguli actualizate aplicate."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","Ai dezactivat atributul %1 Reguli de Catalog de Prețuri bazate pe „%2”."
"Catalog Rule Product","Regulă catalog produs"
"Indexed rule/product association","Regulă indexată/asociere produse"
"Catalog Product Rule","Regulă catalog produse"
"Indexed product/rule association","Asociere produse/regulă indexate"
"Rule","Regulă"
"Start","Start"
"End","Sfârșit"
"Status","Status"
"Active","Activ"
"Inactive","Inactiv"
"Web Site","Web Site"
"Back","Înapoi"
"Rule Information","Regula de informare"
"Rule Name","Nume Regulă"
"Description","Descriere"
"Websites","Website-uri"
"Customer Groups","Grupuri de clienți"
"From","De la"
"To","Până la"
"Priority","Prioritate"
"Actions","Acțiuni"
"Apply","Aplică"
"Discount Amount","Sumă reducere"
"Discard subsequent rules","Renunță la regulile ulterioare"
"Yes","Da"
"No","Nu"
"Edit Rule '%1'","Modifică Regula '%1'"
"Pricing Structure Rules","Reguli de structură a prețurilor"
"Subproduct discounts","Reduceri subproduse"
"General Information","Informații generale"
"Wrong rule specified.","Regulă specificată greșit."
"Undefined condition type ""%1"" passed in.","Condiție nedefinită ""%1"" pasată."
"Undefined SQL operator ""%1"" passed in. Valid operators are: %2","Operator SQL nedefinit trimis ""%1"". Operatorii valizi sunt: %2"
"Undefined rule operator ""%1"" passed in. Valid operators are: %2","Operator de regulă trimis nedefinit ""%1"". Operatorii valizi sunt: %2"
"Undefined rule aggregator ""%1"" passed in. Valid operators are: %2","Agregator de reguli nedefinit trimis ""%1"". Operatorii valizi sunt: %2"
"The ""%1"" rule was unable to be saved. Please try again.","Regula ""%1"" nu a putut fi salvată. Vă rugăm să încercați din nou."
"The rule with the ""%1"" ID wasn't found. Verify the ID and try again.","Regula cu ID-ul ""%1"" nu a fost găsit. Verificați ID-ul și încercați din nou."
"The ""%1"" rule couldn't be removed.","Regula ""%1"" nu a putut fi ștearsă."
