"Delete Rule","Ta bort regel"
"Are you sure you want to do this?","Är du säker på att du vill göra detta?"
"Reset","Återställ"
"Save and Apply","Spara och tillämpa"
"Save and Continue Edit","Spara och Fortsätt Redigera"
"Save","Spara"
"Catalog Price Rule","Katalogprisregel"
"Add New Rule","Lägg till en Ny Regel"
"Apply Rules","Tillämpa regler"
"Conditions","Villkor"
"Conditions (don't add conditions if rule is applied to all products)","Conditions (don't add conditions if rule is applied to all products)"
"ID","ID"
"Type","Typ"
"Attribute Set","Attributgrupp"
"SKU","Art.nr"
"Product","Produkt"
"Promotions","Kampanjer"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Det finns regler med ändringar som inte har tillämpats. Klicka på ""Tillämpa regler"" för att uppdatera sortimentet."
"We can't apply the rules.","We can't apply the rules."
"You deleted the rule.","Du tog bort regeln."
"We can't delete this rule right now. Please review the log and try again.","We can't delete this rule right now. Please review the log and try again."
"We can't find a rule to delete.","We can't find a rule to delete."
"This rule no longer exists.","Denna regel finns inte längre."
"New Catalog Price Rule","Ny katalogprisregel"
"Edit Rule","Redigera regel"
"New Rule","Ny regel"
"Catalog","Katalog"
"You saved the rule.","You saved the rule."
"Something went wrong while saving the rule data. Please review the error log.","Something went wrong while saving the rule data. Please review the error log."
"Promo","Promo"
"Unable to save rule %1","Unable to save rule %1"
"Rule with specified ID ""%1"" not found.","Rule with specified ID ""%1"" not found."
"Unable to remove rule %1","Unable to remove rule %1"
"Could not rebuild index for empty products array","Kunde inte återskapa index för tomma produkte"
"We can't rebuild the index for an undefined product.","We can't rebuild the index for an undefined product."
"Catalog rule indexing failed. See details in exception log.","Catalog rule indexing failed. See details in exception log."
"Percentage discount should be between 0 and 100.","Percentage discount should be between 0 and 100."
"Discount value should be 0 or greater.","Discount value should be 0 or greater."
"Unknown action.","Unknown action."
"Update the Product","Update the Product"
"Rule price","Rule price"
"To Fixed Value","To Fixed Value"
"To Percentage","To Percentage"
"By Fixed value","By Fixed value"
"By Percentage","By Percentage"
"Update product's %1 %2: %3","Update product's %1 %2: %3"
"Apply as percentage of original","Apply as percentage of original"
"Apply as fixed amount","Apply as fixed amount"
"Adjust final price to this percentage","Adjust final price to this percentage"
"Adjust final price to discount value","Adjust final price to discount value"
"Conditions Combination","Villkorskombination"
"Product Attribute","Produktattribut"
"Updated rules applied.","Updated rules applied."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","You disabled %1 Catalog Price Rules based on ""%2"" attribute."
"Catalog Rule Product","Catalog Rule Product"
"Indexed rule/product association","Indexed rule/product association"
"Catalog Product Rule","Catalog Product Rule"
"Indexed product/rule association","Indexed product/rule association"
"Rule","Regel"
"Start","Starta"
"End","Slut"
"Status","Status"
"Active","Aktiv"
"Inactive","Inaktiv"
"Web Site","Webbplats"
"Back","Tillbaka"
"Rule Information","Information om regel"
"Rule Name","Regelnamn"
"Description","Beskrivning"
"Websites","Webbplatser"
"Customer Groups","Kundgrupper"
"From","Från"
"To","Till"
"Priority","Prioritet"
"Actions","Åtgärder"
"Apply","Tillämpa"
"Discount Amount","Rabattbelopp"
"Discard subsequent rules","Discard subsequent rules"
"Yes","Ja"
"No","Nej"
"Edit Rule '%1'","Edit Rule '%1'"
"Pricing Structure Rules","Pricing Structure Rules"
"Subproduct discounts","Subproduct discounts"
"General Information","General Information"
"Wrong rule specified.","Wrong rule specified."
"Undefined condition type ""%1"" passed in.","Undefined condition type ""%1"" passed in."
"Undefined SQL operator ""%1"" passed in. Valid operators are: %2","Undefined SQL operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule operator ""%1"" passed in. Valid operators are: %2","Undefined rule operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule aggregator ""%1"" passed in. Valid operators are: %2","Undefined rule aggregator ""%1"" passed in. Valid operators are: %2"
"The ""%1"" rule was unable to be saved. Please try again.","The ""%1"" rule was unable to be saved. Please try again."
"The rule with the ""%1"" ID wasn't found. Verify the ID and try again.","The rule with the ""%1"" ID wasn't found. Verify the ID and try again."
"The ""%1"" rule couldn't be removed.","The ""%1"" rule couldn't be removed."
