"Delete Rule","Обриши Правило"
"Are you sure you want to do this?","Јесте ли сигурни да желите да урадите ово?"
"Reset","Ресетовати"
"Save and Apply","Сачувај и Примени"
"Save and Continue Edit","Сачувај и настави уређивање"
"Save","Сачувај"
"Catalog Price Rule","Правило Цене у Каталогу"
"Add New Rule","Додај Ново Правило"
"Apply Rules","Примени Правило"
"Conditions","Услови"
"Conditions (don't add conditions if rule is applied to all products)","Conditions (don't add conditions if rule is applied to all products)"
"ID","ИД"
"Type","Тип"
"Attribute Set","Скуп атрибута"
"SKU","Шифра"
"Product","Производ"
"Promotions","Промоције"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Пронашли смо ажурирана правила која нису примењена. Молимо кликните на ""Апплy Рулес"" да бисте ажурирали каталог."
"We can't apply the rules.","We can't apply the rules."
"You deleted the rule.","Обрисали сте правило."
"We can't delete this rule right now. Please review the log and try again.","Wе цан'т делете тхис руле ригхт ноw. Плеасе ревиеw тхе лог анд покушајте поново."
"We can't find a rule to delete.","We can't find a rule to delete."
"This rule no longer exists.","Ово правило се више не постоји."
"New Catalog Price Rule","Ново Правило Цене у Каталогу"
"Edit Rule","Измени Правило"
"New Rule","Ново правило"
"Catalog","Каталог"
"You saved the rule.","Сачували сте правило."
"Something went wrong while saving the rule data. Please review the error log.","Дошло је до грешке приликом чувања података о правилу. Молимо проверите евиденцију грешака."
"Promo","Промотивно"
"Unable to save rule %1","Није могуће саве руле %1"
"Rule with specified ID ""%1"" not found.","Правило са наведеним ИД ""%1"" није пронађено."
"Unable to remove rule %1","Није могуће ремове руле %1"
"Could not rebuild index for empty products array","Не можемо обновити индеx за празан низ производа"
"We can't rebuild the index for an undefined product.","Не можемо поново да направимо индекс за недефинисани производ."
"Catalog rule indexing failed. See details in exception log.","Неуспешно индексирање правила каталога. Проверите детаље у извештају грешака."
"Percentage discount should be between 0 and 100.","Попуст у процентима треба да буде између 0 и 100."
"Discount value should be 0 or greater.","Вредност попуста треба бити 0 или већа."
"Unknown action.","Непозната акција."
"Update the Product","Ажурирај Производ"
"Rule price","Правило формирања цене"
"To Fixed Value","Фиксна вредност"
"To Percentage","Проценат"
"By Fixed value","По фиксној вредности"
"By Percentage","По проценту"
"Update product's %1 %2: %3","Ажурирај производе %1%2:%3"
"Apply as percentage of original","Примени као проценат оригинала"
"Apply as fixed amount","Примени као фиксни износ"
"Adjust final price to this percentage","Прилагоди коначну цену овом проценту"
"Adjust final price to discount value","Прилагоди крајњу цену сниженој вредности"
"Conditions Combination","Услови Комбинације"
"Product Attribute","Атрибути производа"
"Updated rules applied.","Примењена су ажурирана правила."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","Онемогућили сте %1 правила цене каталога на основу ""%2"" атрибута."
"Catalog Rule Product","Правило каталога производа"
"Indexed rule/product association","Индексирано правило/група производа"
"Catalog Product Rule","Правило каталога производа"
"Indexed product/rule association","Индексирани производи/група правила"
"Rule","Правило"
"Start","Почетак"
"End","Крај"
"Status","Статус"
"Active","Активан"
"Inactive","Неактиван"
"Web Site","Wеб локација"
"Back","Назад"
"Rule Information","Правило Информација"
"Rule Name","Назив Правила"
"Description","Опис"
"Websites","Wеб странице"
"Customer Groups","Групе купаца"
"From","Од"
"To","До"
"Priority","Приоритет"
"Actions","Радње"
"Apply","Примени"
"Discount Amount","Износ попуста"
"Discard subsequent rules","Одбаците наредна правила"
"Yes","Да"
"No","Не"
"Edit Rule '%1'","Измени Руле '%1'"
"Pricing Structure Rules","Pricing Structure Rules"
"Subproduct discounts","Subproduct discounts"
"General Information","Опште информације"
"Wrong rule specified.","Wrong rule specified."
"Undefined condition type ""%1"" passed in.","Недефинисани услов типа ""%1"" је прошло."
"Undefined SQL operator ""%1"" passed in. Valid operators are: %2","Недефинисани СQЛ оператор ""%1"" је прошао. Валидни оператори су: %2"
"Undefined rule operator ""%1"" passed in. Valid operators are: %2","Недефинисани оператор правила ""%1"" је прошао. Валидни оператори су: %2"
"Undefined rule aggregator ""%1"" passed in. Valid operators are: %2","Недефинисани агрегатор правила ""%1"" је прошао. Валидни оператори су: %2"
"The ""%1"" rule was unable to be saved. Please try again.","""%1"" правило није сачувано. Молимо покушајте поново."
"The rule with the ""%1"" ID wasn't found. Verify the ID and try again.","Правило са ""%1"" ИД-ем није пронађено. Проверите ИД и покушајте поново."
"The ""%1"" rule couldn't be removed.","""%1"" правило не може бити уклоњено."
