"Delete Rule","Odstrániť pravidlo"
"Are you sure you want to do this?","Ste si istí, že chcete to chcete urobiť?"
"Reset","Resetovať"
"Save and Apply","Save and Apply"
"Save and Continue Edit","Uložiť a pokračovať v upravách"
"Save","Uložiť"
"Catalog Price Rule","Catalog Price Rule"
"Add New Rule","Add New Rule"
"Apply Rules","Apply Rules"
"Conditions","Podmienky"
"Conditions (don't add conditions if rule is applied to all products)","Podmienky (nepridávajte podmienky ak pravidlo platí pre všetky produkty)"
"ID","ID"
"Type","Typ"
"Attribute Set","Sada atribútov"
"SKU","Katalógové číslo"
"Product","Produkt"
"Promotions","Promotions"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog."
"We can't apply the rules.","Nieje možné použiť pravidlo."
"You deleted the rule.","You deleted the rule."
"We can't delete this rule right now. Please review the log and try again.","Nemôže odstrániť pravidlo práve teraz. Skontrolujte súbor logu a skúste to znova."
"We can't find a rule to delete.","Nemôžeme nájsť pravidlo ktoré chcete odstrániť."
"This rule no longer exists.","Toto pravidlo už neexistuje."
"New Catalog Price Rule","New Catalog Price Rule"
"Edit Rule","Edit Rule"
"New Rule","New Rule"
"Catalog","Katalóg"
"You saved the rule.","You saved the rule."
"Something went wrong while saving the rule data. Please review the error log.","Something went wrong while saving the rule data. Please review the error log."
"Promo","Promo"
"Unable to save rule %1","Unable to save rule %1"
"Rule with specified ID ""%1"" not found.","Rule with specified ID ""%1"" not found."
"Unable to remove rule %1","Unable to remove rule %1"
"Could not rebuild index for empty products array","Nebolo možené vygenerovať nové indexy pre prázdne pole"
"We can't rebuild the index for an undefined product.","Nemožeme vygenerovať nové indexy pre neznámy produkt."
"Catalog rule indexing failed. See details in exception log.","Catalog rule indexing failed. See details in exception log."
"Percentage discount should be between 0 and 100.","Percentage discount should be between 0 and 100."
"Discount value should be 0 or greater.","Discount value should be 0 or greater."
"Unknown action.","Unknown action."
"Update the Product","Update the Product"
"Rule price","Rule price"
"To Fixed Value","To Fixed Value"
"To Percentage","To Percentage"
"By Fixed value","By Fixed value"
"By Percentage","By Percentage"
"Update product's %1 %2: %3","Update product's %1 %2: %3"
"Apply as percentage of original","Apply as percentage of original"
"Apply as fixed amount","Apply as fixed amount"
"Adjust final price to this percentage","Adjust final price to this percentage"
"Adjust final price to discount value","Adjust final price to discount value"
"Conditions Combination","Kombinácie podmienok"
"Product Attribute","Atribút produktu"
"Updated rules applied.","Updated rules applied."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","You disabled %1 Catalog Price Rules based on ""%2"" attribute."
"Catalog Rule Product","Catalog Rule Product"
"Indexed rule/product association","Indexed rule/product association"
"Catalog Product Rule","Catalog Product Rule"
"Indexed product/rule association","Indexed product/rule association"
"Rule","Pravidlo"
"Start","Začiatok"
"End","Koniec"
"Status","Stav"
"Active","Aktívny"
"Inactive","Neaktívny"
"Web Site","Webstránka"
"Back","Späť"
"Rule Information","Rule Information"
"Rule Name","Názov pravidla"
"Description","Popis"
"Websites","Webové stránky"
"Customer Groups","Zákaznicke skupiny"
"From","Od"
"To","Do"
"Priority","Priorita"
"Actions","Akcie"
"Apply","Použiť"
"Discount Amount","Hodnota zľavy"
"Discard subsequent rules","Zrušiť naväzujúce pravidlá"
"Yes","Áno"
"No","Nie"
"Edit Rule '%1'","Edit Rule '%1'"
"Pricing Structure Rules","Pricing Structure Rules"
"Subproduct discounts","Subproduct discounts"
"General Information","General Information"
"Wrong rule specified.","Wrong rule specified."
"Undefined condition type ""%1"" passed in.","Undefined condition type ""%1"" passed in."
"Undefined SQL operator ""%1"" passed in. Valid operators are: %2","Undefined SQL operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule operator ""%1"" passed in. Valid operators are: %2","Undefined rule operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule aggregator ""%1"" passed in. Valid operators are: %2","Undefined rule aggregator ""%1"" passed in. Valid operators are: %2"
"The ""%1"" rule was unable to be saved. Please try again.","The ""%1"" rule was unable to be saved. Please try again."
"The rule with the ""%1"" ID wasn't found. Verify the ID and try again.","The rule with the ""%1"" ID wasn't found. Verify the ID and try again."
"The ""%1"" rule couldn't be removed.","The ""%1"" rule couldn't be removed."
