"Delete Rule","Regel verwijderen"
"Are you sure you want to do this?","Weet je zeker dat je dit wilt doen?"
"Reset","Resetten"
"Save and Apply","Opslaan en toepassen"
"Save and Continue Edit","Toepassen"
"Save","Opslaan"
"Catalog Price Rule","Catalogus Prijsregel"
"Add New Rule","Voeg nieuwe regel toe"
"Apply Rules","Regels toepassen"
"Conditions","Voorwaarden"
"Conditions (don't add conditions if rule is applied to all products)","Voorwaarden (voeg geen voorwaarden toe als de regel toegewezen is aan alle producten)"
"ID","ID"
"Type","Soort"
"Attribute Set","Attributenset"
"SKU","Art.nr."
"Product","Product"
"Promotions","Promoties"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","We vonden bijgewerkte regels die niet zijn toegepast. Klik op ""Pas regels toe"" om de catalogus bij te werken."
"We can't apply the rules.","We kunnen niet de regels toepassen."
"You deleted the rule.","Je hebt de regel verwijderd."
"We can't delete this rule right now. Please review the log and try again.","Wij kunnen de regel niet verwijderen. Controleer het logboek en probeer het opnieuw."
"We can't find a rule to delete.","We kunnen geen regel om te verwijderen vinden."
"This rule no longer exists.","Deze regel bestaat niet langer."
"New Catalog Price Rule","Nieuwe catalogus prijs regel"
"Edit Rule","Bewerk regel"
"New Rule","Nieuwe regel"
"Catalog","Catalogus"
"You saved the rule.","Je hebt de regel opgeslagen."
"Something went wrong while saving the rule data. Please review the error log.","Er ging iets mis bij het opslaan van de gegevens van de regel. Controleer het error logboek."
"Promo","Promotie"
"Unable to save rule %1","Kan regel %1 niet opslaan"
"Rule with specified ID ""%1"" not found.","Regel met ID ""%1"" niet gevonden."
"Unable to remove rule %1","Kan regel %1 niet verwijderen"
"Could not rebuild index for empty products array","Kan index voor lege producten niet opnieuw opbouwen"
"We can't rebuild the index for an undefined product.","We kunnen geen index herbouwen voor een ongedefinieerd product."
"Catalog rule indexing failed. See details in exception log.","Indexeren van de Catalogus Prijsregels is mislukt. Zie details in de exception-log."
"Percentage discount should be between 0 and 100.","Kortingspercentage moet een waarde tussen de 0 en 100 zijn."
"Discount value should be 0 or greater.","Kortingswaarde moet groter of gelijk zijn aan 0."
"Unknown action.","Onbekende actie."
"Update the Product","Het product bijwerken"
"Rule price","Regelprijs"
"To Fixed Value","Tot vast bedrag"
"To Percentage","Naar percentage"
"By Fixed value","Met vast bedrag"
"By Percentage","Met percentage"
"Update product's %1 %2: %3","Bijwerken product %1 %2: %3"
"Apply as percentage of original","Toepassen als percentage van origineel"
"Apply as fixed amount","Toepassen als vast bedrag"
"Adjust final price to this percentage","Pas de uiteindelijke prijs aan van dit percentage"
"Adjust final price to discount value","Aanpassen van de definitieve prijs naar kortingswaarde"
"Conditions Combination","Voorwaardencombinatie"
"Product Attribute","Product-attribuut"
"Updated rules applied.","Bijgewerkte regels toegepast."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","%1 catalogus prijsregel is uitgeschakeld op basis van attribuut ""%2""."
"Catalog Rule Product","Catalogusproductregel"
"Indexed rule/product association","Geïndexeerde artikel/product vereniging"
"Catalog Product Rule","Catalogus productregel"
"Indexed product/rule association","Productregelkoppelingen index"
"Rule","Regel"
"Start","Starten"
"End","Einde"
"Status","status"
"Active","Actief"
"Inactive","Inactief"
"Web Site","Website"
"Back","Terug"
"Rule Information","Regel Informatie"
"Rule Name","Regel Naam"
"Description","Omschrijving"
"Websites","Websites"
"Customer Groups","Klantengroepen"
"From","Van"
"To","Aan"
"Priority","Prioriteit"
"Actions","Acties"
"Apply","Toepassen"
"Discount Amount","Korting"
"Discard subsequent rules","Volgende regels negeren"
"Yes","Ja"
"No","Nee"
"Edit Rule '%1'","Bewerk regel '%1'"
"Pricing Structure Rules","Prijzen structuurregels"
"Subproduct discounts","Subproduct kortingen"
"General Information","Algemene informatie"
"Wrong rule specified.","verkeerde rule geespecificeerd"
"Undefined condition type ""%1"" passed in.","Ongedefinieerde conditie type ""%1"" doorgegeven."
"Undefined SQL operator ""%1"" passed in. Valid operators are: %2","Ongedefinieerde SQL operator ""%1"" doorgegeven. Geldige operators zijn: %2"
"Undefined rule operator ""%1"" passed in. Valid operators are: %2","Ongedefinieerde regel operator ""%1"" doorgegeven. Geldige operators zijn: %2 ongedaan maken"
"Undefined rule aggregator ""%1"" passed in. Valid operators are: %2","Ongedefinieerde regel aggregator ""%1"" doorgegeven. Geldige operators zijn: %2"
"The ""%1"" rule was unable to be saved. Please try again.","De ""%1"" regel kon niet worden opgeslagen. Probeer het opnieuw."
"The rule with the ""%1"" ID wasn't found. Verify the ID and try again.","De regel met de ""%1"" ID is niet gevonden. Controleer het ID en probeer het opnieuw."
"The ""%1"" rule couldn't be removed.","De ""%1"" regel kon niet worden verwijderd."
