"Delete Rule","Szabály törlése"
"Are you sure you want to do this?","Biztos benne, hogy végrehajtja a műveletet?"
"Reset","Alaphelyzet"
"Save and Apply","Mentés és alkalmazás"
"Save and Continue Edit","Mentés és szerkesztés folytatása"
"Save","Mentés"
"Catalog Price Rule","Katalógus ár szabály"
"Add New Rule","Új szabály hozzáadása"
"Apply Rules","Szabályok alkalmazása"
"Conditions","Feltételek"
"Conditions (don't add conditions if rule is applied to all products)","Conditions (don't add conditions if rule is applied to all products)"
"ID","Azonosító"
"Type","Típus"
"Attribute Set","Jellemző halmaz"
"SKU","Cikkszám"
"Product","Termék"
"Promotions","Promóciók"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Friss szabályváltozásokat találtunk, melyek még nem kerültek mentésre. Kérjük, kattintson a ""Szabályok alkalmazása"" gombra a katalógus frissítéséhez."
"We can't apply the rules.","We can't apply the rules."
"You deleted the rule.","Törölte a szabályt."
"We can't delete this rule right now. Please review the log and try again.","We can't delete this rule right now. Please review the log and try again."
"We can't find a rule to delete.","We can't find a rule to delete."
"This rule no longer exists.","Ez a szabály már nem létezik."
"New Catalog Price Rule","Új katalógus árszabály"
"Edit Rule","Szabály szerkesztése"
"New Rule","Új szabály"
"Catalog","Katalógus"
"You saved the rule.","A szabály mentése megtörtént."
"Something went wrong while saving the rule data. Please review the error log.","Hiba történt aszabály adatok mentése közben. Kérjük, olvassa el a hiba log-ot."
"Promo","Promóció"
"Unable to save rule %1","Unable to save rule %1"
"Rule with specified ID ""%1"" not found.","Rule with specified ID ""%1"" not found."
"Unable to remove rule %1","Unable to remove rule %1"
"Could not rebuild index for empty products array","Üres termék tömbnek nem lehet újjáépíteni az indexét"
"We can't rebuild the index for an undefined product.","We can't rebuild the index for an undefined product."
"Catalog rule indexing failed. See details in exception log.","Katalógus szabály indexelése nem sikerült. A részletek a kivételnaplóban találhatók."
"Percentage discount should be between 0 and 100.","A kedvezmény százalékos értékének 0 és 100 között kell lennie."
"Discount value should be 0 or greater.","Kedvezmény értéke 0, vagy több legyen."
"Unknown action.","Ismeretlen akció."
"Update the Product","A termék frissítése"
"Rule price","Szabály ár"
"To Fixed Value","Rögzített értékre"
"To Percentage","Százalákra"
"By Fixed value","Fix mennyiséggel"
"By Percentage","Százalékkal"
"Update product's %1 %2: %3","A termék %1 %2: %3 frissítése"
"Apply as percentage of original","Százalákos hányadaként való alkalmazás"
"Apply as fixed amount","Fix összegként való alkalmazás"
"Adjust final price to this percentage","A végső ár beállítása erre a százalékos értékre"
"Adjust final price to discount value","A végső ár beállítása a kedvezményes értékre"
"Conditions Combination","Feltételegyüttes"
"Product Attribute","Termékjellemzők"
"Updated rules applied.","A frissített szabályok alkalmazzása."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","%2 jellemzőn alapuló %1 katalógus ár szabály kikapcsolva."
"Catalog Rule Product","Katalógus szabály termék"
"Indexed rule/product association","Indexált szabály/termék-hozzárendelés"
"Catalog Product Rule","Termék katalógus szabály"
"Indexed product/rule association","Indexált termék/szabály-hozzárendelés"
"Rule","Szabály"
"Start","Kezdet"
"End","Vég"
"Status","Állapot"
"Active","Aktív"
"Inactive","Inaktív"
"Web Site","Weboldal"
"Back","Vissza"
"Rule Information","Szabály-információ"
"Rule Name","Szabály neve"
"Description","Leírás"
"Websites","Weboldalak"
"Customer Groups","Vevői csoportok"
"From","Ettől"
"To","Eddig"
"Priority","Prioritás"
"Actions","Műveletek"
"Apply","Alkalmazás"
"Discount Amount","Engedmény összege"
"Discard subsequent rules","Discard subsequent rules"
"Yes","Igen"
"No","Nem "
"Edit Rule '%1'","Edit Rule '%1'"
"Pricing Structure Rules","Pricing Structure Rules"
"Subproduct discounts","Subproduct discounts"
"General Information","General Information"
"Wrong rule specified.","Wrong rule specified."
"Undefined condition type ""%1"" passed in.","Undefined condition type ""%1"" passed in."
"Undefined SQL operator ""%1"" passed in. Valid operators are: %2","Undefined SQL operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule operator ""%1"" passed in. Valid operators are: %2","Undefined rule operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule aggregator ""%1"" passed in. Valid operators are: %2","Undefined rule aggregator ""%1"" passed in. Valid operators are: %2"
"The ""%1"" rule was unable to be saved. Please try again.","The ""%1"" rule was unable to be saved. Please try again."
"The rule with the ""%1"" ID wasn't found. Verify the ID and try again.","The rule with the ""%1"" ID wasn't found. Verify the ID and try again."
"The ""%1"" rule couldn't be removed.","The ""%1"" rule couldn't be removed."
