"Delete Rule","Odstranit pravidlo"
"Are you sure you want to do this?","Opravdu to chcete udělat?"
"Reset","Obnovit"
"Save and Apply","Uložit a spustit"
"Save and Continue Edit","Použít"
"Save","Uložit"
"Catalog Price Rule","Cenová pravidla katalogu"
"Add New Rule","Přidat nové pravidlo"
"Apply Rules","Spustit pravidla"
"Conditions","Podmínky"
"Conditions (don't add conditions if rule is applied to all products)","Filtr produktů (pro platnost na všechny produkty filtr nenastavujte)"
"ID","ID"
"Type","Typ"
"Attribute Set","Sada atributů"
"SKU","Kód"
"Product","Produkt"
"Promotions","Pravidla"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Byla nalezena změněná pravidla, která ale nebyla spuštěna. Aby se pravidla v katalogu projevila, klikněte na tlačítko Spustit pravidla."
"We can't apply the rules.","Pravidla nelze spustit."
"You deleted the rule.","Pravidlo bylo odstraněno."
"We can't delete this rule right now. Please review the log and try again.","Při odstranění pravidla nastala chyba. Podrobnosti naleznete v protokolu chyb."
"We can't find a rule to delete.","Pravidlo k odstranění nelze najít."
"This rule no longer exists.","Toto pravidlo již neexistuje."
"New Catalog Price Rule","Nové cenové pravidlo katalogu"
"Edit Rule","Upravit pravidlo"
"New Rule","Nové pravidlo"
"Catalog","Katalog"
"You saved the rule.","Pravidlo bylo uloženo."
"Something went wrong while saving the rule data. Please review the error log.","Při ukládání pravidla nastala chyba. Podrobnosti naleznete v protokolu chyb."
"Promo","Promo"
"Unable to save rule %1","Unable to save rule %1"
"Rule with specified ID ""%1"" not found.","Rule with specified ID ""%1"" not found."
"Unable to remove rule %1","Unable to remove rule %1"
"Could not rebuild index for empty products array","Pro prázdné pole produktů nelze index obnovit"
"We can't rebuild the index for an undefined product.","Pro nedefinované produkty nelze index obnovit."
"Catalog rule indexing failed. See details in exception log.","Chyba v indexaci katalogových pravidel. Detaily naleznete v logu vyjímek."
"Percentage discount should be between 0 and 100.","Hodnota procentuální slevy může být od 0 do 100."
"Discount value should be 0 or greater.","Hodnota slevy musí být 0 nebo vyšší."
"Unknown action.","Neznámá akce"
"Update the Product","Upravit produkt"
"Rule price","Pravidlo ceny"
"To Fixed Value","Nastavit na pevnou hodnotu"
"To Percentage","Nastavit na procentuální hodnotu"
"By Fixed value","Snížit o pevnou hodnotu"
"By Percentage","Snížit o procentuální hodnotu"
"Update product's %1 %2: %3","Aktualizace produktu %1 %2: %3"
"Apply as percentage of original","Nastavit na procentuální hodnotu"
"Apply as fixed amount","Nastavit na pevnou hodnotu"
"Adjust final price to this percentage","Nastavit na procentuální hodnotu"
"Adjust final price to discount value","Nastavit na pevnou hodnotu"
"Conditions Combination","Kombinace podmínek"
"Product Attribute","Atribut produktu"
"Updated rules applied.","Upravená pravidla byla spuštěna."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","Cenové pravidlo %1 založené na atributu %2 bylo vypnuto."
"Catalog Rule Product","Produkt cenového pravidla"
"Indexed rule/product association","Index vztahů pravidel a produktů"
"Catalog Product Rule","Pravidlo produktu"
"Indexed product/rule association","Index vztahů produktů a pravidel"
"Rule","Pravidlo"
"Start","Od data"
"End","Do data"
"Status","Stav"
"Active","Aktivní"
"Inactive","Neaktivní"
"Web Site","Web"
"Back","Zpět"
"Rule Information","Nastavení pravidla"
"Rule Name","Název pravidla"
"Description","Popis"
"Websites","Weby"
"Customer Groups","Skupiny zákazníků"
"From","Od"
"To","Pro"
"Priority","Priorita"
"Actions","Akce"
"Apply","Použít"
"Discount Amount","Výše slevy"
"Discard subsequent rules","Zrušit následná pravidla"
"Yes","Ano"
"No","Ne"
"Edit Rule '%1'","Edit Rule '%1'"
"Pricing Structure Rules","Pricing Structure Rules"
"Subproduct discounts","Subproduct discounts"
"General Information","General Information"
"Wrong rule specified.","Wrong rule specified."
"Undefined condition type ""%1"" passed in.","Undefined condition type ""%1"" passed in."
"Undefined SQL operator ""%1"" passed in. Valid operators are: %2","Undefined SQL operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule operator ""%1"" passed in. Valid operators are: %2","Undefined rule operator ""%1"" passed in. Valid operators are: %2"
"Undefined rule aggregator ""%1"" passed in. Valid operators are: %2","Undefined rule aggregator ""%1"" passed in. Valid operators are: %2"
"The ""%1"" rule was unable to be saved. Please try again.","The ""%1"" rule was unable to be saved. Please try again."
"The rule with the ""%1"" ID wasn't found. Verify the ID and try again.","The rule with the ""%1"" ID wasn't found. Verify the ID and try again."
"The ""%1"" rule couldn't be removed.","The ""%1"" rule couldn't be removed."
