"All","Alle"
"None","Ingen"
"Allowed Scopes","Tilladte Scopes"
"More permissions are needed to delete the ""%1"" item.","Flere rettigheder er nødvendig for at slette ""%1""."
"You need more permissions to apply some of the rule updates.","Du har ikke tilladelse til at opdaterer reglen."
"More permissions are needed to view this item.","Flere rettigheder er nødvendigt for at se dette."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Denne enhed skal tildeles en butiks visning. Kontroller enheds tildelingen og prøv igen."
"This item needs to be assigned to a store view.
                Please select a website for this product in ""Product in Websites"".","Denne vare skal tildeles en butiks visning.
                Vælg venligst en hjemmeside for dette produkt i ""Produkt på hjemmesider""."
"Orders can only be completed in an active store. Verify the store and try again.","Ordrer kan kun gennemføres i en aktiv butik. Kontroller butikken og prøv igen."
"This item needs to be assigned to a store view. Assign item and try again.","Dette element skal knyttes til en butiksvisning. Tildel element og prøv igen."
"More permissions are needed to save this item.","Flere rettigheder er nødvendig for at gemme dette."
"More permissions are needed to delete this item.","Flere rettigheder er nødvendig for at slette dette."
"At least one website or store group needs to be selected. Select and try again.","Mindst én hjemmeside eller butiks-gruppe skal vælges. Vælg og prøv igen."
"More permissions are needed to set All Scopes to a Role.","Der er brug for flere tilladelser for at angive alle områder til en rolle."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","""%1"" website ID er forkert. Kontroller website ID og prøv igen."
"You need more permissions to access website ""%1"".","Du har ikke rettigheder til at tilgå website ""%1""."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","""%1"" butik ID er forkert. Kontroller butik ID og prøv igen."
"More permissions are needed to save this setting.","Flere rettigheder er nødvendig for at gemme denne indstilling."
"Role Scopes","Forretningsvisnings roller"
"Custom","Brugerdefineret"
