"All","सभी"
"None","कोई नहीं"
"Allowed Scopes","अनुमति प्राप्त क्षेत्र"
"You need more permissions to delete this item(s): %1.","इस आइटम को हटाने के लिए आपको अधिक अनुमतियों की आवश्यकता है!"
"You need more permissions to apply some of the rule updates.","आप को कुछ अद्यतन नियम लागू करने के लिए अधिक अनुमतियों की आवश्यकता है।"
"Please assign this entity to a store view.","Please assign this entity to a store view."
"You can create orders only in an active store.","आप केवल एक सक्रिय संग्रह में आर्डर बना सकते हैं।"
"Please assign this item to a store view.","Please assign this item to a store view."
"You need more permissions to save this item.","You need more permissions to save this item."
"You need more permissions to delete this item.","You need more permissions to delete this item."
"You need more permissions to view this item.","You need more permissions to view this item."
"Please specify at least one website or one store group.","Please specify at least one website or one store group."
"You need more permissions to set All Scopes to a Role.","आपको सभी क्षेत्रों को एक भूमिका प्रदान करने के लिए अधिक अनुमति चाहिए।"
"Incorrect website ID: %1","गलत वेबसाइट क्रमांक: %1"
"You need more permissions to access website ""%1"".","You need more permissions to access website ""%1""."
"Incorrect store ID: %1","Incorrect store ID: %1"
"You need more permissions to save this setting.","You need more permissions to save this setting."
"Role Scopes","Role Scopes"
"Custom","उपयोगकर्ता"
"More permissions are needed to save this item.","More permissions are needed to save this item."
"Please select a website for this product in ""Product in Websites"".","Please select a website for this product in ""Product in Websites""."
