"All","Všetky"
"None","Žiadne"
"Allowed Scopes","Povolené rozsahy"
"You need more permissions to delete this item(s): %1.","Nemáte dostatočné oprávnenie na odstránenie: %1."
"You need more permissions to apply some of the rule updates.","Potrebujete vyššie oprávnenie pre aktualizácie pravidla."
"Please assign this entity to a store view.","Prosím priraďte túto entitu k zobrazeniu obchodu."
"You can create orders only in an active store.","Objednávky môžete vytvárať len v aktívnom obchode."
"Please assign this item to a store view.","Prosím, priraďte túto položku k zobrazeniu obchodu."
"You need more permissions to save this item.","Nemáte dostatočné oprávnenie na uloženie tejto položky."
"You need more permissions to delete this item.","Nemáte dostatočné oprávnenie na odstránenie tejto položky."
"You need more permissions to view this item.","Nemáte dostatočné oprávnenie na zobrazenie tejto položky."
"Please specify at least one website or one store group.","Zadajte aspoň jednu webstránku alebo jednu skupinu obchodu."
"You need more permissions to set All Scopes to a Role.","Nemáte dostatočné oprávnenie na priradenie ""Všetky rozsahy"" k Role."
"Incorrect website ID: %1","Nesprávne ID webstránky: %1"
"You need more permissions to access website ""%1"".","Nemáte dostatočné oprávnenie na prístup k webstránke ""%1""."
"Incorrect store ID: %1","Nesprávne ID obchodu: %1"
"You need more permissions to save this setting.","Nemáte dostatočné oprávnenie na uloženie tohto nastavenia."
"Role Scopes","Rozsahy Roly"
"Custom","Vlastné"
"More permissions are needed to save this item.","More permissions are needed to save this item."
"Please select a website for this product in ""Product in Websites"".","Please select a website for this product in ""Product in Websites""."
