"All","Alle"
"None","Geen"
"Allowed Scopes","Toegestane scopes"
"You need more permissions to delete this item(s): %1.","U heeft meer bevoegdheden nodig om dit/deze item(s) te verwijderen: %1."
"You need more permissions to apply some of the rule updates.","U heeft meer bevoegdheden nodig om een aantal van de regel updates uit te voeren."
"Please assign this entity to a store view.","Wijs deze entiteit aan een winkelaanzicht toe."
"You can create orders only in an active store.","Orders kunnen alleen worden aangemaakt in een actieve winkel."
"Please assign this item to a store view.","Wijs dit item toe aan een winkelaanzicht."
"You need more permissions to save this item.","U heeft meer bevoegdheden nodig om dit item op te slaan."
"You need more permissions to delete this item.","U heeft meer bevoegdheden nodig om dit item te verwijderen."
"You need more permissions to view this item.","U heeft meer rechten nodig om dit item te zien. "
"Please specify at least one website or one store group.","Please specify at least one website or one store group."
"You need more permissions to set All Scopes to a Role.","You need more permissions to set All Scopes to a Role."
"Incorrect website ID: %1","Incorrect website ID: %1"
"You need more permissions to access website ""%1"".","U heeft meer bevoegdheden nodig voor toegang tot website ""%1""."
"Incorrect store ID: %1","Incorrect store ID: %1"
"You need more permissions to save this setting.","You need more permissions to save this setting."
"Role Scopes","Rol scopes"
"Custom","Aangepast"
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view"
"More permissions are needed to delete the ""%1"" item.","Er zijn meer bevoegdheden nodig om item ""%1"" te verwijderen."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Deze entiteit moet toegewezen zijn aan een winkelaanzicht. Verifieer de toewijziging en probeer opnieuw."
"Orders can only be completed in an active store. Verify the store and try again.","Bestellingen kunnen alleen worden afgerond in een actieve winkel. Controleer de winkel en probeer opnieuw."
"This item needs to be assigned to a store view. Assign item and try again.","Dit item moet toegewezen zijn aan een winkelaanzicht. Wijs het item toe en probeer opnieuw."
"More permissions are needed to save this item.","Meer bevoegdheden zijn nodig om dit item op te slaan."
"More permissions are needed to delete this item.","Meer bevoegdheden zijn nodig om dit item te verwijderen."
"More permissions are needed to view this item.","Meer bevoegdheden zijn nodig om dit item te bekijken."
"At least one website or store group needs to be selected. Select and try again.","Minstens één website of winkel-groep moet geselecteerd zijn. Selecteer en probeer opnieuw."
"More permissions are needed to set All Scopes to a Role.","Meer bevoegdheden zijn nodig om Alle Scopes aan een rol te koppelen."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","De ID van website ""%1"" is onjuist. Controleer de website-ID en probeer opnieuw."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","De ID van winkelzicht ""%1"" is onjuist. Controleer het store view-ID en probeer opnieuw."
"More permissions are needed to save this setting.","Meer bevoegdheden zijn nodig om deze instelling op te slaan."
