"All","Все"
"None","Нет"
"Allowed Scopes","Допустимые области"
"You need more permissions to delete this item(s): %1.","У вас недостаточно прав для удаления этого товара(ов): %1."
"You need more permissions to apply some of the rule updates.","У вас недостаточно прав для изменения некоторых правил."
"Please assign this entity to a store view.","Пожалуйста, назначьте эту сущность представлению магазина."
"You can create orders only in an active store.","Вы можете делать заказы только в активном магазине."
"Please assign this item to a store view.","Пожалуйста, назначьте этот предмет представлению магазина."
"You need more permissions to save this item.","У Вас должно быть больше привелегий для сохранения этого элемента."
"You need more permissions to delete this item.","У Вас должно быть больше привелегий для удаления этого элемента."
"You need more permissions to view this item.","У Вас должно быть больше привелегий для просмотра этого элемента."
"Please specify at least one website or one store group.","Пожалуйста, укажите хотя бы один веб-сайт или группу магазинов."
"You need more permissions to set All Scopes to a Role.","У вас недостаточно прав для установки всех областей применения для роли."
"Incorrect website ID: %1","Некорректный ID веб-сайта: %1"
"You need more permissions to access website ""%1"".","Вам нужно больше прав для доступа к веб-сайту «%1»."
"Incorrect store ID: %1","Некорректный ID магазина: %1"
"You need more permissions to save this setting.","У вас недостаточно прав для сохранения параметров."
"Role Scopes","Области ролей"
"Custom","Выборочный"
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","У вас нет прав для сохранения этого элемента для текущего представления. Пожалуйста, переключитесь на разрешенное представление."
"More permissions are needed to delete the ""%1"" item.","More permissions are needed to delete the ""%1"" item."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","This entity needs to be assigned to a store view. Verify the entity assignment and try again."
"Orders can only be completed in an active store. Verify the store and try again.","Orders can only be completed in an active store. Verify the store and try again."
"This item needs to be assigned to a store view. Assign item and try again.","This item needs to be assigned to a store view. Assign item and try again."
"More permissions are needed to save this item.","More permissions are needed to save this item."
"More permissions are needed to delete this item.","More permissions are needed to delete this item."
"More permissions are needed to view this item.","More permissions are needed to view this item."
"At least one website or store group needs to be selected. Select and try again.","At least one website or store group needs to be selected. Select and try again."
"More permissions are needed to set All Scopes to a Role.","More permissions are needed to set All Scopes to a Role."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","The ""%1"" website ID is incorrect. Verify the website ID and try again."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","The ""%1"" store ID is incorrect. Verify the store ID and try again."
"More permissions are needed to save this setting.","More permissions are needed to save this setting."
