"All","Alle"
"None","Ingen"
"Allowed Scopes","Tillatte områder"
"You need more permissions to delete this item(s): %1.","Du trenger flere tillatelser til å slette element(et): %1."
"You need more permissions to apply some of the rule updates.","Du trenger flere tillatelser for å utføre noen av regeloppdateringene."
"Please assign this entity to a store view.","Vennligst tilordne denne enheten til en butikk."
"You can create orders only in an active store.","Du kan kun opprette ordre i en aktiv butikk."
"Please assign this item to a store view.","Du må tilordne dette elementet til en butikkvisning."
"You need more permissions to save this item.","Du trenger mer tillatelse for å lagre dette elementet."
"You need more permissions to delete this item.","Du trenger flere tillatelser for å slette dette elementet."
"You need more permissions to view this item.","Du trenger mer tillatelse til å vise dette elementet."
"Please specify at least one website or one store group.","Angi minst ett nettsted eller en gruppe."
"You need more permissions to set All Scopes to a Role.","Du trenger flere tillatelser for å sette alle rolleomfang til en rolle."
"Incorrect website ID: %1","Feil nettsted-ID: %1"
"You need more permissions to access website ""%1"".","Du trenger flere tillatelser for å få tilgang til nettside ""%1""."
"Incorrect store ID: %1","Feil butikk ID: %1"
"You need more permissions to save this setting.","Du trenger flere tillatelser for å lagre denne innstillingen."
"Role Scopes","Rolleområder"
"Custom","Egendefinert"
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view"
"More permissions are needed to delete the ""%1"" item.","More permissions are needed to delete the ""%1"" item."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","This entity needs to be assigned to a store view. Verify the entity assignment and try again."
"Orders can only be completed in an active store. Verify the store and try again.","Orders can only be completed in an active store. Verify the store and try again."
"This item needs to be assigned to a store view. Assign item and try again.","This item needs to be assigned to a store view. Assign item and try again."
"More permissions are needed to save this item.","More permissions are needed to save this item."
"More permissions are needed to delete this item.","More permissions are needed to delete this item."
"More permissions are needed to view this item.","More permissions are needed to view this item."
"At least one website or store group needs to be selected. Select and try again.","At least one website or store group needs to be selected. Select and try again."
"More permissions are needed to set All Scopes to a Role.","More permissions are needed to set All Scopes to a Role."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","The ""%1"" website ID is incorrect. Verify the website ID and try again."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","The ""%1"" store ID is incorrect. Verify the store ID and try again."
"More permissions are needed to save this setting.","More permissions are needed to save this setting."
