"All","Alle"
"None","Geen"
"Allowed Scopes","Toegestane scopes"
"You need more permissions to delete this item(s): %1.","U heeft meer bevoegdheden nodig om dit product / deze producten te verwijderen: %1."
"You need more permissions to apply some of the rule updates.","U heeft meer bevoegdheden nodig om een aantal van de regel updates uit te voeren."
"Please assign this entity to a store view.","Wijs deze entiteit aan een winkelweergave toe."
"You can create orders only in an active store.","Orders kunnen alleen worden aangemaakt in een actieve winkel."
"Please assign this item to a store view.","Wijs dit product aan een winkelweergave toe."
"You need more permissions to save this item.","U heeft meer bevoegdheden nodig om dit product op te slaan."
"You need more permissions to delete this item.","U heeft meer bevoegdheden nodig om dit product te verwijderen."
"You need more permissions to view this item.","U heeft meer bevoegdheden nodig om dit product te bekijken."
"Please specify at least one website or one store group.","Geef tenminste één website of één winkel groep op."
"You need more permissions to set All Scopes to a Role.","U heeft meer bevoegdheden nodig om Alle Scopes aan een Rol toe te voegen."
"Incorrect website ID: %1","Onjuiste website ID: %1"
"You need more permissions to access website ""%1"".","U heeft meer bevoegdheden nodig voor toegang tot website ""%1""."
"Incorrect store ID: %1","Incorrect winkel ID: %1"
"You need more permissions to save this setting.","U heeft meer bevoegdheden nodig voor het opslaan van deze instelling."
"Role Scopes","Rol scopes"
"Custom","Aangepast"
"More permissions are needed to save this item.","Meer bevoegdheden zijn nodig om dit item op te slaan."
"Please select a website for this product in ""Product in Websites"".","Please select a website for this product in ""Product in Websites""."
